tweet_text,sentiment,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time .,happy,"['we', 'are', 'be', 'very', 'happy', 'that', 'the', 'volkswagen', 'tour', 'has', 'have', 'enabled', 'enable', 'us', 'we', 'to', 'welcome', 'this', 'renowned', 'orchestra', 'to', 'the', 'festival', 'for', 'the', 'first', 'time']",1.0,0.132,0.0,0.0,0.0,0.0,3.0,1.634,1.0,0.109,1.0,0.266,3.0,1.633,3.0,1.562,joy,3.0,1.634
"In the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed .",happy,"['in', 'the', 'last', '10', 'days', 'day', 'of', 'the', 'trail', 'however', 'he', 'became', 'become', 'much', 'happier', 'to', 'take', 'risks', 'risk', 'although', 'babies', 'baby', 'remained', 'remain', 'unkissed']",0.0,0.0,0.0,0.0,1.0,0.562,2.0,1.2970000000000002,0.0,0.0,0.0,0.0,1.0,0.578,0.0,0.0,joy,2.0,1.2970000000000002
"A drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway .",happy,"['a', 'drop', 'of', 'scotch', 'during', 'occasional', 'periods', 'period', 'of', 'self', 'criticism', 'helped', 'help', 'him', 'he', 'to', 'become', 'happy', 'with', 'himself', 'but', 'most', 'of', 'the', 'time', 'he', 'was', 'be', 'happy', 'anyway']",1.0,0.318,0.0,0.0,1.0,0.203,1.0,0.7879999999999999,1.0,0.484,1.0,0.312,2.0,1.0710000000000002,2.0,0.843,anticipation,2.0,1.0710000000000002
He felt suddenly happy at being alive .,happy,"['he', 'felt', 'feel', 'suddenly', 'happy', 'at', 'being', 'be', 'alive']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.319,0.0,0.0,1.0,0.828,2.0,1.016,2.0,1.109,joy,2.0,1.319
What I did n't understand was why I did n't feel happy walking down the street afterwards .,happy,"['what', 'i', 'did', 'do', ""n't"", 'not', 'understand', 'was', 'be', 'why', 'i', 'did', 'do', ""n't"", 'not', 'feel', 'happy', 'walking', 'walk', 'down', 'the', 'street', 'afterwards']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.976,1.0,0.281,0.0,0.0,1.0,0.555,1.0,0.609,joy,2.0,0.976
Sarah tried to stop herself from feeling happy at this revelation .,happy,"['sarah', 'tried', 'try', 'to', 'stop', 'herself', 'from', 'feeling', 'feel', 'happy', 'at', 'this', 'revelation']",1.0,0.147,1.0,0.141,1.0,0.32799999999999996,2.0,1.1469999999999998,1.0,0.172,1.0,0.359,2.0,1.11,2.0,1.127,joy,2.0,1.1469999999999998
He seemed happy with this .,happy,"['he', 'seemed', 'seem', 'happy', 'with', 'this']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to .",happy,"['nevertheless', 'no', 'writer', 'however', 'self', 'sufficient', 'writes', 'write', 'without', 'a', 'thought', 'of', 'an', 'a', 'audience', 'and', 'tolkien', 'was', 'be', 'happy', 'to', 'discover', 'anyone', 'who', 'could', 'appreciate', 'what', 'he', 'was', 'be', 'up', 'to']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,3.0,1.326,1.0,0.609,anticipation,3.0,1.326
He 's just happy to get on with it .,happy,"['he', ""'s"", 'be', 'just', 'happy', 'to', 'get', 'on', 'with', 'it']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
Neil Kinnock was happy that his deputy should spell out his commitment to equality as Labour 's objective .,happy,"['neil', 'kinnock', 'was', 'be', 'happy', 'that', 'his', 'he', 'deputy', 'should', 'spell', 'out', 'his', 'he', 'commitment', 'to', 'equality', 'as', 'labour', ""'s"", 'objective']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.182,0.0,0.0,0.0,0.0,2.0,0.9460000000000001,4.0,2.4059999999999997,trust,4.0,2.4059999999999997
I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset .,happy,"['i', 'was', 'be', 'happy', 'that', 'i', 'was', 'be', 'having', 'have', 'my', 'own', 'baby', 'but', 'sometimes', 'i', 'used', 'use', 'to', 'cry', 'for', 'nothing', 'and', 'i', 'was', 'be', 'easily', 'upset']",1.0,0.439,0.0,0.0,0.0,0.0,2.0,1.2879999999999998,2.0,1.312,0.0,0.0,1.0,0.555,1.0,0.609,sadness,2.0,1.312
` We are not happy that the group is meeting Sinn Fein and will demand an explanation from the Consulate .,happy,"['we', 'are', 'be', 'not', 'happy', 'that', 'the', 'group', 'is', 'be', 'meeting', 'meet', 'sinn', 'fein', 'and', 'will', 'demand', 'an', 'a', 'explanation', 'from', 'the', 'consulate']",1.0,0.485,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
"` I 'm so happy you could make it , my favourite jockey . """,happy,"['i', ""'m"", 'be', 'so', 'happy', 'you', 'could', 'make', 'it', 'my', 'favourite', 'jockey']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7879999999999999,0.0,0.0,0.0,0.0,1.0,0.555,1.0,0.609,joy,1.0,0.7879999999999999
Said his co-boss Curbishley : ` I was a bit disappointed when Lennie Lawrence at Middlesbrough did n't come up with the price we 'd fixed but I 'm happy the lad is still here .,happy,"['said', 'his', 'he', 'co-boss', 'curbishley', 'i', 'was', 'be', 'a', 'bit', 'disappointed', 'when', 'lennie', 'lawrence', 'at', 'middlesbrough', 'did', 'do', ""n't"", 'not', 'come', 'up', 'with', 'the', 'price', 'we', ""'d"", 'would', 'fixed', 'fix', 'but', 'i', ""'m"", 'be', 'happy', 'the', 'lad', 'is', 'be', 'still', 'here']",1.0,0.348,1.0,0.32799999999999996,0.0,0.0,1.0,0.7879999999999999,1.0,0.636,0.0,0.0,1.0,0.555,2.0,1.0310000000000001,trust,2.0,1.0310000000000001
Do you have a delight in animals and skill in their management ?,happy,"['do', 'you', 'have', 'a', 'delight', 'in', 'animals', 'animal', 'and', 'skill', 'in', 'their', 'they', 'management']",1.0,0.102,0.0,0.0,0.0,0.0,1.0,0.765,0.0,0.0,0.0,0.0,1.0,0.633,1.0,0.516,joy,1.0,0.765
"The book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific : Jones 's own delight in physics enthusiastically drawing the sting out of his own criticism .",happy,"['the', 'book', 'also', 'moves', 'move', 'close', 'to', 'a', 'highly', 'critical', 'analysis', 'of', 'science', 'and', 'yet', 'never', 'becomes', 'become', 'anti-science', 'only', 'anti-scientific', 'jones', ""'s"", 'own', 'delight', 'in', 'physics', 'physic', 'enthusiastically', 'drawing', 'draw', 'the', 'sting', 'out', 'of', 'his', 'he', 'own', 'criticism']",2.0,0.8620000000000001,0.0,0.0,1.0,0.516,2.0,0.881,1.0,0.484,0.0,0.0,1.0,0.633,1.0,0.23399999999999999,joy,2.0,0.881
But he was sniffily dismayed at their delight in consumerism and sheep-like attitude to the reactionary rubbish in the papers .,happy,"['but', 'he', 'was', 'be', 'sniffily', 'dismayed', 'dismay', 'at', 'their', 'they', 'delight', 'in', 'consumerism', 'and', 'sheep', 'like', 'attitude', 'to', 'the', 'reactionary', 'rubbish', 'in', 'the', 'papers']",1.0,0.54,1.0,0.523,1.0,0.484,1.0,0.765,1.0,0.636,1.0,0.57,2.0,0.9299999999999999,1.0,0.484,anticipation,2.0,0.9299999999999999
"Trying to hide her enormous delight in his return , Juliet turned to David .",happy,"['trying', 'try', 'to', 'hide', 'her', 'she', 'enormous', 'delight', 'in', 'his', 'he', 'return', 'juliet', 'turned', 'turn', 'to', 'david']",0.0,0.0,1.0,0.133,1.0,0.297,1.0,0.765,0.0,0.0,0.0,0.0,1.0,0.633,0.0,0.0,joy,1.0,0.765
"` Estelle 's delight in Thomas made your mother very happy , "" Ashley recalled , her head resting against his chest .",happy,"['estelle', ""'s"", 'delight', 'in', 'thomas', 'made', 'make', 'your', 'you', 'mother', 'very', 'happy', 'ashley', 'recalled', 'recall', 'her', 'she', 'head', 'resting', 'rest', 'against', 'his', 'he', 'chest']",0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.434,1.0,0.016,0.0,0.0,3.0,1.594,2.0,1.3119999999999998,joy,4.0,2.434
"She cackled and slapped her knees , bent double and wheezing with delight at her own witticisms .",happy,"['she', 'cackled', 'cackle', 'and', 'slapped', 'slap', 'her', 'she', 'knees', 'knee', 'bent', 'double', 'and', 'wheezing', 'wheez', 'with', 'delight', 'at', 'her', 'she', 'own', 'witticisms', 'witticism']",1.0,0.7909999999999999,0.0,0.0,0.0,0.0,1.0,0.765,0.0,0.0,1.0,0.68,1.0,0.633,0.0,0.0,anger,1.0,0.7909999999999999
My delight at everything I saw was beyond bounds gardens were allotted my sister and self there was the canal to fish in a pony to ride besides animals of different kinds,happy,"['my', 'delight', 'at', 'everything', 'i', 'saw', 'see', 'was', 'be', 'beyond', 'bounds', 'bound', 'gardens', 'garden', 'were', 'be', 'allotted', 'allot', 'my', 'sister', 'and', 'self', 'there', 'was', 'be', 'the', 'canal', 'to', 'fish', 'in', 'a', 'pony', 'to', 'ride', 'besides', 'animals', 'animal', 'of', 'different', 'kinds', 'kind']",0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.25,0.0,0.0,0.0,0.0,1.0,0.633,1.0,0.6409999999999999,joy,5.0,2.25
"They were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body .",happy,"['they', 'were', 'be', 'astonished', 'to', 'see', 'the', 'penguin', 'and', 'swooped', 'swoop', 'low', 'to', 'call', 'out', 'with', 'delight', 'at', 'her', 'she', 'sleek', 'feathers', 'feather', 'and', 'solid', 'little', 'body']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.765,0.0,0.0,0.0,0.0,1.0,0.633,0.0,0.0,joy,1.0,0.765
"The ANC , while expressing delight at their decision , nevertheless continued to call for the dissolution of the tricameral parliament , which it regarded as essentially racist .",happy,"['the', 'anc', 'while', 'expressing', 'express', 'delight', 'at', 'their', 'they', 'decision', 'nevertheless', 'continued', 'continue', 'to', 'call', 'for', 'the', 'dissolution', 'of', 'the', 'tricameral', 'parliament', 'which', 'it', 'regarded', 'regard', 'as', 'essentially', 'racist']",1.0,0.391,0.0,0.0,1.0,0.375,1.0,0.765,1.0,0.48,1.0,0.336,2.0,1.047,3.0,1.524,trust,3.0,1.524
Her stumbling repetition masked a growing delight at his basic error .,happy,"['her', 'she', 'stumbling', 'repetition', 'masked', 'mask', 'a', 'growing', 'grow', 'delight', 'at', 'his', 'he', 'basic', 'error']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0070000000000001,1.0,0.25,0.0,0.0,2.0,1.1880000000000002,1.0,0.49200000000000005,anticipation,2.0,1.1880000000000002
Bobby Robson 's delight at having guided his team to another major tourament was coupled with gratitude to the 40-year-old goalkeeper .,happy,"['bobby', 'robson', ""'s"", 'delight', 'at', 'having', 'have', 'guided', 'guide', 'his', 'he', 'team', 'to', 'another', 'major', 'tourament', 'was', 'be', 'coupled', 'couple', 'with', 'gratitude', 'to', 'the', '40', 'year', 'old', 'goalkeeper']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.679,0.0,0.0,0.0,0.0,1.0,0.633,3.0,1.8279999999999998,trust,3.0,1.8279999999999998
"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . """,happy,"['expressing', 'express', 'his', 'he', 'delight', 'at', 'being', 'be', 'appointed', 'appoint', 'he', 'said', 'say', 'this', 'is', 'be', 'the', 'one', 'job', 'i', 'had', 'have', 'hoped', 'hope', 'for']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.351,0.0,0.0,1.0,0.36700000000000005,2.0,1.4060000000000001,1.0,0.68,anticipation,2.0,1.4060000000000001
Headmaster Jim Jones recalled her delight at winning the egg and spoon race .,happy,"['headmaster', 'jim', 'jones', 'recalled', 'recall', 'her', 'she', 'delight', 'at', 'winning', 'win', 'the', 'egg', 'and', 'spoon', 'race']",0.0,0.0,1.0,0.109,0.0,0.0,3.0,2.195,1.0,0.094,1.0,0.45299999999999996,2.0,1.2970000000000002,1.0,0.523,joy,3.0,2.195
The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy .,happy,"['the', 'delight', 'at', 'being', 'be', 'finally', 'united', 'with', 'joan', 'was', 'be', 'tempered', 'temper', 'by', 'a', 'feeling', 'of', 'discomfort', 'about', 'ronnie', 'leahy']",2.0,0.835,2.0,0.266,1.0,0.32799999999999996,3.0,1.2810000000000001,2.0,0.6719999999999999,2.0,0.6559999999999999,3.0,1.758,3.0,1.666,anticipation,3.0,1.758
Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes .,happy,"['minton', ""'s"", 'sober', 'and', 'workmanlike', 'drawings', 'drawing', 'instance', 'his', 'he', 'delight', 'in', 'registering', 'register', 'rhythmic', 'activity', 'and', 'industrial', 'shapes', 'shape']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.765,0.0,0.0,0.0,0.0,1.0,0.633,0.0,0.0,joy,1.0,0.765
"His delight and sense of wonder at the growth of his baby were erratic as other interests pressed , but real enough .",happy,"['his', 'he', 'delight', 'and', 'sense', 'of', 'wonder', 'at', 'the', 'growth', 'of', 'his', 'he', 'baby', 'were', 'be', 'erratic', 'as', 'other', 'interests', 'interest', 'pressed', 'press', 'but', 'real', 'enough']",0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.168,0.0,0.0,2.0,1.2730000000000001,1.0,0.633,1.0,0.6409999999999999,joy,4.0,2.168
"Yes , I 'd like to declare a small case of French flu , a dangerous fondness for Flaubert , a childish delight in French road-signs , and a love of the light as you look north .",happy,"['yes', 'i', ""'d"", 'would', 'like', 'to', 'declare', 'a', 'small', 'case', 'of', 'french', 'flu', 'a', 'dangerous', 'fondness', 'for', 'flaubert', 'a', 'childish', 'delight', 'in', 'french', 'road', 'signs', 'sign', 'and', 'a', 'love', 'of', 'the', 'light', 'as', 'you', 'look', 'north']",0.0,0.0,0.0,0.0,3.0,1.2189999999999999,4.0,2.5149999999999997,1.0,0.228,0.0,0.0,1.0,0.633,2.0,1.242,joy,4.0,2.5149999999999997
"The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos .",happy,"['the', 'celebration', 'of', 'sexuality', 'found', 'find', 'in', 'the', 'works', 'work', 'of', 'sidur', 'neizvestny', 'and', 'others', 'other', 'stemmed', 'stem', 'partly', 'from', 'the', 'mischievous', 'delight', 'in', 'taunting', 'taunt', 'society', ""'s"", 'taboos', 'taboo']",1.0,0.562,1.0,0.5,2.0,0.719,3.0,1.952,1.0,0.359,1.0,0.539,2.0,1.289,2.0,1.0070000000000001,joy,3.0,1.952
"It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use .",happy,"['it', 'was', 'be', 'also', 'due', 'to', 'a', 'barbaric', 'delight', 'in', 'high', 'sounding', 'verbiage', 'and', 'probably', 'this', 'was', 'be', 'the', 'most', 'powerful', 'reason', 'for', 'its', 'use']",2.0,1.236,2.0,0.8210000000000001,2.0,1.171,2.0,1.2810000000000001,0.0,0.0,0.0,0.0,2.0,1.11,1.0,0.523,joy,2.0,1.2810000000000001
"Re was at first pleased but soon realised that Hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended .",happy,"['re', 'was', 'be', 'at', 'first', 'pleased', 'but', 'soon', 'realised', 'realise', 'that', 'hathor', ""'s"", 'delight', 'in', 'killing', 'kill', 'might', 'lead', 'to', 'the', 'destruction', 'of', 'all', 'mankind', 'which', 'he', 'had', 'have', 'not', 'intended', 'intend']",2.0,1.549,0.0,0.0,3.0,2.665,2.0,1.49,2.0,1.609,0.0,0.0,2.0,1.2349999999999999,2.0,0.891,fear,3.0,2.665
Their cheerfulness and delight at still being alive only made Charlie feel more guilty .,happy,"['their', 'they', 'cheerfulness', 'and', 'delight', 'at', 'still', 'being', 'be', 'alive', 'only', 'made', 'make', 'charlie', 'feel', 'more', 'guilty']",1.0,0.591,0.0,0.0,0.0,0.0,3.0,2.0540000000000003,1.0,0.609,0.0,0.0,3.0,1.5550000000000002,2.0,1.0779999999999998,joy,3.0,2.0540000000000003
"This time Ronni admitted it , feeling a little like a traitor at the confession -- and at the sense of pure delight she felt at Guido 's gesture .",happy,"['this', 'time', 'ronni', 'admitted', 'admit', 'it', 'feeling', 'feel', 'a', 'little', 'like', 'a', 'traitor', 'at', 'the', 'confession', 'and', 'at', 'the', 'sense', 'of', 'pure', 'delight', 'she', 'felt', 'feel', 'at', 'guido', ""'s"", 'gesture']",2.0,0.7090000000000001,2.0,0.743,3.0,1.25,4.0,1.875,3.0,1.041,2.0,0.8119999999999999,4.0,2.1100000000000003,5.0,2.5410000000000004,trust,5.0,2.5410000000000004
"In the end , the poems must be read as expressions of sheer delight in friendship .",happy,"['in', 'the', 'end', 'the', 'poems', 'poem', 'must', 'be', 'read', 'as', 'expressions', 'expression', 'of', 'sheer', 'delight', 'in', 'friendship']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.7680000000000002,0.0,0.0,0.0,0.0,1.0,0.633,1.0,0.727,joy,3.0,1.7680000000000002
"With such obvious delight in food , it 's hard to see how Blanc remains so slim .",happy,"['with', 'such', 'obvious', 'delight', 'in', 'food', 'it', ""'s"", 'be', 'hard', 'to', 'see', 'how', 'blanc', 'remains', 'remain', 'so', 'slim']",0.0,0.0,1.0,0.516,1.0,0.281,2.0,1.0230000000000001,0.0,0.0,0.0,0.0,1.0,0.633,3.0,1.32,trust,3.0,1.32
The animal seemed to take a perverse delight in terrorizing him .,happy,"['the', 'animal', 'seemed', 'seem', 'to', 'take', 'a', 'perverse', 'delight', 'in', 'terrorizing', 'terrorize', 'him', 'he']",2.0,1.354,1.0,0.805,2.0,1.3599999999999999,1.0,0.765,1.0,0.7809999999999999,0.0,0.0,1.0,0.633,0.0,0.0,fear,2.0,1.3599999999999999
"All he 'd glimpsed through the window was Matta playing solitaire of some kind , so why had the man taken such delight in terrifying him ?",happy,"['all', 'he', ""'d"", 'would', 'glimpsed', 'glimpse', 'through', 'the', 'window', 'was', 'be', 'matta', 'playing', 'play', 'solitaire', 'of', 'some', 'kind', 'so', 'why', 'had', 'have', 'the', 'man', 'taken', 'take', 'such', 'delight', 'in', 'terrifying', 'him', 'he']",0.0,0.0,0.0,0.0,1.0,0.9059999999999999,2.0,1.3860000000000001,0.0,0.0,0.0,0.0,1.0,0.633,1.0,0.6409999999999999,joy,2.0,1.3860000000000001
"But do I take delight in pushing you down , making you worse ?",happy,"['but', 'do', 'i', 'take', 'delight', 'in', 'pushing', 'push', 'you', 'down', 'making', 'make', 'you', 'worse']",0.0,0.0,0.0,0.0,1.0,0.484,1.0,0.765,2.0,0.734,0.0,0.0,1.0,0.633,0.0,0.0,joy,1.0,0.765
Todd showed delight in simple songs and reverence when invited to pray .,happy,"['todd', 'showed', 'show', 'delight', 'in', 'simple', 'songs', 'song', 'and', 'reverence', 'when', 'invited', 'invite', 'to', 'pray']",0.0,0.0,0.0,0.0,1.0,0.109,5.0,2.256,0.0,0.0,2.0,0.446,3.0,1.75,4.0,2.001,joy,5.0,2.256
"` But my chairman and vice-chairman have given me another year 's contract , and I 'm absolutely delighted to be staying at Nottingham Forest .",happy,"['but', 'my', 'chairman', 'and', 'vice', 'chairman', 'have', 'given', 'give', 'me', 'i', 'another', 'year', ""'s"", 'contract', 'and', 'i', ""'m"", 'be', 'absolutely', 'delighted', 'to', 'be', 'staying', 'stay', 'at', 'nottingham', 'forest']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8909999999999999,0.0,0.0,1.0,0.43,1.0,0.547,1.0,0.49200000000000005,joy,1.0,0.8909999999999999
"I 'm absolutely delighted that we achieved what we set out to do at the beginning of the week , which was to ensure that the Ryder Cup stayed on this side of the Atlantic .",happy,"['i', ""'m"", 'be', 'absolutely', 'delighted', 'that', 'we', 'achieved', 'achieve', 'what', 'we', 'set', 'out', 'to', 'do', 'at', 'the', 'beginning', 'of', 'the', 'week', 'which', 'was', 'be', 'to', 'ensure', 'that', 'the', 'ryder', 'cup', 'stayed', 'stay', 'on', 'this', 'side', 'of', 'the', 'atlantic']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.032,0.0,0.0,1.0,0.43,1.0,0.547,1.0,0.6559999999999999,joy,3.0,2.032
"Highly delighted with the transaction , we made our way back to Althorp Street , wondering how we were to break the news to Mrs Sugden .",happy,"['highly', 'delighted', 'with', 'the', 'transaction', 'we', 'made', 'make', 'our', 'we', 'way', 'back', 'to', 'althorp', 'street', 'wondering', 'wonder', 'how', 'we', 'were', 'be', 'to', 'break', 'the', 'news', 'to', 'mrs', 'sugden']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.653,0.0,0.0,3.0,1.414,1.0,0.547,1.0,0.414,joy,3.0,1.653
"Both Mr Souness and Jim Smith , the Portsmouth manager , emphasised how delighted they were with the overall quality of yesterday 's tie .",happy,"['both', 'mr', 'souness', 'and', 'jim', 'smith', 'the', 'portsmouth', 'manager', 'emphasised', 'emphasise', 'how', 'delighted', 'they', 'were', 'be', 'with', 'the', 'overall', 'quality', 'of', 'yesterday', ""'s"", 'tie']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8909999999999999,0.0,0.0,1.0,0.43,1.0,0.547,1.0,0.312,joy,1.0,0.8909999999999999
