tweet_text,sentiment,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,afraid,afraid_score,amused,amused_score,angry,angry_score,annoyed,annoyed_score,dontcare,dontcare_score,happy,happy_score,inspired,inspired_score,sad,sad_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
` I am very happy with the way I am playing but I accept that he believes he should be England 's fly-half .,happy,"['i', 'am', 'be', 'very', 'happy', 'with', 'the', 'way', 'i', 'am', 'be', 'playing', 'play', 'but', 'i', 'accept', 'that', 'he', 'believes', 'believe', 'he', 'should', 'be', 'england', ""'s"", 'fly', 'half']",trust,3.0,1.9450000000000003,10.0,0.764983318132662,10.0,1.559687225261536,10.0,0.9834562439567722,10.0,1.3744837677312827,10.0,1.3437760738685207,10.0,1.1722305892287423,10.0,1.8508514403888232,10.0,0.9505313414316608,inspired,10.0,1.8508514403888232
"But seriously , I 'm very happy that you 're staying .",happy,"['but', 'seriously', 'i', ""'m"", 'be', 'very', 'happy', 'that', 'you', ""'re"", 'be', 'staying', 'stay']",joy,1.0,0.7879999999999999,4.0,0.40975436304520874,4.0,0.5242698122848041,4.0,0.4488673062279972,4.0,0.5374533303399769,4.0,0.5427913540323459,4.0,0.36902424256936817,4.0,0.6866059208660866,4.0,0.4812336706342125,inspired,4.0,0.6866059208660866
We are very happy that the Volkswagen Tour has enabled us to welcome this renowned orchestra to the Festival for the first time .,happy,"['we', 'are', 'be', 'very', 'happy', 'that', 'the', 'volkswagen', 'tour', 'has', 'have', 'enabled', 'enable', 'us', 'we', 'to', 'welcome', 'this', 'renowned', 'orchestra', 'to', 'the', 'festival', 'for', 'the', 'first', 'time']",joy,3.0,1.634,12.0,0.824850545641137,12.0,1.7994357196935316,12.0,0.93746578583881,12.0,1.3797331439965927,12.0,1.9283276292019638,12.0,1.7834111996182727,12.0,2.3730851069990226,12.0,0.9736908690106696,inspired,12.0,2.3730851069990226
"In the last 10 days of the trail , however , he became much happier to take risks , although babies remained unkissed .",happy,"['in', 'the', 'last', '10', 'days', 'day', 'of', 'the', 'trail', 'however', 'he', 'became', 'become', 'much', 'happier', 'to', 'take', 'risks', 'risk', 'although', 'babies', 'baby', 'remained', 'remain', 'unkissed']",joy,2.0,1.2970000000000002,17.0,1.7230322293167954,17.0,2.4797834460754586,17.0,2.0249118514151387,17.0,2.1282494441978517,17.0,2.2354537690508907,17.0,1.587760218416234,17.0,2.7895924607396934,17.0,2.0312165807879374,inspired,17.0,2.7895924607396934
"A drop of scotch during occasional periods of self-criticism helped him to become happy with himself , but most of the time he was happy anyway .",happy,"['a', 'drop', 'of', 'scotch', 'during', 'occasional', 'periods', 'period', 'of', 'self', 'criticism', 'helped', 'help', 'him', 'he', 'to', 'become', 'happy', 'with', 'himself', 'but', 'most', 'of', 'the', 'time', 'he', 'was', 'be', 'happy', 'anyway']",anticipation,2.0,1.0710000000000002,13.0,1.3714444187678712,13.0,1.7619254726608993,13.0,1.4383085161316953,13.0,1.8680543382175354,13.0,1.7549774991829332,13.0,1.3683740038723218,13.0,2.1732224104268294,13.0,1.2636933407399156,inspired,13.0,2.1732224104268294
He felt suddenly happy at being alive .,happy,"['he', 'felt', 'feel', 'suddenly', 'happy', 'at', 'being', 'be', 'alive']",joy,2.0,1.319,5.0,0.49129028836904637,5.0,0.6759204551375406,5.0,0.44689908066502815,5.0,0.5901617468031195,5.0,0.6866253425804236,5.0,0.45558469622808373,5.0,1.0337187514330608,5.0,0.619799638783697,inspired,5.0,1.0337187514330608
What I did n't understand was why I did n't feel happy walking down the street afterwards .,happy,"['what', 'i', 'did', 'do', ""n't"", 'not', 'understand', 'was', 'be', 'why', 'i', 'did', 'do', ""n't"", 'not', 'feel', 'happy', 'walking', 'walk', 'down', 'the', 'street', 'afterwards']",joy,2.0,0.976,7.0,0.528517764515262,7.0,1.1031377337290191,7.0,0.6338598925170739,7.0,0.9142584783678945,7.0,0.9996729177748381,7.0,0.6731612397226295,7.0,1.4461757343864974,7.0,0.7012162389867858,inspired,7.0,1.4461757343864974
Sarah tried to stop herself from feeling happy at this revelation .,happy,"['sarah', 'tried', 'try', 'to', 'stop', 'herself', 'from', 'feeling', 'feel', 'happy', 'at', 'this', 'revelation']",joy,2.0,1.1469999999999998,8.0,0.5764336711716244,8.0,1.1632907007539648,8.0,0.890780643438904,8.0,1.1578071694201368,8.0,1.3474170953740676,8.0,0.7577565938989248,8.0,1.4048524609413642,8.0,0.7016616650010139,inspired,8.0,1.4048524609413642
He seemed happy with this .,happy,"['he', 'seemed', 'seem', 'happy', 'with', 'this']",joy,1.0,0.7879999999999999,3.0,0.19679584206231646,3.0,0.47763302515464556,3.0,0.25730543191295013,3.0,0.42546388502686044,3.0,0.468140567116055,3.0,0.3055012983223466,3.0,0.6343563917502832,3.0,0.2348035586545426,inspired,3.0,0.6343563917502832
"Nevertheless , no writer , however self-sufficient , writes without a thought of an audience , and Tolkien was happy to discover anyone who could appreciate what he was up to .",happy,"['nevertheless', 'no', 'writer', 'however', 'self', 'sufficient', 'writes', 'write', 'without', 'a', 'thought', 'of', 'an', 'a', 'audience', 'and', 'tolkien', 'was', 'be', 'happy', 'to', 'discover', 'anyone', 'who', 'could', 'appreciate', 'what', 'he', 'was', 'be', 'up', 'to']",anticipation,3.0,1.326,16.0,1.1616377805147353,16.0,2.720285956442597,16.0,1.5954387744401635,16.0,2.2597124622371845,16.0,1.993897060466335,16.0,1.6969024058950828,16.0,3.2429016350626165,16.0,1.3292239249412836,inspired,16.0,3.2429016350626165
He 's just happy to get on with it .,happy,"['he', ""'s"", 'be', 'just', 'happy', 'to', 'get', 'on', 'with', 'it']",joy,1.0,0.7879999999999999,2.0,0.11856050562800552,2.0,0.30461362640790784,2.0,0.1624779310885312,2.0,0.2564880236989667,2.0,0.3340052971760629,2.0,0.23499579078069202,2.0,0.433837704538692,2.0,0.15502112068114177,inspired,2.0,0.433837704538692
Neil Kinnock was happy that his deputy should spell out his commitment to equality as Labour 's objective .,happy,"['neil', 'kinnock', 'was', 'be', 'happy', 'that', 'his', 'he', 'deputy', 'should', 'spell', 'out', 'his', 'he', 'commitment', 'to', 'equality', 'as', 'labour', ""'s"", 'objective']",trust,4.0,2.4059999999999997,8.0,0.7118941851980896,8.0,1.0844744542045843,8.0,0.9520221212072748,8.0,1.154677172653644,8.0,1.0063622578297227,8.0,0.9189936317721947,8.0,1.3515035709660088,8.0,0.8200726061684812,inspired,8.0,1.3515035709660088
I was happy that I was having my own baby but sometimes I used to cry for nothing and I was easily upset .,happy,"['i', 'was', 'be', 'happy', 'that', 'i', 'was', 'be', 'having', 'have', 'my', 'own', 'baby', 'but', 'sometimes', 'i', 'used', 'use', 'to', 'cry', 'for', 'nothing', 'and', 'i', 'was', 'be', 'easily', 'upset']",sadness,2.0,1.312,9.0,0.6847850033280568,9.0,1.402452260291285,9.0,0.9897415088084777,9.0,1.2065398365418658,9.0,1.254911977496939,9.0,0.9023201231340328,9.0,1.6847818234009564,9.0,0.8744674669983858,inspired,9.0,1.6847818234009564
` We are not happy that the group is meeting Sinn Fein and will demand an explanation from the Consulate .,happy,"['we', 'are', 'be', 'not', 'happy', 'that', 'the', 'group', 'is', 'be', 'meeting', 'meet', 'sinn', 'fein', 'and', 'will', 'demand', 'an', 'a', 'explanation', 'from', 'the', 'consulate']",joy,1.0,0.7879999999999999,7.0,0.8044954516477397,9.0,1.1678549620219807,8.0,1.0332937411968959,7.0,1.0662628193233057,8.0,0.9294721467406251,9.0,1.5134706833866143,9.0,1.64419492839331,8.0,0.840955267289529,inspired,9.0,1.64419492839331
"` I 'm so happy you could make it , my favourite jockey . """,happy,"['i', ""'m"", 'be', 'so', 'happy', 'you', 'could', 'make', 'it', 'my', 'favourite', 'jockey']",joy,1.0,0.7879999999999999,5.0,0.4068024529705566,5.0,0.7819881470683423,5.0,0.4881709791737495,5.0,0.5163761436485705,5.0,0.7687548428800314,5.0,0.6203996083846293,5.0,0.8890953159933581,5.0,0.5284125098807625,inspired,5.0,0.8890953159933581
Said his co-boss Curbishley : ` I was a bit disappointed when Lennie Lawrence at Middlesbrough did n't come up with the price we 'd fixed but I 'm happy the lad is still here .,happy,"['said', 'his', 'he', 'co-boss', 'curbishley', 'i', 'was', 'be', 'a', 'bit', 'disappointed', 'when', 'lennie', 'lawrence', 'at', 'middlesbrough', 'did', 'do', ""n't"", 'not', 'come', 'up', 'with', 'the', 'price', 'we', ""'d"", 'would', 'fixed', 'fix', 'but', 'i', ""'m"", 'be', 'happy', 'the', 'lad', 'is', 'be', 'still', 'here']",trust,2.0,1.0310000000000001,12.0,0.9733034280040516,13.0,2.1296286266871034,12.0,1.4364364246937178,12.0,1.681826982878756,12.0,1.6304527398924387,13.0,1.4813145321375745,12.0,1.7647690370985227,14.0,2.902268228607835,sad,14.0,2.902268228607835
Do you have a delight in animals and skill in their management ?,happy,"['do', 'you', 'have', 'a', 'delight', 'in', 'animals', 'animal', 'and', 'skill', 'in', 'their', 'they', 'management']",joy,1.0,0.765,5.0,0.4775959331219207,5.0,0.8732597509870375,5.0,0.5408436092433746,5.0,0.5605825722083401,5.0,0.5750846718359657,5.0,0.5881874625717524,5.0,0.8918518588294282,5.0,0.49259414120218115,inspired,5.0,0.8918518588294282
"The book also moves close to a highly critical analysis of science and yet never becomes anti-science , only anti-scientific : Jones 's own delight in physics enthusiastically drawing the sting out of his own criticism .",happy,"['the', 'book', 'also', 'moves', 'move', 'close', 'to', 'a', 'highly', 'critical', 'analysis', 'of', 'science', 'and', 'yet', 'never', 'becomes', 'become', 'anti-science', 'only', 'anti-scientific', 'jones', ""'s"", 'own', 'delight', 'in', 'physics', 'physic', 'enthusiastically', 'drawing', 'draw', 'the', 'sting', 'out', 'of', 'his', 'he', 'own', 'criticism']",joy,2.0,0.881,21.0,2.026631996099843,21.0,3.4525869229766117,21.0,2.1042216998074452,21.0,2.8521168730611377,21.0,2.567727009186325,21.0,2.279721225345081,21.0,3.8690019218395544,21.0,1.8479923516839998,inspired,21.0,3.8690019218395544
But he was sniffily dismayed at their delight in consumerism and sheep-like attitude to the reactionary rubbish in the papers .,happy,"['but', 'he', 'was', 'be', 'sniffily', 'dismayed', 'dismay', 'at', 'their', 'they', 'delight', 'in', 'consumerism', 'and', 'sheep', 'like', 'attitude', 'to', 'the', 'reactionary', 'rubbish', 'in', 'the', 'papers']",anticipation,2.0,0.9299999999999999,10.0,0.7547945199198186,10.0,1.9872365267278942,10.0,1.2245240335755954,10.0,1.5040949516130764,10.0,0.9655845634697302,10.0,0.8749615608976844,10.0,1.8666863602623847,10.0,0.8221174835338154,amused,10.0,1.9872365267278942
"Trying to hide her enormous delight in his return , Juliet turned to David .",happy,"['trying', 'try', 'to', 'hide', 'her', 'she', 'enormous', 'delight', 'in', 'his', 'he', 'return', 'juliet', 'turned', 'turn', 'to', 'david']",joy,1.0,0.765,10.0,0.7887352986688577,10.0,1.6112561896717794,10.0,1.1214628269546139,10.0,1.3620507568138827,10.0,1.3757687786924748,10.0,1.1254823989987006,10.0,1.6761198906014645,10.0,0.9391238595982261,inspired,10.0,1.6761198906014645
"` Estelle 's delight in Thomas made your mother very happy , "" Ashley recalled , her head resting against his chest .",happy,"['estelle', ""'s"", 'delight', 'in', 'thomas', 'made', 'make', 'your', 'you', 'mother', 'very', 'happy', 'ashley', 'recalled', 'recall', 'her', 'she', 'head', 'resting', 'rest', 'against', 'his', 'he', 'chest']",joy,4.0,2.434,13.0,1.1918227904148482,14.0,2.189643664029191,14.0,1.4664042587935966,14.0,1.6287542903533532,14.0,2.0270089286627377,14.0,1.3751374979683102,14.0,2.498430396997581,14.0,1.6227981727803826,inspired,14.0,2.498430396997581
"She cackled and slapped her knees , bent double and wheezing with delight at her own witticisms .",happy,"['she', 'cackled', 'cackle', 'and', 'slapped', 'slap', 'her', 'she', 'knees', 'knee', 'bent', 'double', 'and', 'wheezing', 'wheez', 'with', 'delight', 'at', 'her', 'she', 'own', 'witticisms', 'witticism']",anger,1.0,0.7909999999999999,9.0,0.9129369626341661,10.0,2.075658551180663,10.0,1.3568711819312025,8.0,1.091709834751276,8.0,0.8886843978352084,11.0,1.424532510777454,10.0,2.0695715222692765,9.0,1.180035038620753,amused,10.0,2.075658551180663
My delight at everything I saw was beyond bounds gardens were allotted my sister and self there was the canal to fish in a pony to ride besides animals of different kinds,happy,"['my', 'delight', 'at', 'everything', 'i', 'saw', 'see', 'was', 'be', 'beyond', 'bounds', 'bound', 'gardens', 'garden', 'were', 'be', 'allotted', 'allot', 'my', 'sister', 'and', 'self', 'there', 'was', 'be', 'the', 'canal', 'to', 'fish', 'in', 'a', 'pony', 'to', 'ride', 'besides', 'animals', 'animal', 'of', 'different', 'kinds', 'kind']",joy,5.0,2.25,23.0,1.655577495332465,23.0,3.948356884055182,23.0,2.6513296917710423,23.0,3.3993475632200534,23.0,2.650898956939781,23.0,2.385224470062284,23.0,4.114546758225983,23.0,2.194718180393209,inspired,23.0,4.114546758225983
"They were astonished to see the penguin , and swooped low to call out with delight at her sleek feathers and solid little body .",happy,"['they', 'were', 'be', 'astonished', 'to', 'see', 'the', 'penguin', 'and', 'swooped', 'swoop', 'low', 'to', 'call', 'out', 'with', 'delight', 'at', 'her', 'she', 'sleek', 'feathers', 'feather', 'and', 'solid', 'little', 'body']",joy,1.0,0.765,14.0,1.3149182249263722,14.0,2.7340217460293137,14.0,1.3122622858028272,14.0,1.484310320152971,14.0,2.0243334164750397,14.0,1.5292016176628396,14.0,2.1554427846561515,14.0,1.4455096042944846,amused,14.0,2.7340217460293137
"The ANC , while expressing delight at their decision , nevertheless continued to call for the dissolution of the tricameral parliament , which it regarded as essentially racist .",happy,"['the', 'anc', 'while', 'expressing', 'express', 'delight', 'at', 'their', 'they', 'decision', 'nevertheless', 'continued', 'continue', 'to', 'call', 'for', 'the', 'dissolution', 'of', 'the', 'tricameral', 'parliament', 'which', 'it', 'regarded', 'regard', 'as', 'essentially', 'racist']",trust,3.0,1.524,15.0,1.5493219892916625,15.0,2.018303063851051,15.0,2.0851098271813626,15.0,2.1835922320367382,15.0,2.0177182662088673,15.0,1.4823837275219687,15.0,2.081975114604637,15.0,1.581595779303712,annoyed,15.0,2.1835922320367382
Her stumbling repetition masked a growing delight at his basic error .,happy,"['her', 'she', 'stumbling', 'repetition', 'masked', 'mask', 'a', 'growing', 'grow', 'delight', 'at', 'his', 'he', 'basic', 'error']",anticipation,2.0,1.1880000000000002,9.0,0.8824918410067824,9.0,1.4733963854575562,9.0,1.1660039854854007,9.0,1.2055267264001095,9.0,1.0825281605207453,9.0,0.9829390215102257,9.0,1.424655793504074,9.0,0.782458086115106,amused,9.0,1.4733963854575562
Bobby Robson 's delight at having guided his team to another major tourament was coupled with gratitude to the 40-year-old goalkeeper .,happy,"['bobby', 'robson', ""'s"", 'delight', 'at', 'having', 'have', 'guided', 'guide', 'his', 'he', 'team', 'to', 'another', 'major', 'tourament', 'was', 'be', 'coupled', 'couple', 'with', 'gratitude', 'to', 'the', '40', 'year', 'old', 'goalkeeper']",trust,3.0,1.8279999999999998,13.0,1.0183487912830493,14.0,1.9972029037977959,14.0,1.3056555503890646,14.0,2.187275650272719,14.0,1.942797866659354,14.0,1.747593596893123,14.0,2.39602585619882,14.0,1.4050997845060742,inspired,14.0,2.39602585619882
"Expressing his delight at being appointed , he said : ` This is the one job I had hoped for . """,happy,"['expressing', 'express', 'his', 'he', 'delight', 'at', 'being', 'be', 'appointed', 'appoint', 'he', 'said', 'say', 'this', 'is', 'be', 'the', 'one', 'job', 'i', 'had', 'have', 'hoped', 'hope', 'for']",anticipation,2.0,1.4060000000000001,11.0,0.9491944190747064,11.0,1.6055225261441723,11.0,1.3508383681405536,11.0,1.616859133968151,11.0,1.369013215303422,11.0,1.212570913141254,11.0,1.8180777641162555,11.0,1.0779236601114843,inspired,11.0,1.8180777641162555
Headmaster Jim Jones recalled her delight at winning the egg and spoon race .,happy,"['headmaster', 'jim', 'jones', 'recalled', 'recall', 'her', 'she', 'delight', 'at', 'winning', 'win', 'the', 'egg', 'and', 'spoon', 'race']",joy,3.0,2.195,11.0,0.8717088541893275,11.0,1.9660079832702901,11.0,1.001876826542722,11.0,1.2727544744801893,11.0,1.5235693753794044,11.0,1.4425302779766422,11.0,2.0627019441627934,11.0,0.8588502639986306,inspired,11.0,2.0627019441627934
The delight at being finally united with Joan was tempered by a feeling of discomfort about Ronnie Leahy .,happy,"['the', 'delight', 'at', 'being', 'be', 'finally', 'united', 'with', 'joan', 'was', 'be', 'tempered', 'temper', 'by', 'a', 'feeling', 'of', 'discomfort', 'about', 'ronnie', 'leahy']",anticipation,3.0,1.758,10.0,0.7336819321770277,10.0,1.6530443470790293,10.0,0.9799275287600846,10.0,1.3356701476670103,9.0,1.2877648692630266,10.0,1.2726182018573262,10.0,1.6996237078926164,10.0,1.0376692653038793,inspired,10.0,1.6996237078926164
Minton 's sober and workmanlike drawings instance his delight in registering rhythmic activity and industrial shapes .,happy,"['minton', ""'s"", 'sober', 'and', 'workmanlike', 'drawings', 'drawing', 'instance', 'his', 'he', 'delight', 'in', 'registering', 'register', 'rhythmic', 'activity', 'and', 'industrial', 'shapes', 'shape']",joy,1.0,0.765,13.0,1.0977220042810207,13.0,1.9935536218481447,13.0,1.1196962226345397,13.0,1.6298770608321727,13.0,1.5831670448015425,13.0,1.6745994914031024,13.0,2.8058349860450176,13.0,1.0955495681544598,inspired,13.0,2.8058349860450176
"His delight and sense of wonder at the growth of his baby were erratic as other interests pressed , but real enough .",happy,"['his', 'he', 'delight', 'and', 'sense', 'of', 'wonder', 'at', 'the', 'growth', 'of', 'his', 'he', 'baby', 'were', 'be', 'erratic', 'as', 'other', 'interests', 'interest', 'pressed', 'press', 'but', 'real', 'enough']",joy,4.0,2.168,12.0,1.0529568414875068,12.0,1.9882999429804176,12.0,1.2979860487132684,12.0,1.5993862771419969,12.0,1.657266741766928,12.0,1.342191985799039,12.0,1.9950852016239065,12.0,1.066826960486937,inspired,12.0,1.9950852016239065
"Yes , I 'd like to declare a small case of French flu , a dangerous fondness for Flaubert , a childish delight in French road-signs , and a love of the light as you look north .",happy,"['yes', 'i', ""'d"", 'would', 'like', 'to', 'declare', 'a', 'small', 'case', 'of', 'french', 'flu', 'a', 'dangerous', 'fondness', 'for', 'flaubert', 'a', 'childish', 'delight', 'in', 'french', 'road', 'signs', 'sign', 'and', 'a', 'love', 'of', 'the', 'light', 'as', 'you', 'look', 'north']",joy,4.0,2.5149999999999997,19.0,2.503777680178129,19.0,3.219266143598009,19.0,2.1426666158995937,19.0,2.647830571846155,19.0,2.2330399175549553,19.0,1.8046938309508544,19.0,2.6173664295760593,19.0,1.8313588103962448,amused,19.0,3.219266143598009
"The celebration of sexuality found in the works of Sidur , Neizvestny and others , stemmed partly from the mischievous delight in taunting society 's taboos .",happy,"['the', 'celebration', 'of', 'sexuality', 'found', 'find', 'in', 'the', 'works', 'work', 'of', 'sidur', 'neizvestny', 'and', 'others', 'other', 'stemmed', 'stem', 'partly', 'from', 'the', 'mischievous', 'delight', 'in', 'taunting', 'taunt', 'society', ""'s"", 'taboos', 'taboo']",joy,3.0,1.952,17.0,1.4512637310914258,17.0,2.8300807494066134,17.0,1.8599095752753896,17.0,2.121736430459532,17.0,2.248808567165738,17.0,1.8369030572015395,17.0,2.9001879363932135,17.0,1.7511099530065495,inspired,17.0,2.9001879363932135
"It was also due to a barbaric delight in high-sounding verbiage , and probably this was the most powerful reason for its use .",happy,"['it', 'was', 'be', 'also', 'due', 'to', 'a', 'barbaric', 'delight', 'in', 'high', 'sounding', 'verbiage', 'and', 'probably', 'this', 'was', 'be', 'the', 'most', 'powerful', 'reason', 'for', 'its', 'use']",joy,2.0,1.2810000000000001,10.0,0.9825650961124587,11.0,1.7484725135161265,11.0,1.4596478583185504,11.0,1.5219307998511853,11.0,1.3465971345914973,11.0,1.053670691830145,11.0,1.764474295726157,11.0,1.1226416100538794,inspired,11.0,1.764474295726157
"Re was at first pleased but soon realised that Hathor 's delight in killing might lead to the destruction of all mankind , which he had not intended .",happy,"['re', 'was', 'be', 'at', 'first', 'pleased', 'but', 'soon', 'realised', 'realise', 'that', 'hathor', ""'s"", 'delight', 'in', 'killing', 'kill', 'might', 'lead', 'to', 'the', 'destruction', 'of', 'all', 'mankind', 'which', 'he', 'had', 'have', 'not', 'intended', 'intend']",fear,3.0,2.665,14.0,1.6768932988657825,14.0,1.8884488284862482,14.0,1.7568843791913324,14.0,1.799065069485458,14.0,1.6083505217658736,14.0,1.5270288730999446,14.0,2.163900298326334,14.0,1.5794287307790271,inspired,14.0,2.163900298326334
Their cheerfulness and delight at still being alive only made Charlie feel more guilty .,happy,"['their', 'they', 'cheerfulness', 'and', 'delight', 'at', 'still', 'being', 'be', 'alive', 'only', 'made', 'make', 'charlie', 'feel', 'more', 'guilty']",joy,3.0,2.0540000000000003,8.0,0.5393213413607274,9.0,1.2494790104249334,9.0,0.9500231170794265,9.0,1.0884134354179669,9.0,1.0742514142471613,9.0,0.8905978720740164,9.0,2.3037725600478973,9.0,0.9041412493478711,inspired,9.0,2.3037725600478973
"This time Ronni admitted it , feeling a little like a traitor at the confession -- and at the sense of pure delight she felt at Guido 's gesture .",happy,"['this', 'time', 'ronni', 'admitted', 'admit', 'it', 'feeling', 'feel', 'a', 'little', 'like', 'a', 'traitor', 'at', 'the', 'confession', 'and', 'at', 'the', 'sense', 'of', 'pure', 'delight', 'she', 'felt', 'feel', 'at', 'guido', ""'s"", 'gesture']",trust,5.0,2.5410000000000004,15.0,1.0997164516700897,15.0,2.739030471786507,15.0,1.8793149342695403,15.0,2.0509780356696297,15.0,1.8305594391923123,15.0,1.4281326697794692,15.0,2.55708004565424,15.0,1.4151879519782125,amused,15.0,2.739030471786507
