sentiment,sentiment_score,tweet_text
joy,1.018,My best friend is my only friend Shes nothing but hundredpoints with me amp she know me better than anyone growingheart she my muh fuckin heart doubleexclamationmark ️ wearyface wearyface
joy,0.924,Kendre is the maddest right now facewithtearsofjoy facewithtearsofjoy
anger,0.47,annoying unamusedface unamusedface
trust,0.6409999999999999,oldman smilingfacewithhorns you seem real cool but you dont talk to me smilingfacewithopenmouthcoldsweat smilingface ️ speak up more doubleexclamationmark ️
trust,0.484,Dont feel like getting out of bed
anger,0.828,I hate when people fav or rt something that ha NOTHING to do with them unamusedface
joy,0.924,just know I dont care confusedface facewithtearsofjoy
joy,2.7119999999999997,newmoonface my other half soul mate and more I love you little cousin growingheart this gay but you my world little girl faceblowingakiss come home amp we deep tn facewithtearsofjoy facewithtearsofjoy
trust,0.617,heartdecoration speaknoevilmonkey you look good
anticipation,0.516,I have to text andre literally like 10 time for him to text me back
joy,0.469,heartwitharrow cherryblossom you got the harco clout smilingfacewithopenmouthcoldsweat clappinghands mediumdarkskintone but your pretty doubleexclamationmark ️
trust,0.531,Bouta just say fuck school today
joy,0.924,you annoying facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
joy,0.971,Plans for today None bc i have no friend smilingfacewithopenmouthcoldsweat
sadness,0.379,I miss you more growingheart growingheart growingheart prom Saturday doubleexclamationmark ️
joy,0.828,waterwave wesssss I miss you confusedface I used to love seeing you lol
joy,1.5779999999999998,neutralface your so funny to me Plus you cool smilingfacewithopenmouthcoldsweat speak more smilingfacewithsmilingeyes smilingfacewithsmilingeyes smilingfacewithsmilingeyes
fear,0.519,Last night wa crazy
joy,0.924,It seem like it took forever wearyface facewithtearsofjoy
joy,1.5779999999999998,your hot af smilingfacewithhearteyes fire tongue sweatdroplets
anticipation,0.695,Jopatowne prom hurry upppppp wearyface wearyface wearyface wearyface
joy,0.828,facesavouringdeliciousfood facesavouringdeliciousfood yo love me again winkingface smilingfacewithsmilingeyes but you funny a shit amp cool erky sparklingheart
trust,0.75,These female just arent loyal lol
anger,0.828,You can hate me now
sadness,0.312,Cant really go past one day of texting without getting bored unless I really wanna talk to them
joy,0.691,Thanks ugly smilingfacewithsmilingeyes birthday is October 27th lol
disgust,1.476,Females am not shit to me if their personality are trash
disgust,1.476,Females am not shit to me if their personality are trash
trust,0.75,It wa never that hard to be loyal to someone
fear,0.672,Mets making an outbreak this year smilingfacewithsunglasses
fear,0.672,Mets making an outbreak this year smilingfacewithsunglasses
sadness,0.516,newmoonface my bad boo
joy,2.505,lmao yea you do that il be right here celebrating my birthday
fear,0.741,Running thru the 6 with no woe
fear,0.741,Running thru the 6 with no woe
trust,0.8979999999999999,Just let her workout Fellas You see a girl at the gym looking like this What do u do
trust,0.8979999999999999,Just let her workout Fellas You see a girl at the gym looking like this What do u do
trust,0.617,Must be nice to have someone to talk to constantly everyday without getting bored
sadness,0.418,I really cant fall asleep Lemme turn my phone off
disgust,1.4680000000000002,Walk up in this bitch Fuck shit up then I leave hoe
anticipation,0.555,Already feeling tired
joy,0.594,Dont get confused just because I flirt with you doesnt always mean I want you
anticipation,1.7190000000000003,I work tomorrow from 84 Happy face smiley 0 facewithcoldsweat il see if il have an appetite by that time but Wyd after work
trust,1.32,Women look to cheat anywhere WHERE ARE WOMEN MORE LIKELY TO CHEAT CHURCH WORK SCHOOL CLUBOR OUT SHOPPING
disgust,0.359,Sofia he bugging am not he bug bug
trust,1.0,My brother woke me up to show me a replay on 2k Smh
trust,0.469,Fuck a Angelica fuck a mighty
joy,1.205,chill on me newmoonface facewithtearsofjoy
joy,1.5779999999999998,thanks bro smilingfacewithhorns
joy,0.469,whats wrong with it Pretty sure you do the same thing lowkey
joy,0.9840000000000001,Its Friday a great day to be faithful
joy,0.691,newmoonface shh it isnt even mightys birthday
joy,1.406,bae relax facewithcoldsweat you could celebrate it with me
anger,1.3279999999999998,I hate that my new stomach medicine made me break out like crazy all over my face unamusedface
anticipation,0.516,never been there Tell me the next time you work and Im up there smilingfacewithsunglasses
fear,0.484,lion is out the cage
trust,0.765,woah flirting could be a easy a sending Kissy face emojis Nothing serious I couldnt Lead someone on like that lol
disgust,0.82,Got me on that go dumb shit
anticipation,0.523,Watching the new avenger right now lol dont ask question
joy,0.691,lol it not my birthday worriedface
joy,0.828,cuter than you TF Love you too you Asian wang sucker
trust,1.1960000000000002,When you say you ugly on purpose to get a compliment but they end up agreeing lt
trust,0.75,Why cant nigga just be loyal to one female
joy,0.924,lol thats what I meant facewithtearsofjoy
joy,2.403,thank you for saying happy birthday anyways facewithstuckouttongue facewithtearsofjoy
anger,1.043,shit is too annoying
anger,0.453,lmao my bad bro
trust,0.484,Back on the scene like I never left
joy,1.814,celebrating every day like it is
trust,0.617,good Yall too rare now a day smh
joy,2.0,good you the faithful type facewithtearsofjoy
surprise,0.906,Randomly caught a craving for dime thanksgiving food worriedface
anger,0.5,Bout to make some breakfast Im starving
disgust,0.976,you not lying at all smh
trust,0.406,Lmao I wish I could just take a leaf off a tree and roll my weed in it fullmoonwithface
joy,0.691,it not my birthday I wa playing facewithcoldsweat but thank you smilingfacewithsmilingeyes smilingfacewithsmilingeyes
joy,1.205,chill facewithcoldsweat facewithcoldsweat it in October Dont be petty like that facewithtearsofjoy
joy,0.691,Lemme stop it not my birthday newmoonface
joy,0.5,I Must Stick With You My Baby sparklingheart
joy,0.5,Baby Ava Almost Here smilingcatfacewithhearteyes twohearts baby
joy,0.547,My Whole Heart Belongs To Him
joy,0.5,Ava Is Here smilingcatfacewithhearteyes twohearts baby
joy,1.4240000000000002,Diamond Avi facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy
disgust,0.82,Im Da Shit persontippinghand
joy,0.5,Baby Im The Best So You Cant Do Better smilingface ️ persontippinghand
joy,0.828,I Love Val Soo Much facewithtearsofjoy facewithtearsofjoy faceblowingakiss
anger,0.828,I Hate Not Getting A Text Back
sadness,0.8400000000000001,Keep Falling In amp Out Of Sleep sleepingface
sadness,0.7190000000000001,My Stomach Pain Onna 1000 pensiveface pensiveface
fear,0.703,I Be Feeling Bad For That Girl Smh
joy,0.7809999999999999,You Tell My How Beautiful amp Bad Asf I Am Everyday I Look At Myself In The Mirror Like Are We Seeing The Samething
joy,0.828,I Love You faceblowingakiss
joy,1.17,Shopping Always Makes Me Happy
joy,0.5,If I Had Friends I Wouldnt Be Bored
joy,0.828,Tonight Was Love facesavouringdeliciousfood smilingfacewithhalo speaknoevilmonkey raisedfist
joy,0.5,I Need Friends wearyface facewithtearsofjoy facewithtearsofjoy
anticipation,1.093,Cant Wait For The Day When Im Finally Yours
joy,0.875,From The Bottom Of My Heart Its True
sadness,0.328,My Mom Refuse To Let Me Leave This House
joy,1.5779999999999998,Guess who here facesavouringdeliciousfood Rod is here smilingfacewithhorns fullmoonwithface
joy,1.016,I Wish I Was Pretty amp Had A Good Body loudlycryingface
sadness,0.375,I Was Slumped Early
joy,0.828,Honey I Fall In Love With You Every Single Day
joy,0.5,Baby Avah Here smilingcatfacewithhearteyes
sadness,0.7190000000000001,Im In SoooMuch Pain Rn pensiveface
sadness,0.379,Miss You Tooo amp Yassa Text Me
joy,0.7879999999999999,Cause I Always Wanna Make You Happy
anger,0.453,Antonia Bad Asf facewithtearsofjoy smilingcatfacewithhearteyes smilingcatfacewithhearteyes
sadness,0.871,Fell Asleep With My Baby Lastnight
anticipation,0.523,Cant Wait To Be Tan Again wearyface smilingcatfacewithhearteyes
fear,0.688,My Stomach Hurts pensiveface
joy,0.515,Avah Makes Me Want Children But Alaina Makes Me Not Want Kids
joy,0.547,My Heart Belongs To One Person
anticipation,1.0,Remember What Happened Last Time facewithtearsofjoy facewithtearsofjoy
joy,0.5,Ava Should Be Here Anytime twohearts baby
anger,1.4489999999999998,Grandma Stay Yelling At Me
trust,1.148,you played extremely good Good diving catch in center
joy,0.765,Turn Upp Party
trust,0.484,This is like the hamster cage 20 year later
sadness,1.7280000000000002,This Bond Will Never Be Broken The Love Will Never Be Lost
sadness,0.8440000000000001,This Is Just Sad
anger,0.688,I Get Mad Over Anything amp Everything
anticipation,0.555,This grown as man really just try get with me
surprise,0.32,Who Wants To Play Catch eye
joy,0.5,Baby Anything You Say Ill Do
joy,0.5539999999999999,graciasNuria Sebascotwo thumb up
disgust,0.539,Jealous X Beyoncé ft Chris brown repeatsinglebutton
anticipation,1.5750000000000002,u guy watched Im glad smilingface ️ u took the time Gg
trust,1.21,I dont like the be doubt Took a day once I got a account gameplay coming soon
fear,2.352,A guy on my team dropped a DNA Lmao I wa solo I cant beilve I get this much hate message the kid I wa killing if u dont beilve me
trust,1.133,of course I do I believe in god and I pray to god
fear,1.509,lmao I never wanted to be a pub stomper your mad cuz I dropped more kill then you Lmaoo it ok I told u 1 day nerd
disgust,0.82,lmao your going to pas me because you joined krng without them your shit lmao
anger,0.828,Who hate me
trust,0.75,Gg than man respect hundredpoints hundredpoints hundredpoints OKhand OKhand
anticipation,0.4920000000000001,my boy roasting this old head on the court
anger,0.615,lmao he got smacked on stream
trust,1.891,hopefully if I join we could be partner winkingface one day and hope you guy liked my montage tribute
trust,0.516,facewithtearsofjoy facewithtearsofjoy amen raisinghands OKhand hundredpoints
anger,0.688,When nerd say they would cyber bully me lmao the internet can make you a man bro lol
joy,1.755,yoooooo Im still laughing
disgust,1.476,I like American horror story shit just be having me confused lmao facewithtearsofjoy
anger,0.688,yup never wa I a bully
anger,0.615,Video of me smacking krng streaking will be up 2omro rt rt
sadness,0.7689999999999999,lmao ok Im fake goodbye this is a pointless argument
trust,0.648,stay fly brother
joy,0.348,nah he let me hold it if I did him a favor
anticipation,0.516,Up early time to get this video up and going
joy,0.971,do u kno how many friend I have on my friend list your haunting beacause I dropped more kill then you
anger,0.828,Ppl really bring me so much hate and I try to be cool with everyone smh
anger,0.667,yeah bro Im done man hit me up with the hard point scrim
joy,0.531,the best active alive
trust,0.648,My brother got me a ps4 cam once it come in the mail I can upload live gameplays to my channel now smilingfacewithsmilingeyes smilingface ️ grinningfacewithsmilingeyes and stream with a face cam
trust,1.015,I just want to get with a good clan and that seems to be the way to do it
joy,0.828,If u got ball that somebody you love
sadness,0.328,oh wow lmao left that one out
sadness,1.179,no I dont bitch why dont u add the guy message him and ask him if he wa dieing for me yal hater
anger,0.667,A few sub off 1600 so shout out or introducing video that grand from the bottom when I recoded video with my cell phone hundredpoints
trust,1.055,Lmaooo I dont need diers Lmaooo yo why are u mad u are a hater lmao show proof of a dier Running around in vid dieing
trust,0.484,Yo this man really posted that yo like what tiredface tiredface facewithmedicalmask facewithmedicalmask facewithmedicalmask lmao your wood on twitter lol
disgust,0.82,someone who used to suck my dick watch my video talking shit now lmao
trust,1.219,Del the video until I can get a better proof video for these hater Ill record the next video fully
fear,2.64,I got the snake on the low around me worrying about me cigarette cigarette
joy,0.438,New generation of cod who can hang I know I can who can adjust I know I can Life ha evolution Get used to it
trust,2.32,Montage wa going for the edits more than clip gotta save the real good one for my own personal facesavouringdeliciousfood
joy,0.406,tell me what u want me to trip Ill do it on a live stream for u 100 is easy
fear,0.962,I want to get 1 high score game and a dier account cuz I kno I can drop more kill then half of the people who do it after that I will del it
joy,1.521,I promise guy facewithtearsofjoy facewithtearsofjoy I wont make reverse Boosting a habit one high score gameplay and it gone just want to prove a point thats all
anger,0.828,yeah I feel u he just hated me and Im not apart of pubstomping only did it to prove a point my video are to help people and
trust,0.484,Im not sub tweeting there is no need to like I said if u have something against me unfollow it simple
trust,0.617,have a good night man
anger,0.688,your mad if I joined krng I would have 10k sub just off my talent lmao You dont want to see that
joy,1.5779999999999998,they dont have a driftor camo plus I like that it look like we may be getting the old ak47 back smilingfacewithsmilingeyes
trust,0.477,I never wa following u and I didnt kno u followed me until just now lol
anger,0.828,Ppl act like you can spawn trap in aw lmao u think I could get 200 from 1 dier stop with the hate man smh
fear,1.7600000000000002,he wa shooting nades at me and everything bro he not all that hyped up people make him to be
anger,1.3030000000000002,Ready to scrim today yesterday I wa mad about drama but today I will be smacking people
trust,0.484,U kno how your parent be like I miss those day it get to that point for everyone in life u will talk about how something back it the day
anticipation,1.078,I am not a pubstomper facewithmedicalmask facewithmedicalmask facewithmedicalmask i like my boy i smack people time to time have fun and play the game and make video
disgust,0.633,forkandknife poultryleg meatonbone cat cat poodle rat rat hamsterface mouseface dogface kitchenknife kitchenknife kitchenknife
anger,0.828,it done now I respected his grind even tho after what wa said I dont hate never will
anticipation,0.523,Yes they said gunplay is just like bo2 it crazy how a lot of those YouTubers get to play it early smh cant wait until Im like that
anger,1.656,yes and these faggets from o5 hating because that random retro ha me added anyone who support me
joy,0.924,lmaooooo facewithtearsofjoy facewithtearsofjoy
disgust,1.515,your sub are all from the clan u didnt half to grind for shit u just one of them kid who hate
sadness,0.6409999999999999,the video will be up of me smacking him dont worry
joy,0.375,yes Im uploading the full half gameplay with a commentary it will be up soon
sadness,0.625,make move with no regret OKhand hundredpoints
trust,1.531,I smacked him we both were On god account he wa using a speakeasy with nades video coming soon
anger,0.453,547 849 I can say this gameplay is fake u cant just pick out 1 guy from mine and call fake facewithtearsofjoy facewithtearsofjoy cuz 1 guy did bad
trust,0.664,yeah bro team always back out
trust,0.664,lmao one I dont kno who that is two you will see no diers someone on my team dropped a DNA Lmao
trust,0.375,raisinghands raisinghands just adjust a I say man smh they always end up buying the game Anyway
trust,0.914,it whatever man Im not doing rb account ever again
anticipation,0.516,Please Rt I blocked every single person who fav and fed into his bullshit that wa 69 people added to my block list I have no more time for it
fear,0.86,oh hell no they still going nut in bmore
anticipation,0.47600000000000003,Rt if your a white cod player fav if your a black player comment if your Spanish quote if your Asian smilingfacewithsmilingeyes
anticipation,0.516,if You dont like me or have a problem with me let me kno now so we can unfollow each other I dnt have time for drama
disgust,0.648,If u can say out your mouth that my girl is ugly I know your a child and will not further a argument with you relievedface
joy,0.7879999999999999,I do miss all the old cod dont get me wrong I just dont get bored of the new one I dont know why lol maybe YouTube make it fun
trust,1.023,smacking try hards people can beilve what they want I had tht kid added on my personal not the dier account so how did he end up
fear,1.5460000000000005,Lmaooo facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy no one will be shooting I The air I promise
surprise,0.398,facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy I guess so
trust,1.015,I cant stand when people say I have a ego when I say every fucking player is good in gw I said it in my video i posted about ground war wearyface
joy,1.25,What facewithtearsofjoy facewithtearsofjoy yo enjoy life bro no need for such hate man everything will be ok whatever your going threw
disgust,0.695,yeah lol it a waste of time bro
anger,0.7340000000000001,ok b give me a few day I have no more time to argue plz dont tag me anymore Im drama free over here
joy,1.3030000000000002,Never hate or be rude to someone they can be your bos someday thats why I never made fun of kid who had le in high school
anger,0.828,form people I dont care for I have always been getting hate bro
anticipation,1.109,Im watching the investigation discovery Channel yo these pervs be snatching kid up and shit I swear I see why parent are strict
joy,0.789,My heart is growing soft for people smilingfacewithopenmouthcoldsweat cryingface
anticipation,0.516,I recorded half time the video will be up soon lmao your looking at one person facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy saying he is a dier lmao
anticipation,0.523,I already uploaded a com and unlisted it the same thing a watching the video lol I didnt edit it I just talked over it
trust,1.046,Its not exos people read thrust jump to thrust mean using force so if anything it would have like one strong Jump
anticipation,0.86,bro lmao against sweatys it not just about the score people stay for good coms
trust,1.531,let see who can drop the most without god account Les goo
anger,1.287,Rocking my money belt u get a money beating oncomingfist yenbanknote cigarette
sadness,0.968,If you know someone who hate me them I just wanna know
trust,1.14,Im I a god account duh they will be diers lmao
trust,1.867,yes I had a account before lol I kno the perfect way to do it bro trust me I dropped 500 in bo2 I got this Lol
joy,0.812,lol I dont have a ego I just kno I can do it lol but chill I dont have a ego being confident is a another thing
fear,0.636,hundredpoints hundredpoints hundredpoints hundredpoints raisinghands raisinghands raisinghands fire
anger,0.688,shut up lmao your nowhere near better thene just stop your mad kid untag u use to suck my dick
anticipation,0.586,lmao I get that plus money I work for facewithtearsofjoy facewithtearsofjoy I couldnt buy all the shoe and clothes am gaming stuff with 150
trust,1.14,god account plz raisinghands what would u want
anticipation,0.922,OKhand yup learned that a long time ago
trust,0.523,I think that wa cupcake old account I dont even kno who that is
trust,1.296,promise you I will drop it once I get a account OKhand
trust,0.976,Im not doing it to judge my skill of randoms Im using it to see how many kill I cant get to post to a big clan
fear,0.962,no it not I wont stay on that account and call it my main I just know I can get more kill the Half the people who do it
trust,1.624,I hate o5 now there member are hater he said u can see a guy jumping around with a knife like Im not on a god account Lmaooo
trust,1.485,Thankyou bro at least we got the real truth hundredpoints hundredpoints hundredpoints
disgust,0.82,oh shit I thought that wa a random I didnt kno that wa u lmao u dont be Letting me know when it you
anger,0.828,like I really can control someone running around with a knife facewithtearsofjoy facewithtearsofjoy yal just hate me face it lmao
fear,1.14,give me life trying to be a African American YouTuber and to remember they are internet worry u do something great for u hundredpoints OKhand
trust,1.148,inv her back bro she always stayed loyal with the clan
trust,0.75,He wa trying message him and ask him Im known u dumbass I have over 1000 friend request people who support me I add
anticipation,1.133,if your life wa so good u wouldnt care to start childish drama on the internet u will get threw it man
trust,1.281,Yo I would love anyone who could get me a dier account I want to see how much kill I can get Ill do u what ever favor cryingface cryingface cryingface cryingface
sadness,1.4529999999999998,no I just want to see how many kill I can get if u listen to the whole video I said there no hate to it
sadness,0.6409999999999999,yes got u Dont worry
trust,0.75,yea it my friend
trust,0.398,but I got 1000 without it imagine If I get into a big clan I would reach 10k
sadness,0.63,auto correct sue me lol anything else u wanna get of your chest sport
trust,0.922,It really matter about who you are in this world man
fear,0.962,yes I only have half I recorded half time u can see I only had 80 kill thats like me going to your video swing 23and66
joy,0.924,lol it ok the video game facewithtearsofjoy
disgust,1.515,Thats why I stopped gw from now on every lobby I get in is a mute and blocking who ever talk shit not for the childish hate anymore
fear,0.7759999999999999,Small circle Keep it right snake snake snake in the grass Gotta keep it cut low
anger,1.297,Im just trying to talk to u and let you kno I dont like drama I dont hate u or dislike u relievedface
joy,0.515,I have one kid added I cant control who joined my game lmao yoo u kid are hater untag
joy,0.516,sub to og almighty Im getting ready to put it up I need to com over it
fear,1.805,Is 100 kill 4 death plus a DNA a good game play
trust,1.492,Man I love all my supporter yal my squad man hundredpoints hundredpoints fire fire fire fire fire fire fire fire fire fire hundredpoints hundredpoints hundredpoints hundredpoints OKhand
trust,0.617,one of the best lol do u understand what that mean I say everyone is good how do I have a ego
trust,1.7809999999999997,Fav if you like relationship and think cheating is for child
trust,1.14,message him need you sound dumb Im on a dier account I get diers are you kidding me are they suppose to be good
sadness,0.312,I wanna see it
disgust,0.695,untag lmao waste of my time
anticipation,0.633,yup one coming soon after this grandmaster video
anticipation,0.6409999999999999,because I would upload at least 67 100 why are u being so hype
fear,0.636,facewithmedicalmask facewithmedicalmask fire
joy,2.366,Hes going to post a video about me lmao I will be happy thats a shout out for me lmao give me your sub smilingfacewithsmilingeyes
anger,0.828,u kno how many people u can say a person gameplay is fake lmao I got a lot hate so it whatever man
