Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
One more day tiff.. One more day!,anger,0.208,anger,"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']","[""'one"", 'more', 'day', 'tiff', 'one', 'more', 'day']",anger,1.0,0.41200000000000003,amused,3.0,0.47547540570874947,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348,anger,"['me', 'being', 'on', 'my', 'dean', 'really', 'saving', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', 'so', 'much', 'out', 'of', 'me']","[""'me"", 'be', 'of', 'and', 'my', 'dean', 'really', 'save', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', ""so'"", 'much', 'out', 'of', 'i']",trust,1.0,0.562,inspired,10.0,2.0473286740824,0.0,0.0,7.0,1.0,0.0,0.0,joy,7.0
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,anger,"['who', 'knew', 'softballs', 'could', 'sting', 'so', 'bad', 'jimmy', 'fallon', 'has', 'been', 'under', 'a', 'lot', 'of', 'heat', 'for', 'his', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']","[""who'"", 'know', 'softball', 'could', 'sting', ""so'"", 'bad', 'jimmy', 'fallon', 'have', 'be', 'under', 'a', 'lot', 'of', 'heat', 'for', 'he', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']",fear,3.0,1.071,inspired,13.0,2.36116970262625,1.0,1.0,6.0,1.0,2.0,1.0,joy,6.0
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,anger,"['women', 'do', 'not', 'like', 'girls', 'because', 'we', 'resent', 'them', 'for', 'looking', 'so', 'great', 'we', 'wish', 'we', 'still', 'looked', 'like', 'that', 'washed']","['woman', ""do'"", 'not', 'like', 'girl', 'because', ""we'"", 'resent', 'they', 'for', 'look', ""so'"", 'great', ""we'"", 'wish', ""we'"", 'still', 'look', 'like', 'that', 'wash']",anger,1.0,0.765,inspired,14.0,2.7685180353185297,0.0,0.0,6.0,2.0,0.0,0.0,joy,6.0
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,anger,"['where', 'is', 'your', 'outrage', 'that', 'your', 'party', 'nominated', 'a', 'lying', 'corrupt', 'person', 'and', 'received', 'donations', 'from', 'nations', 'who', 'support', 'terror']","['where', 'be', 'you', 'outrage', 'that', 'you', 'party', 'nominate', 'a', 'lie', 'corrupt', 'person', 'and', 'receive', 'donation', 'from', 'nation', ""who'"", 'support', 'terror']",anger,3.0,1.604,inspired,16.0,2.7443326352548425,1.0,1.0,8.0,1.0,4.0,1.0,joy,8.0
I swear I got anger issues but my heart big AF...,anger,0.604,anger,"['i', 'swear', 'i', 'got', 'anger', 'issues', 'but', 'my', 'heart', 'big', 'af']","['i', 'swear', ""i'"", 'get', 'anger', 'issue', 'but', 'my', 'heart', 'big', 'af']",anger,1.0,0.8109999999999999,inspired,9.0,1.4803297037673402,1.0,1.0,2.0,0.0,0.0,0.0,joy,2.0
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.438,anger,"['75', 'tierney', 'reaches', 'a', 'deep', 'cross', 'to', 'the', 'back', 'post', 'and', 'plays', 'it', 'back', 'across', 'but', 'the', 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']","['75', 'tierney', 'reach', 'a', 'deep', 'cross', ""to'"", ""tha'"", 'back', 'post', 'and', 'play', 'it', 'back', 'across', 'but', ""the'"", 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']",anger,1.0,0.561,inspired,14.0,2.377244484581379,0.0,0.0,8.0,0.0,0.0,0.0,joy,8.0
This is a joke @SomersetCCC #fuming,anger,0.688,anger,"['this', 'is', 'a', 'joke', 'fuming']","['this', 'be', ""a'"", 'joke', 'fume']",anger,1.0,0.812,angry,3.0,0.8095436121059514,1.0,1.0,1.0,0.0,0.0,0.0,,0.0
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,anger,"['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plans', 'for', 'me', 'without', 'actually', 'including', 'me', 'in', 'this', 'process', 'rage']","['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plan', 'for', ""me'"", 'without', 'actually', 'include', ""me'"", 'in', 'this', 'process', 'rage']",anger,1.0,0.9109999999999999,inspired,11.0,1.886285260839949,0.0,0.0,7.0,1.0,0.0,0.0,joy,7.0
"Be quick to #listen, slow to #speak, and slow to .",anger,0.121,anger,"['be', 'quick', 'to', 'listen', 'slow', 'to', 'speak', 'and', 'slow', 'to']","[""be'"", 'quick', ""to'"", 'listen', 'slow', ""to'"", 'speak', 'and', 'slow', 'to']",,0.0,0.0,inspired,4.0,0.8070487776788385,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.417,anger,"['it', 'will', 'be', 'like', 'burning', 'rap', 'albums', 'they', 'will', 'have', 'to', 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', 'to', 'get', 'rid', 'of', 'it']","['it', 'will', ""be'"", 'like', 'burn', 'rap', 'album', 'they', 'will', 'have', ""to'"", 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', ""to'"", 'get', 'rid', 'of', 'it']",trust,1.0,0.484,amused,12.0,2.469506005175629,0.0,0.0,5.0,2.0,0.0,0.0,joy,5.0
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.472,anger,"['haha', 'actually', 'after', 'the', 'doggies', 'i', 'am', 'barracking', 'for', 'anyone', 'but', 'gws', 'bitter']","[""haha'"", 'actually', 'after', ""the'"", 'doggy', ""i'"", 'am', 'barrack', 'for', 'anyone', 'but', 'gw', 'bitter']",,0.0,0.0,amused,7.0,2.0730423043880397,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
my wasp sting is so itchy,anger,0.35600000000000004,anger,"['my', 'wasp', 'sting', 'is', 'so', 'itchy']","['wasp', 'sting', 'be', 'so', 'itchy']",fear,2.0,1.016,amused,3.0,0.5723529662163382,2.0,2.0,0.0,1.0,1.0,2.0,,0.0
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,anger,"['grateful', 'for', 'all', 'the', 'hungry', 'people', 'in', 'my', 'life', 'hungry', 'to', 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'has', 'it', 'better']","[""'grateful"", 'for', 'all', ""the'"", 'hungry', 'people', 'in', 'my', 'life', 'hungry', ""to'"", 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'have', 'it', 'better']",joy,3.0,1.469,inspired,12.0,2.866049982948376,0.0,0.0,11.0,1.0,0.0,1.0,joy,11.0
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,0.542,anger,"['don', 'king', 'is', 'an', 'insult', 'to', 'the', 'intelligence', 'of', 'the', 'black', 'community', 'what', 'are', 'these', 'people', 'thinking']","['don', 'king', 'be', 'a', 'insult', ""to'"", ""the'"", 'intelligence', 'of', ""the'"", 'black', 'community', 'what', 'be', 'these', 'people', 'think']",trust,2.0,0.9920000000000001,inspired,8.0,1.3736192002930139,0.0,0.0,5.0,1.0,1.0,1.0,joy,5.0
@Arsenal Giroud's beard is making me angry.,anger,0.625,anger,"['giroud', 'is', 'beard', 'is', 'making', 'me', 'angry']","['giroud', 'be', 'beard', 'be', 'make', ""me'"", 'angry']",anger,1.0,0.8240000000000001,inspired,5.0,1.2702386053332675,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,anger,"['i', 'will', 'be', 'honest', 'i', 'hope', 'that', 'annoying', 'southern', 'bint', 'with', 'the', 'look', 'at', 'me', ""'"", 'pout', 'goes', 'out', 'this', 'week', 'selasi', 'ftw']","[""'i"", 'will', ""be'"", 'honest', ""i'"", 'hope', 'that', 'annoying', 'southern', 'bint', 'with', ""the'"", 'look', 'at', 'i', 'pout', 'go', 'out', 'this', 'week', 'selasi', 'ftw']",trust,2.0,1.524,inspired,11.0,2.6678797549661195,0.0,0.0,7.0,1.0,0.0,0.0,joy,7.0
"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,anger,"['well', 'not', 'archie', 'no', 'offense', 'but', 'he', 'is', 'kinda', 'old']","['well', 'not', 'archie', ""no'"", 'offense', 'but', 'he', 'be', 'kinda', 'old']",disgust,1.0,0.5,inspired,5.0,0.8207950831939371,0.0,0.0,2.0,2.0,0.0,0.0,,0.0
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0.25,anger,"['wow.', 'not', 'heard', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']","['wow.', 'not', 'hear', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']",,0.0,0.0,inspired,6.0,1.2004494247762798,0.0,0.0,4.0,1.0,1.0,0.0,joy,4.0
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger,0.542,anger,"['me', 'and', 'these', 'burns', 'that', 'i', 'pick', 'up', 'off', 'the', 'pitches', 'do', 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']","[""'me"", 'and', 'these', 'burn', 'that', ""i'"", 'pick', 'up', 'off', ""the'"", 'pitches', ""do'"", 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']",sadness,1.0,0.7809999999999999,amused,9.0,1.7264976437637969,1.0,1.0,4.0,4.0,1.0,1.0,,0.0
ICQ is just making me mad!!!😤 #icq #angry,anger,0.75,anger,"['icq', 'is', 'just', 'making', 'me', 'mad', 'face_with_steam_from_nose', 'icq', 'angry']","[""'icq"", 'be', 'just', 'make', ""me'"", 'mad', 'face_with_steam_from_nose', 'icq', 'angry']",anger,2.0,1.512,amused,5.0,0.7731702593087241,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
"If angry, bash out your frustration on the pastry #GBBO",anger,0.53,anger,"['if', 'angry', 'bash', 'out', 'your', 'frustration', 'on', 'the', 'pastry', 'gbbo']","['if', 'angry', 'bash', 'out', ""your'"", 'frustration', 'of', 'and', ""the'"", 'pastry', 'gbbo']",anger,2.0,1.4000000000000001,amused,4.0,0.8377307385814334,0.0,0.0,6.0,0.0,0.0,0.0,joy,6.0
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,anger,"['than', 'straight', 'people', 'even', 'the', 'arse', 'straight', 'guys', 'who', 'think', 'that', 'means', 'a', 'threesome', 'is', 'fine', 'angry', 'fuming']","['than', 'straight', 'people', 'even', ""the'"", 'arse', 'straight', 'guy', ""who'"", 'think', 'that', 'mean', 'a', 'threesome', 'be', 'fine', 'angry', 'fume']",anger,2.0,1.6360000000000001,amused,14.0,2.972387753356043,1.0,1.0,6.0,1.0,1.0,0.0,joy,6.0
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,anger,"['oh', 'dear', 'i', 'have', 'to', 'watch', 'this', 'the', 'woman', 'with', 'the', 'pout', 'did', 'well']","[""'oh'"", 'dear', ""i'"", 'have', ""to'"", 'watch', 'this', ""the'"", 'woman', 'with', ""the'"", 'pout', 'do', 'well']",anticipation,1.0,0.523,amused,6.0,1.3912437883718745,0.0,0.0,7.0,0.0,0.0,0.0,joy,7.0
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.458,anger,"['he', 'totally', 'knew', 'about', 'it', 'trump', 'finally', 'gets', 'revenge', 'for', 'his', 'son', 'in', 'law', 'is', 'prosecution', 'imprisonment', 'and', 'throws', 'christie', 'under', 'the', 'bus']","[""'he"", 'totally', 'know', 'about', 'it', 'trump', 'finally', 'get', 'revenge', 'for', 'he', 'son', 'in', 'law', 'be', 'prosecution', 'imprisonment', 'and', 'throw', 'christie', 'under', ""the'"", 'bus']",anger,2.0,1.426,inspired,16.0,2.490324612736507,1.0,1.0,8.0,1.0,0.0,1.0,joy,8.0
@Dak2future decorations are up all over Jersey already #outrage,anger,0.562,anger,"['decorations', 'are', 'up', 'all', 'over', 'jersey', 'already', 'outrage']","['decoration', 'be', 'up', 'all', 'over', 'jersey', 'already', 'outrage']",anger,1.0,0.848,inspired,5.0,0.9449776676113867,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
We're going to get City in the next round for a revenge.,anger,0.438,anger,"['we', 'are', 'going', 'to', 'get', 'city', 'in', 'the', 'next', 'round', 'for', 'a', 'revenge']","[""we'"", 'be', 'go', ""to'"", 'get', 'city', 'in', ""the'"", 'next', 'round', 'for', 'a', 'revenge']",anger,1.0,0.738,inspired,7.0,1.1873716359627988,1.0,1.0,4.0,0.0,0.0,1.0,joy,4.0
@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,anger,"['or', 'in', 'my', 'case', 'a', 'raging', 'moody', 'cow', 'lol', 'why', 'i', 'buy', 'moody', 'cow', 'socks', 'lol']","[""'or"", 'in', 'my', 'case', ""a'"", 'rage', 'moody', 'cow', 'lol', 'why', ""i'"", 'buy', 'moody', 'cow', 'sock', 'lol']",anger,3.0,2.219,amused,9.0,1.8277451471597073,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger,0.479,anger,"['no', 'respect', 'for', 'people', 'who', 'force', 'their', 'opinions', 'on', 'to', 'others', 'yet', 'get', 'offended', 'when', 'someone', 'does', 'the', 'same', 'to', 'them', 'face_with_tears_of_joy']","[""no'"", 'respect', 'for', 'people', ""who'"", 'force', 'they', 'opinion', 'of', 'and', ""to'"", 'other', 'yet', 'get', 'offend', 'when', 'someone', 'do', ""the'"", 'same', ""to'"", 'they', 'face_with_tears_of_joy']",anger,3.0,1.8199999999999998,annoyed,11.0,1.8456930955095603,0.0,0.0,7.0,0.0,1.0,0.0,joy,7.0
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,0.479,anger,"['here', 'is', 'a', 'tip', 'for', 'everyone', 'stop', 'being', 'offended', 'end.', 'offended', 'quit', 'youredumb', 'liveyourownlife']","['here', 'be', ""a'"", 'tip', 'for', 'everyone', 'stop', 'be', 'offend', 'end.', 'offend', 'quit', 'youredumb', 'liveyourownlife']",anger,2.0,1.4020000000000001,annoyed,6.0,1.010610593399107,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,0.708,anger,"['why', 'to', 'have', 'vanity', 'sizes', 'now', 'sizes', 's', 'xs', 'evenxxs', 'sometimes', 'are', 'too', 'big', 'wtf', 'dear', 'corporate', 'jerks', 'lithuania', 'did', 'not', 'need', 'this', 'rant', 'angry']","['why', ""to'"", 'have', 'vanity', 'size', 'now', 'size', ""'s"", 'x', 'evenxx', 'sometimes', 'be', 'too', 'big', ""'wtf"", 'dear', 'corporate', 'jerk', 'lithuania', 'do', 'not', 'need', 'this', 'rant', 'angry']",anger,4.0,2.718,amused,15.0,3.2297846412892346,0.0,0.0,9.0,2.0,1.0,0.0,joy,9.0
"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger,0.741,anger,"['ultimately', 'keith', 'scott', 'was', 'not', 'the', 'man', 'they', 'were', 'there', 'to', 'hand', 'an', 'arrest', 'warrant', 'to', 'that', 'is', 'what', 'we', 'know', 'that', 'is', 'enough', 'to', 'because', 'outrage']","['ultimately', 'keith', 'scott', 'be', 'not', ""the'"", 'man', 'they', 'be', 'there', ""to'"", ""hand'"", 'a', 'arrest', 'warrant', ""to'"", 'that', 'be', 'what', ""we'"", 'know', 'that', 'be', 'enough', ""to'"", 'because', 'outrage']",anger,1.0,0.848,angry,10.0,1.8135891668910673,0.0,0.0,4.0,1.0,1.0,1.0,joy,4.0
I genuinely think I have anger issues,anger,0.604,anger,"['i', 'genuinely', 'think', 'i', 'have', 'anger', 'issues']","['i', 'genuinely', 'think', ""i'"", 'have', 'anger', 'issue']",anger,1.0,0.8109999999999999,inspired,5.0,0.8933334564492469,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,0.458,anger,"['nick', 'said', 'he', 'is', 'territorial', 'and', 'he', 'will', 'growl', 'if', 'someone', 'gets', 'too', 'close', 'to', 'me', 'hesananimal']","['nick', 'say', 'he', 'be', 'territorial', 'and', 'he', 'will', 'growl', 'if', 'someone', 'get', 'too', 'close', ""to'"", 'i', 'hesananimal']",anger,1.0,0.652,inspired,9.0,1.5582506491252521,0.0,0.0,4.0,2.0,0.0,0.0,joy,4.0
"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger,0.562,anger,"['just', 'by', 'getting', 'lost', 'i', 'do', 'not', 'want', 'to', 'see', 'you', 'in', 'my', 'eyes', 'hungary', 'huffed', 'and', 'crossed', 'her', 'arms', 'looking', 'away', 'angrily']","['just', 'by', 'get', 'lose', ""i'"", ""do'"", 'not', 'want', ""to'"", 'see', 'you', 'in', 'my', 'eye', 'hungary', 'huff', 'and', 'cross', 'she', 'arm', 'look', 'away', 'angrily']",anger,3.0,1.291,inspired,19.0,3.418146714909084,0.0,0.0,4.0,3.0,0.0,0.0,joy,4.0
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger,0.5,anger,"['in', 'fact', 'sometimes', 'i', 'do', 'not', 'get', 'furious', 'at', 'people', 'who', 'wrong', 'me', 'but', 'i', 'get', 'furious', 'at', 'myself', 'for', 'being', 'a', 'fool']","[""'in"", 'fact', 'sometimes', ""i'"", ""do'"", 'not', 'get', 'furious', 'at', 'people', ""who'"", 'wrong', ""me'"", 'but', ""i'"", 'get', 'furious', 'at', 'myself', 'for', 'be', 'a', 'fool']",disgust,2.0,0.9299999999999999,inspired,7.0,1.2216566392152626,0.0,0.0,5.0,3.0,3.0,0.0,joy,5.0
"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger,0.396,anger,"['good', 'luck', 'to', 'all', 'fury', 'haney', 'players', 'playing', 'this', 'weekend', 'at', 'the', 'future', 'stars', 'showcase', 'in', 'frisco', 'tx.', 'kgb', 'g', 'town', 'fury']","['good', 'luck', ""to'"", 'all', 'fury', 'haney', 'player', 'play', 'this', 'weekend', 'at', ""the'"", 'future', 'star', 'showcase', 'in', 'frisco', 'tx.', 'kgb', 'g', 'tow', 'and', 'fury']",joy,4.0,1.8780000000000001,happy,17.0,2.980364941997175,0.0,0.0,6.0,0.0,0.0,0.0,joy,6.0
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger,0.458,anger,"['when', 'you', 'forget', 'to', 'mention', 'you', 'were', 'bought', 'dreamboys', 'tickets', 'face_with_rolling_eyes', 'face_with_tears_of_joy', 'raging']","['when', 'you', 'forget', ""to'"", 'mention', 'you', 'be', 'buy', 'dreamboy', 'ticket', 'face_with_rolling_ey', 'face_with_tears_of_joy', 'raging']",anger,1.0,0.8959999999999999,inspired,7.0,1.1560321223632368,0.0,0.0,1.0,1.0,0.0,0.0,,0.0
