Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score
One more day tiff.. One more day!,anger,0.208,anger,"['one', 'more', 'day', 'tiff', 'one', 'more', 'day']","[""'one"", 'more', 'day', 'tiff', 'one', 'more', 'day']",anger,1.0,0.41200000000000003,3.0,0.4175050899870897,3.0,0.44191531750684065,3.0,0.20176561251182418,3.0,0.3653096340431959,3.0,0.3135208779353275,3.0,0.4491350737985622,surprise,3.0,0.4491350737985622
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,0.348,anger,"['me', 'being', 'on', 'my', 'dean', 'really', 'saving', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', 'so', 'much', 'out', 'of', 'me']","[""'me"", 'be', 'of', 'and', 'my', 'dean', 'really', 'save', 'a', 'lot', 'of', 'ppl', 'bc', 'i', 'do', 'not', 'snap', 'nomore', 'it', 'take', ""so'"", 'much', 'out', 'of', 'i']",,0.0,0.0,10.0,0.946615108816857,10.0,1.2574264975753353,10.0,0.7904970302236838,10.0,0.9621817445751923,10.0,0.8858078161662957,10.0,2.0473286740824,surprise,10.0,2.0473286740824
Who knew softballs could sting so bad? Jimmy Fallon has been under a lot of heat for his &amp;ldquo;softball&amp;rdquo; Donald Trump interview,anger,0.414,anger,"['who', 'knew', 'softballs', 'could', 'sting', 'so', 'bad', 'jimmy', 'fallon', 'has', 'been', 'under', 'a', 'lot', 'of', 'heat', 'for', 'his', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']","[""who'"", 'know', 'softball', 'could', 'sting', ""so'"", 'bad', 'jimmy', 'fallon', 'have', 'be', 'under', 'a', 'lot', 'of', 'heat', 'for', 'he', '&amp', 'ldquo', 'softball&amp', 'rdquo', 'donald', 'trump', 'interview']",fear,3.0,1.071,13.0,1.3094308910582715,13.0,1.8819511021797997,13.0,0.9651083185628015,13.0,1.522196126680959,13.0,1.0701133918108936,13.0,2.3611697026262495,surprise,13.0,2.3611697026262495
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,anger,"['women', 'do', 'not', 'like', 'girls', 'because', 'we', 'resent', 'them', 'for', 'looking', 'so', 'great', 'we', 'wish', 'we', 'still', 'looked', 'like', 'that', 'washed']","['woman', ""do'"", 'not', 'like', 'girl', 'because', ""we'"", 'resent', 'they', 'for', 'look', ""so'"", 'great', ""we'"", 'wish', ""we'"", 'still', 'look', 'like', 'that', 'wash']",anger,1.0,0.765,14.0,1.4677001327330035,14.0,1.715421906809149,14.0,1.0834455495505255,14.0,1.2409042217578408,14.0,1.5281417476454313,14.0,2.76851803531853,surprise,14.0,2.76851803531853
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,anger,"['where', 'is', 'your', 'outrage', 'that', 'your', 'party', 'nominated', 'a', 'lying', 'corrupt', 'person', 'and', 'received', 'donations', 'from', 'nations', 'who', 'support', 'terror']","['where', 'be', 'you', 'outrage', 'that', 'you', 'party', 'nominate', 'a', 'lie', 'corrupt', 'person', 'and', 'receive', 'donation', 'from', 'nation', ""who'"", 'support', 'terror']",anger,3.0,1.6039999999999999,16.0,2.4690133240312013,16.0,2.302581150611932,16.0,1.6372075253944143,16.0,1.5918641098963267,16.0,1.6982624931603516,16.0,2.744332635254843,surprise,16.0,2.744332635254843
I swear I got anger issues but my heart big AF...,anger,0.604,anger,"['i', 'swear', 'i', 'got', 'anger', 'issues', 'but', 'my', 'heart', 'big', 'af']","['i', 'swear', ""i'"", 'get', 'anger', 'issue', 'but', 'my', 'heart', 'big', 'af']",anger,1.0,0.8109999999999999,9.0,1.1020491421149332,9.0,1.3878849695345712,9.0,0.7022061635027327,9.0,1.0615768411861672,9.0,0.865753545596627,9.0,1.4803297037673402,surprise,9.0,1.4803297037673402
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.438,anger,"['75', 'tierney', 'reaches', 'a', 'deep', 'cross', 'to', 'the', 'back', 'post', 'and', 'plays', 'it', 'back', 'across', 'but', 'the', 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']","['75', 'tierney', 'reach', 'a', 'deep', 'cross', ""to'"", ""tha'"", 'back', 'post', 'and', 'play', 'it', 'back', 'across', 'but', ""the'"", 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']",anger,1.0,0.561,14.0,1.5114979023311415,14.0,1.4969069733727853,13.0,1.396290036281599,14.0,1.9506727414151102,13.0,1.6086601189190768,14.0,2.377244484581379,surprise,14.0,2.377244484581379
This is a joke @SomersetCCC #fuming,anger,0.688,anger,"['this', 'is', 'a', 'joke', 'fuming']","['this', 'be', ""a'"", 'joke', 'fume']",anger,1.0,0.812,3.0,0.8095436121059514,3.0,0.521393336159206,2.0,0.06809655787803458,3.0,0.18702530240877685,2.0,0.1212846042600629,3.0,0.21301890924884212,anger,3.0,0.8095436121059514
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,anger,"['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plans', 'for', 'me', 'without', 'actually', 'including', 'me', 'in', 'this', 'process', 'rage']","['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plan', 'for', ""me'"", 'without', 'actually', 'include', ""me'"", 'in', 'this', 'process', 'rage']",anger,1.0,0.9109999999999999,11.0,1.3750112554521479,11.0,1.6002289325463332,11.0,1.0684648376999777,11.0,1.0991273217043902,11.0,1.05917305787056,11.0,1.886285260839949,surprise,11.0,1.886285260839949
"Be quick to #listen, slow to #speak, and slow to .",anger,0.121,anger,"['be', 'quick', 'to', 'listen', 'slow', 'to', 'speak', 'and', 'slow', 'to']","[""be'"", 'quick', ""to'"", 'listen', 'slow', ""to'"", 'speak', 'and', 'slow', 'to']",,0.0,0.0,4.0,0.45794875480182917,4.0,0.5519116621841915,4.0,0.3074036437075551,4.0,0.4221243359561574,4.0,0.3938276432908917,4.0,0.8070487776788384,surprise,4.0,0.8070487776788384
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.417,anger,"['it', 'will', 'be', 'like', 'burning', 'rap', 'albums', 'they', 'will', 'have', 'to', 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', 'to', 'get', 'rid', 'of', 'it']","['it', 'will', ""be'"", 'like', 'burn', 'rap', 'album', 'they', 'will', 'have', ""to'"", 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', ""to'"", 'get', 'rid', 'of', 'it']",,0.0,0.0,12.0,1.0841297723240306,12.0,1.4454635565222427,12.0,0.8363555727623516,12.0,1.460302461382647,12.0,0.9369339976955487,12.0,1.929559440565771,surprise,12.0,1.929559440565771
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.472,anger,"['haha', 'actually', 'after', 'the', 'doggies', 'i', 'am', 'barracking', 'for', 'anyone', 'but', 'gws', 'bitter']","[""haha'"", 'actually', 'after', ""the'"", 'doggy', ""i'"", 'am', 'barrack', 'for', 'anyone', 'but', 'gw', 'bitter']",,0.0,0.0,7.0,0.9029106261360017,6.0,0.7642408236446842,5.0,0.30224402416193746,8.0,1.084203066747857,7.0,0.4252277384437785,8.0,1.2733501801601295,surprise,8.0,1.2733501801601295
my wasp sting is so itchy,anger,0.35600000000000004,anger,"['my', 'wasp', 'sting', 'is', 'so', 'itchy']","['wasp', 'sting', 'be', 'so', 'itchy']",fear,2.0,1.016,3.0,0.23969261991254126,3.0,0.4325036509305642,3.0,0.1427318567538024,3.0,0.5054983441787365,3.0,0.1543977370538404,3.0,0.44307525499625866,joy,3.0,0.5054983441787365
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,anger,"['grateful', 'for', 'all', 'the', 'hungry', 'people', 'in', 'my', 'life', 'hungry', 'to', 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'has', 'it', 'better']","[""'grateful"", 'for', 'all', ""the'"", 'hungry', 'people', 'in', 'my', 'life', 'hungry', ""to'"", 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'have', 'it', 'better']",joy,3.0,1.4689999999999999,12.0,1.1479360926684017,12.0,1.5310147604486124,12.0,0.943493953813365,12.0,1.170279744578882,12.0,1.1456760165092725,12.0,2.8660499829483763,surprise,12.0,2.8660499829483763
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,0.542,anger,"['don', 'king', 'is', 'an', 'insult', 'to', 'the', 'intelligence', 'of', 'the', 'black', 'community', 'what', 'are', 'these', 'people', 'thinking']","['don', 'king', 'be', 'a', 'insult', ""to'"", ""the'"", 'intelligence', 'of', ""the'"", 'black', 'community', 'what', 'be', 'these', 'people', 'think']",sadness,2.0,0.765,8.0,1.0260870680532839,8.0,1.0925773975727253,8.0,0.8053165891766991,8.0,0.718549282563004,8.0,0.7953400956215178,8.0,1.3736192002930139,surprise,8.0,1.3736192002930139
@Arsenal Giroud's beard is making me angry.,anger,0.625,anger,"['giroud', 'is', 'beard', 'is', 'making', 'me', 'angry']","['giroud', 'be', 'beard', 'be', 'make', ""me'"", 'angry']",anger,1.0,0.8240000000000001,5.0,0.502158781029034,4.0,0.5076310521401265,4.0,0.42309863357776767,5.0,0.6255310047082471,4.0,0.3123838572049093,5.0,1.2702386053332675,surprise,5.0,1.2702386053332675
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,anger,"['i', 'will', 'be', 'honest', 'i', 'hope', 'that', 'annoying', 'southern', 'bint', 'with', 'the', 'look', 'at', 'me', ""'"", 'pout', 'goes', 'out', 'this', 'week', 'selasi', 'ftw']","[""'i"", 'will', ""be'"", 'honest', ""i'"", 'hope', 'that', 'annoying', 'southern', 'bint', 'with', ""the'"", 'look', 'at', 'i', 'pout', 'go', 'out', 'this', 'week', 'selasi', 'ftw']",joy,2.0,0.889,10.0,0.8372581447390541,11.0,1.398852769683737,9.0,0.7683170317940768,11.0,1.0269779601385964,10.0,1.0415302377454778,11.0,2.6678797549661195,surprise,11.0,2.6678797549661195
"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,anger,"['well', 'not', 'archie', 'no', 'offense', 'but', 'he', 'is', 'kinda', 'old']","['well', 'not', 'archie', ""no'"", 'offense', 'but', 'he', 'be', 'kinda', 'old']",disgust,1.0,0.5,5.0,0.5884994150108265,5.0,0.6272345714396522,5.0,0.32560194707130474,5.0,0.5999893076252444,5.0,0.6871105926404639,5.0,0.8207950831939371,surprise,5.0,0.8207950831939371
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0.25,anger,"['wow.', 'not', 'heard', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']","['wow.', 'not', 'hear', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']",,0.0,0.0,6.0,0.6488409082357274,6.0,0.7833867137422142,6.0,0.4573426043260611,6.0,0.6322217432176304,6.0,0.6749655627986593,6.0,1.2004494247762798,surprise,6.0,1.2004494247762798
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger,0.542,anger,"['me', 'and', 'these', 'burns', 'that', 'i', 'pick', 'up', 'off', 'the', 'pitches', 'do', 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']","[""'me"", 'and', 'these', 'burn', 'that', ""i'"", 'pick', 'up', 'off', ""the'"", 'pitches', ""do'"", 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']",sadness,1.0,0.7809999999999999,9.0,1.021882478674848,9.0,1.078389680704784,9.0,0.632787433607154,9.0,0.8936978556279142,9.0,0.9545961513703941,9.0,1.6478714581655531,surprise,9.0,1.6478714581655531
ICQ is just making me mad!!!😤 #icq #angry,anger,0.75,anger,"['icq', 'is', 'just', 'making', 'me', 'mad', 'face_with_steam_from_nose', 'icq', 'angry']","[""'icq"", 'be', 'just', 'make', ""me'"", 'mad', 'face_with_steam_from_nose', 'icq', 'angry']",anger,2.0,1.512,5.0,0.6087116514333093,5.0,0.6098141005018463,5.0,0.6016866629752754,5.0,0.38727480824897753,5.0,0.7645600380505754,5.0,0.6742570777802663,sadness,5.0,0.7645600380505754
"If angry, bash out your frustration on the pastry #GBBO",anger,0.53,anger,"['if', 'angry', 'bash', 'out', 'your', 'frustration', 'on', 'the', 'pastry', 'gbbo']","['if', 'angry', 'bash', 'out', ""your'"", 'frustration', 'of', 'and', ""the'"", 'pastry', 'gbbo']",anger,2.0,1.4000000000000001,4.0,0.39079637439946713,4.0,0.4864953984147087,4.0,0.24487040109684008,4.0,0.3540157746103223,4.0,0.28133816823250696,4.0,0.6088644354591697,surprise,4.0,0.6088644354591697
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,anger,"['than', 'straight', 'people', 'even', 'the', 'arse', 'straight', 'guys', 'who', 'think', 'that', 'means', 'a', 'threesome', 'is', 'fine', 'angry', 'fuming']","['than', 'straight', 'people', 'even', ""the'"", 'arse', 'straight', 'guy', ""who'"", 'think', 'that', 'mean', 'a', 'threesome', 'be', 'fine', 'angry', 'fume']",anger,2.0,1.6360000000000001,13.0,1.8589320156878621,13.0,1.8735866690301906,12.0,0.7914725349454642,13.0,1.1988884688441885,12.0,1.0579830737603495,14.0,2.297931704690886,surprise,14.0,2.297931704690886
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,anger,"['oh', 'dear', 'i', 'have', 'to', 'watch', 'this', 'the', 'woman', 'with', 'the', 'pout', 'did', 'well']","[""'oh'"", 'dear', ""i'"", 'have', ""to'"", 'watch', 'this', ""the'"", 'woman', 'with', ""the'"", 'pout', 'do', 'well']",,0.0,0.0,6.0,0.4954530562925415,6.0,0.7150666227241196,5.0,0.34708013373629276,6.0,0.5772260030671224,6.0,0.48940514419970793,6.0,1.2291911067589387,surprise,6.0,1.2291911067589387
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.458,anger,"['he', 'totally', 'knew', 'about', 'it', 'trump', 'finally', 'gets', 'revenge', 'for', 'his', 'son', 'in', 'law', 'is', 'prosecution', 'imprisonment', 'and', 'throws', 'christie', 'under', 'the', 'bus']","[""'he"", 'totally', 'know', 'about', 'it', 'trump', 'finally', 'get', 'revenge', 'for', 'he', 'son', 'in', 'law', 'be', 'prosecution', 'imprisonment', 'and', 'throw', 'christie', 'under', ""the'"", 'bus']",anger,2.0,1.426,16.0,2.324899662100334,16.0,2.286566826606218,16.0,1.1028797185899897,16.0,1.7498567848513744,16.0,1.6781875162218491,16.0,2.490324612736507,surprise,16.0,2.490324612736507
@Dak2future decorations are up all over Jersey already #outrage,anger,0.562,anger,"['decorations', 'are', 'up', 'all', 'over', 'jersey', 'already', 'outrage']","['decoration', 'be', 'up', 'all', 'over', 'jersey', 'already', 'outrage']",anger,1.0,0.848,5.0,0.6699133783449124,5.0,0.5216344535922617,5.0,0.3619041282293399,5.0,0.5798877772011635,5.0,0.6843933337255727,5.0,0.9449776676113867,surprise,5.0,0.9449776676113867
We're going to get City in the next round for a revenge.,anger,0.438,anger,"['we', 'are', 'going', 'to', 'get', 'city', 'in', 'the', 'next', 'round', 'for', 'a', 'revenge']","[""we'"", 'be', 'go', ""to'"", 'get', 'city', 'in', ""the'"", 'next', 'round', 'for', 'a', 'revenge']",anger,1.0,0.738,7.0,0.7529236889036779,7.0,0.8927658163195987,7.0,0.7148795441753244,7.0,0.8028407625653328,7.0,0.7989915925011564,7.0,1.1873716359627988,surprise,7.0,1.1873716359627988
@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,anger,"['or', 'in', 'my', 'case', 'a', 'raging', 'moody', 'cow', 'lol', 'why', 'i', 'buy', 'moody', 'cow', 'socks', 'lol']","[""'or"", 'in', 'my', 'case', ""a'"", 'rage', 'moody', 'cow', 'lol', 'why', ""i'"", 'buy', 'moody', 'cow', 'sock', 'lol']",anger,3.0,2.219,9.0,1.049286989359488,9.0,1.2738229381412907,9.0,0.9349074468622095,9.0,0.9001386181311508,9.0,0.925958722325077,9.0,1.2244018562156653,disgust,9.0,1.2738229381412907
No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger,0.479,anger,"['no', 'respect', 'for', 'people', 'who', 'force', 'their', 'opinions', 'on', 'to', 'others', 'yet', 'get', 'offended', 'when', 'someone', 'does', 'the', 'same', 'to', 'them', 'face_with_tears_of_joy']","[""no'"", 'respect', 'for', 'people', ""who'"", 'force', 'they', 'opinion', 'of', 'and', ""to'"", 'other', 'yet', 'get', 'offend', 'when', 'someone', 'do', ""the'"", 'same', ""to'"", 'they', 'face_with_tears_of_joy']",anger,3.0,1.82,11.0,1.5297577956858486,11.0,1.8456930955095603,11.0,0.9076228452335975,11.0,0.8961734885951617,11.0,1.0600545329299376,11.0,1.8222348705586844,disgust,11.0,1.8456930955095603
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,0.479,anger,"['here', 'is', 'a', 'tip', 'for', 'everyone', 'stop', 'being', 'offended', 'end.', 'offended', 'quit', 'youredumb', 'liveyourownlife']","['here', 'be', ""a'"", 'tip', 'for', 'everyone', 'stop', 'be', 'offend', 'end.', 'offend', 'quit', 'youredumb', 'liveyourownlife']",anger,2.0,1.4020000000000001,6.0,0.8158346820858318,6.0,1.0106105933991072,6.0,0.5138768057708083,6.0,0.49770851818871226,6.0,0.5334598148745934,6.0,0.969038271831682,disgust,6.0,1.0106105933991072
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,0.708,anger,"['why', 'to', 'have', 'vanity', 'sizes', 'now', 'sizes', 's', 'xs', 'evenxxs', 'sometimes', 'are', 'too', 'big', 'wtf', 'dear', 'corporate', 'jerks', 'lithuania', 'did', 'not', 'need', 'this', 'rant', 'angry']","['why', ""to'"", 'have', 'vanity', 'size', 'now', 'size', ""'s"", 'x', 'evenxx', 'sometimes', 'be', 'too', 'big', ""'wtf"", 'dear', 'corporate', 'jerk', 'lithuania', 'do', 'not', 'need', 'this', 'rant', 'angry']",anger,4.0,2.718,15.0,1.1761313878914648,15.0,2.0544911449268017,14.0,0.9633132952493623,15.0,1.6479035521585028,15.0,1.535637649857665,15.0,2.532910748637847,surprise,15.0,2.532910748637847
