ID,tweet,affect_dimension,intensity_score,sentiment,tweet_text
2017-En-10651,"If my luck the rest of Fall goes anything like today, I think I'm going to like this season. #bestdayever #magic #work ",anger,0.375,anger,If my luck the rest of Fall goes anything like today I think Im going to like this season bestdayever magic work
2017-En-10653,"@sippycoups if it hurts too much to eat, i read somewhere that marshmallows are good bc they are soft and don't irritate",anger,0.375,anger,if it hurts too much to eat i read somewhere that marshmallows are good bc they are soft and dont irritate
2017-En-11640,The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some,anger,0.479,anger,The book im riteing about wots happond has made them moor angry but im not here to plese man or hide the eval deeds of some
2017-En-10212,"Don't join @BTCare they put the phone down on you, talk over you and are rude. Taking money out of my acc willynilly! ",anger,0.604,anger,Dont join they put the phone down on you talk over you and are rude Taking money out of my acc willynilly
2017-En-10622,@SarahMi40605180 @kaileighhxo sorry to burst the bubble but there was never any illusion 🙈😂😂,anger,0.396,anger,sorry to burst the bubble but there was never any illusion seenoevilmonkey facewithtearsofjoy facewithtearsofjoy
2017-En-10067,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps,anger,0.75,anger,Once again the only thing on my feed is naay raging about something and my brother filling in all the gaps
2017-En-11127,@Gielnorian @HedonismGaming cmode grimrail made me want to eat angry bees,anger,0.667,anger,cmode grimrail made me want to eat angry bees
2017-En-10066,my mom cut my phone off and I'm so furious 🤗,anger,0.75,anger,my mom cut my phone off and Im so furious huggingface
2017-En-11533,Don't chase fame\nif you're going\nto resent it\nwhen it starts\nchasing you'\nWRDSMTH,anger,0.542,anger,Dont chase famenif youre goingnto resent itnwhen it startsnchasing younWRDSMTH
2017-En-11449,I hate not having the answers I need. #tomourssuck #prayinsnotcancer #angry,anger,0.792,anger,I hate not having the answers I need tomourssuck prayinsnotcancer angry
2017-En-11444,So excited to watch @RuPaulsDragRace #allstars \n #RuPaul ,anger,0.20800000000000002,anger,So excited to watch allstars n RuPaul
2017-En-10001,So my Indian Uber driver just called someone the N word. If I wasn't in a moving vehicle I'd have jumped out #disgusted ,anger,0.8959999999999999,anger,So my Indian Uber driver just called someone the N word If I wasnt in a moving vehicle Id have jumped out disgusted
2017-En-11142,These NA kids are relentless,anger,0.45799999999999996,anger,These NA kids are relentless
2017-En-10267,Why mfs so bitter,anger,0.562,anger,Why mfs so bitter
2017-En-10279,Like hello? I am your first born you must always laugh at my jokes. #offended,anger,0.562,anger,Like hello I am your first born you must always laugh at my jokes offended
2017-En-10319,"I really really resent having to go to bed at a sensible hour, you guys. I WANT TO TALK TO MY PEOPLE.",anger,0.542,anger,I really really resent having to go to bed at a sensible hour you guys I WANT TO TALK TO MY PEOPLE
2017-En-11341,@ThatAnt_ @Football_Pollss i have hit a lot of irate villa fans lol,anger,0.33299999999999996,anger,i have hit a lot of irate villa fans lol
2017-En-10632,@St8edge4life88 eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol,anger,0.396,anger,eh well i can do the sting vs cactus loser leaves wcw match at bash at the beach lol
2017-En-11085,"I had Golden Ocean the other day it was lush, then I gagged and was sick... What a waste of £20 - I was fuming @EmmaGould_ I miss you",anger,0.688,anger,I had Golden Ocean the other day it was lush then I gagged and was sick What a waste of £20 I was fuming I miss you
2017-En-10648,Gotta wonder why Caller Max listens to the show in the first place if you so incense him @MSignorile,anger,0.375,anger,Gotta wonder why Caller Max listens to the show in the first place if you so incense him
2017-En-11171,"Thou wilt be as valiant as the wrathful dove, or most magnanimous mouse. William Shakesphere",anger,0.46399999999999997,anger,Thou wilt be as valiant as the wrathful dove or most magnanimous mouse William Shakesphere
2017-En-11073,A black female LEO💙 was shot 8 times and died in Philadelphia --Where's the #outrage black people? @BarackObama #Sharpton #blm #TheFive,anger,0.583,anger,A black female LEO blueheart was shot 8 times and died in Philadelphia Wheres the outrage black people Sharpton blm TheFive
2017-En-40574,Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,anger,0.396,anger,Now they fret about scuffs Ill take scuffs which…come in for a phone I can use wet handed or drop in a toilet any day
2017-En-41459,I need all your attention! If I don't I'll pout..,anger,0.479,anger,I need all your attention If I dont Ill pout
2017-En-10649,I believe I'm gonna start singing in my snap stories on the tractor. Switch it up a little bit.,anger,0.375,anger,I believe Im gonna start singing in my snap stories on the tractor Switch it up a little bit
2017-En-10978,@TheRevAl please tell us why 'protesting' injustice requires #burning #beating and #looting terrible optics #toussaintromain is true leader!,anger,0.7290000000000001,anger,please tell us why protesting injustice requires burning beating and looting terrible optics toussaintromain is true leader
2017-En-11098,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism.  #stop,anger,0.688,anger,People you need to look up the definition of protest What you are doing is not protesting is called vandalism stop
2017-En-10997,Bored rn leave Kik/Snapchat #kik #kikme #kikmessage #boredaf #bored #snapchatme #snapchat  #country #countrygirl,anger,0.17300000000000001,anger,Bored rn leave KikSnapchat kik kikme kikmessage boredaf bored snapchatme snapchat country countrygirl
2017-En-10147,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave. #fume,anger,0.667,anger,That feel when you travel 700 miles to pick up a form that arrives in the post two days after you leave fume
2017-En-11348,@RiveraJose39 happy birthday to my seed‼️‼️‼️ #renewtherivalry #imyourdaddy #cantbeatme #madden #tater,anger,0.138,anger,happy birthday to my seed doubleexclamationmark ️ doubleexclamationmark ️ doubleexclamationmark ️ renewtherivalry imyourdaddy cantbeatme madden tater
2017-En-11237,"@strangerpeace We'll have a ceremony next time we meet. It'll involve burning something, then possibly booze and/or caffeine.",anger,0.396,anger,Well have a ceremony next time we meet Itll involve burning something then possibly booze andor caffeine
2017-En-11204,@douglas_nat @one11north I need it today! Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old! ,anger,0.7290000000000001,anger,I need it today Do u know how many fuckin French plaits I had to do this morn with a stroppy 9 yr old
2017-En-11229,"A 28 yr old man threw a saucepan of boiling water at a garda, &amp; then hit the garda with the shaft of a brush...Letterkenny District Court.",anger,0.406,anger,A 28 yr old man threw a saucepan of boiling water at a garda amp then hit the garda with the shaft of a brushLetterkenny District Court
2017-En-11116,JV girls earn the W vs Stonington 2-1 today. Goals by K Waite and S Winakor. @DeluciaAlexis 1 assist. @mhseccathletics ,anger,0.292,anger,JV girls earn the W vs Stonington 21 today Goals by K Waite and S Winakor 1 assist
2017-En-11274,@bt_uk broadband is shocking regretting signing up now #angry #shouldofgonewithvirgin,anger,0.6459999999999999,anger,broadband is shocking regretting signing up now angry shouldofgonewithvirgin
2017-En-10079,"What the fuck am I supposed to do with no lunch, no dinner, no money and I'm off to work  #hangry #day5",anger,0.7290000000000001,anger,What the fuck am I supposed to do with no lunch no dinner no money and Im off to work hangry day5
2017-En-10551,@hoytschile fury road!!,anger,0.43799999999999994,anger,fury road
2017-En-10775,I wish the next madden has a story mode too. Just like Fifa 17 ,anger,0.292,anger,I wish the next madden has a story mode too Just like Fifa 17
2017-En-11571,i already gets aggravated too fast like why aggravate me on purpose?,anger,0.604,anger,i already gets aggravated too fast like why aggravate me on purpose
2017-En-11199,Yo gurls Dm for a tribute 😜💦 #snapme #dm #nudes #tribute #cumtribute #cock #snap #cum #swallow,anger,0.271,anger,Yo gurls Dm for a tribute facewithstuckouttonguewinkingeye sweatdroplets snapme dm nudes tribute cumtribute cock snap cum swallow
2017-En-10670,@stoozyboy1 @chris_sutton73 😂😂 Oh the zombie rage 😂,anger,0.375,anger,facewithtearsofjoy facewithtearsofjoy Oh the zombie rage facewithtearsofjoy
2017-En-11424,Circle K is dead to me. I hate your new slushie machine.  #livid,anger,0.75,anger,Circle K is dead to me I hate your new slushie machine livid
2017-En-11633,@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me #fuming,anger,0.667,anger,I did that 3 days later my order isnt even in the same postcode as me fuming
2017-En-11441,@SouthernRailUK delays from Streatham Cmn to Clap Junc &amp; now train took 20 mins for 9 mins journey. Missed 2 trains to Reading #fuming,anger,0.628,anger,delays from Streatham Cmn to Clap Junc amp now train took 20 mins for 9 mins journey Missed 2 trains to Reading fuming
2017-En-11136,We are raging angry.=1/2 bil $ for 2 pro Liars.(Actors) the most useless people in america Where is ours for working 100 X harder? @FoxNews,anger,0.667,anger,We are raging angry12 bil for 2 pro LiarsActors the most useless people in america Where is ours for working 100 X harder
2017-En-31557,never #make a decision when you are .. #angry &gt;_&lt; .... and never make a #promis when you are #happy :) :*,anger,0.521,anger,never make a decision when you are angry gtlt and never make a promis when you are happy Kiss
2017-En-11032,I almost feel offended that she thinks that's a big deal. She's knows I'll literally do anything for her or Kai.,anger,0.583,anger,I almost feel offended that she thinks thats a big deal Shes knows Ill literally do anything for her or Kai
2017-En-10839,"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! #relentless",anger,0.16699999999999998,anger,Grateful for all the hungry people in my life Hungry to learn change grow help etc not sure anybody has it better relentless
2017-En-11303,"@UN_Women @JustinTrudeau @CanadianPM Trudeau endulging on outrage culture once again. Preaching issues ad hominem,but never quanitfying them",anger,0.5,anger,Trudeau endulging on outrage culture once again Preaching issues ad hominembut never quanitfying them
2017-En-10203,I just wanna know why there's no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media,anger,0.625,anger,I just wanna know why theres no outrage for black on black crime and no one knows those victims but BLM is out to kill cops based on media
2017-En-10435,I don't even #feel #anger anymore can't explain it .. #Tulsa #Charlotte #Trayvon #SandraBland #Philando #Ferguson #BatonRouge #MichaelBrown,anger,0.479,anger,I dont even feel anger anymore cant explain it Tulsa Charlotte Trayvon SandraBland Philando Ferguson BatonRouge MichaelBrown
2017-En-10528,Chris ate all my mac n cheese so imma eat all his taffy #revenge,anger,0.43799999999999994,anger,Chris ate all my mac n cheese so imma eat all his taffy revenge
2017-En-11575,I heard Movie Bob was furious about the Skittles analogy. He was upset that there wasn't actually any Skittles.,anger,0.39399999999999996,anger,I heard Movie Bob was furious about the Skittles analogy He was upset that there wasnt actually any Skittles
2017-En-10612,Because you offended by the lies of Alexandria Goddard doesn't mean that I'm Deric's friend or anything else. Purely a fishin expedition.,anger,0.4270000000000001,anger,Because you offended by the lies of Alexandria Goddard doesnt mean that Im Derics friend or anything else Purely a fishin expedition
2017-En-10330,@eNCA what they should be doing is directing their anger to the thieves in government...#corruption #FeesMustFall,anger,0.542,anger,what they should be doing is directing their anger to the thieves in governmentcorruption FeesMustFall
2017-En-11526,"Okay you've annoyed me, you haven't done a good job there at all. #furious",anger,0.6729999999999999,anger,Okay youve annoyed me you havent done a good job there at all furious
2017-En-11350,"What u do wen ur love cheats on u ? Wen thy don't understand the emotions behind the anger, the constant waiting.. what u do ? @ritujai18874",anger,0.45799999999999996,anger,What u do wen ur love cheats on u Wen thy dont understand the emotions behind the anger the constant waiting what u do
