Word	ErrorFrequency	CorrectFrequency	ErrorProbability
want	20	17410	0.0011474469305794606
tiara	0	1	0.0
qualifications	2	311	0.006389776357827476
expending	0	6	0.0
massages	0	10	0.0
altering	0	12	0.0
typhoon	1	148	0.006711409395973154
discount	1	833	0.001199040767386091
cleats	0	5	0.0
bittersweet	0	1	0.0
relearn	0	1	0.0
help	13	12938	0.0010037834916222686
flourish	0	25	0.0
tipped	0	1	0.0
armed	0	38	0.0
sportsmen	0	4	0.0
polymer	0	3	0.0
thirdly	2	173	0.011428571428571429
inventors	0	1	0.0
laid	0	24	0.0
surer	0	1	0.0
offends	0	1	0.0
evacuate	1	105	0.009433962264150943
slaughter	0	1	0.0
debarkation	0	1	0.0
donor	0	3	0.0
billion	1	337	0.0029585798816568047
hell	0	32	0.0
dealt	0	15	0.0
renew	0	20	0.0
case	0	1336	0.0
fair	2	572	0.003484320557491289
hitchhike	0	1	0.0
gentrification	0	1	0.0
third	2	1514	0.0013192612137203166
frames	0	14	0.0
astringent	0	3	0.0
phantom	1	11	0.08333333333333333
calamities	0	1	0.0
thoroughly	1	31	0.03125
nets	0	4	0.0
inventions	0	7	0.0
policed	0	1	0.0
pepperoni	0	2	0.0
ramp	0	2	0.0
slithers	0	1	0.0
responds	0	3	0.0
eventful	0	5	0.0
sampler	0	1	0.0
dank	0	3	0.0
discontents	0	1	0.0
firefighter	0	37	0.0
minerals	0	4	0.0
supporters	0	4	0.0
photographing	0	6	0.0
verifiable	0	1	0.0
establishes	0	4	0.0
inventive	0	1	0.0
caterpillar	0	5	0.0
storming	0	3	0.0
flied	0	20	0.0
south	0	672	0.0
yak	0	1	0.0
prevalent	0	1	0.0
lunar	0	2	0.0
wither	0	9	0.0
awfully	0	25	0.0
wooden	0	122	0.0
fellows	0	22	0.0
slipping	0	9	0.0
restorations	0	41	0.0
make	4	17100	2.3386342376052386E-4
chassis	0	1	0.0
entreat	0	1	0.0
untrained	0	1	0.0
burns	0	13	0.0
hunk	0	4	0.0
roofing	0	1	0.0
purity	0	6	0.0
perilous	0	1	0.0
metallurgy	0	4	0.0
nite	0	6	0.0
explode	0	7	0.0
treasury	0	9	0.0
tassels	0	1	0.0
milch	0	1	0.0
soliciting	0	2	0.0
arrives	0	118	0.0
tracing	0	3	0.0
thirties	0	6	0.0
disagreement	0	14	0.0
manikin	0	2	0.0
extend	0	73	0.0
importunate	0	1	0.0
tuck	0	3	0.0
instrumentals	0	3	0.0
stapler	0	2	0.0
temperature	4	786	0.005063291139240506
rehabilitation	0	10	0.0
damn	0	2	0.0
whimpering	0	2	0.0
travelling	2	505	0.0039447731755424065
regretfully	0	1	0.0
freeholder	0	1	0.0
congratulated	0	6	0.0
pathology	0	4	0.0
rarity	0	2	0.0
hangs	0	1	0.0
potentially	0	3	0.0
inflicted	0	1	0.0
seen	1	959	0.0010416666666666667
intend	0	472	0.0
pad	0	8	0.0
bottled	1	90	0.01098901098901099
youth	0	80	0.0
couple	1	1565	6.385696040868455E-4
brides	0	1	0.0
apply	8	4377	0.0018244013683010262
iceberg	2	94	0.020833333333333332
networking	0	226	0.0
gymnastic	0	11	0.0
psychology	2	137	0.014388489208633094
gizmos	0	5	0.0
regretful	0	5	0.0
exhaust	0	3	0.0
widows	0	4	0.0
computerized	0	1	0.0
training	4	1214	0.003284072249589491
snowboard	2	15	0.11764705882352941
jealous	1	51	0.019230769230769232
burnt	0	24	0.0
sleep	2	1464	0.001364256480218281
drive	0	2027	0.0
rushing	0	9	0.0
grandfathers	1	37	0.02631578947368421
corona	0	7	0.0
emotionally	0	25	0.0
greenhouse	0	16	0.0
crowbar	0	1	0.0
intrigues	0	1	0.0
drenched	0	2	0.0
consultation	0	12	0.0
peg	0	1	0.0
recital	0	1	0.0
poisoning	0	5	0.0
supervisors	0	7	0.0
assortment	3	8	0.2727272727272727
foam	0	1	0.0
states	0	424	0.0
holder	0	13	0.0
beautician	1	5	0.16666666666666666
effectively	0	57	0.0
mild	0	33	0.0
indecorous	0	1	0.0
spaceman	0	1	0.0
unfriendliest	0	1	0.0
replace	1	226	0.004405286343612335
motivates	0	4	0.0
feel	5	4724	0.0010573059843518714
peacefully	0	15	0.0
corners	0	13	0.0
attitude	0	286	0.0
moribund	0	1	0.0
backslash	0	1	0.0
pouring	0	4	0.0
motionless	0	4	0.0
accented	0	1	0.0
casts	0	1	0.0
safeguard	0	2	0.0
champions	0	9	0.0
tenderloin	0	2	0.0
ado	0	2	0.0
reals	0	4	0.0
forecasted	0	4	0.0
manageable	0	1	0.0
oysters	0	4	0.0
stature	0	6	0.0
pipelines	0	2	0.0
prescriptions	0	6	0.0
compulsive	0	15	0.0
formulate	0	6	0.0
evoked	0	1	0.0
consultants	0	17	0.0
reputable	0	9	0.0
berths	0	1	0.0
herbivore	0	4	0.0
constructed	1	21	0.045454545454545456
soups	0	10	0.0
stared	0	48	0.0
deportment	0	3	0.0
sprayer	0	1	0.0
foreigner	0	58	0.0
mathematician	0	8	0.0
actuality	0	7	0.0
improvisations	0	1	0.0
offer	0	1975	0.0
eighth	0	12	0.0
waken	0	1	0.0
clime	0	10	0.0
killing	0	42	0.0
actively	0	14	0.0
barks	0	7	0.0
looses	0	6	0.0
impatient	2	208	0.009523809523809525
marquis	0	1	0.0
stunned	0	3	0.0
illness	0	98	0.0
gelatine	0	2	0.0
triangles	0	1	0.0
coexistence	0	2	0.0
paradigm	0	1	0.0
churning	0	1	0.0
girlhood	0	1	0.0
empower	0	8	0.0
ergonomic	0	63	0.0
cut	0	264	0.0
parentage	0	1	0.0
floras	0	1	0.0
renovating	0	13	0.0
shuffled	0	1	0.0
photographic	0	4	0.0
chanting	0	1	0.0
rearrange	0	8	0.0
barrio	0	1	0.0
preoccupied	0	2	0.0
refinish	0	21	0.0
stately	0	2	0.0
respiratory	0	4	0.0
workhouse	0	9	0.0
illiterates	0	1	0.0
domestic	0	145	0.0
therein	0	1	0.0
lightening	0	3	0.0
gesture	0	23	0.0
busies	0	2	0.0
lately	0	110	0.0
zombies	0	2	0.0
oddly	0	1	0.0
scant	0	2	0.0
transplant	0	3	0.0
billboards	0	10	0.0
card	0	999	0.0
conditioned	0	3	0.0
trickery	0	1	0.0
unhurt	0	2	0.0
deejay	0	3	0.0
noses	0	10	0.0
cinematic	0	3	0.0
enclose	0	38	0.0
faultless	0	1	0.0
birthdays	0	37	0.0
locked	0	69	0.0
corporate	1	123	0.008064516129032258
spacey	0	7	0.0
foot	0	281	0.0
tolerant	0	12	0.0
hie	0	4	0.0
valued	0	42	0.0
midpoint	0	1	0.0
bodily	0	2	0.0
learns	0	35	0.0
woke	2	406	0.004901960784313725
cobblestones	0	1	0.0
achieves	0	5	0.0
storm	0	102	0.0
activated	0	7	0.0
fullest	0	6	0.0
thermodynamics	0	2	0.0
citizen	3	192	0.015384615384615385
styled	0	2	0.0
compulsion	0	15	0.0
demoted	0	60	0.0
crash	0	50	0.0
primary	0	493	0.0
solicitude	0	1	0.0
induced	0	1	0.0
graphically	0	2	0.0
chorals	0	1	0.0
leverage	0	4	0.0
shanghai	0	505	0.0
reorganizations	0	1	0.0
hide	0	161	0.0
handicaps	0	1	0.0
bathes	0	1	0.0
docks	0	3	0.0
winged	0	3	0.0
sully	0	3	0.0
relives	0	3	0.0
chair	3	679	0.004398826979472141
reinstatement	0	1	0.0
denouncing	0	3	0.0
neon	0	2	0.0
hardships	0	3	0.0
bullying	0	9	0.0
press	0	110	0.0
redeemer	0	13	0.0
mystic	0	3	0.0
flea	0	7	0.0
stabilized	0	13	0.0
isolated	0	9	0.0
cataract	0	1	0.0
burg	0	6	0.0
roads	0	40	0.0
monarch	0	3	0.0
postbox	0	3	0.0
graduates	0	16	0.0
pursuers	0	1	0.0
towns	0	53	0.0
believer	0	5	0.0
sermon	0	1	0.0
garment	0	20	0.0
peacekeeping	0	1	0.0
vertically	0	2	0.0
disguise	0	10	0.0
reins	0	1	0.0
rarefied	0	1	0.0
recreate	0	1	0.0
planets	0	9	0.0
posters	0	4	0.0
hesitated	0	10	0.0
sittings	0	1	0.0
sped	0	2	0.0
observatory	0	6	0.0
saddest	0	4	0.0
ass	0	16	0.0
sinking	0	33	0.0
embarked	0	6	0.0
ingredients	7	327	0.020958083832335328
stuttering	0	2	0.0
beans	1	299	0.0033333333333333335
rodeos	0	2	0.0
sweaters	7	319	0.02147239263803681
bureaucracy	0	7	0.0
former	1	119	0.008333333333333333
gesticulating	0	1	0.0
aspiration	0	7	0.0
endangered	2	91	0.021505376344086023
audits	0	16	0.0
dyslexia	0	1	0.0
searchers	0	1	0.0
coworkers	1	113	0.008771929824561403
fancy	0	58	0.0
transform	0	31	0.0
gorges	0	2	0.0
bossy	0	21	0.0
guesses	0	7	0.0
jobless	0	52	0.0
cables	0	5	0.0
intercourse	0	6	0.0
penis	0	1	0.0
timeless	0	33	0.0
nationalities	0	13	0.0
skyscraper	0	5	0.0
wherein	0	2	0.0
halfway	0	7	0.0
faculty	0	75	0.0
perk	0	3	0.0
unnecessarily	0	3	0.0
advisable	0	11	0.0
featuring	0	8	0.0
ambition	0	33	0.0
name	21	33275	6.307063911580971E-4
ant	0	78	0.0
nearby	0	124	0.0
thrive	0	4	0.0
abortion	0	2	0.0
mammals	0	11	0.0
cases	0	370	0.0
coping	0	7	0.0
clockwise	0	4	0.0
bankrupt	0	8	0.0
sunset	0	87	0.0
syntax	0	3	0.0
responding	0	18	0.0
skin	0	249	0.0
uttered	0	1	0.0
planetarium	0	3	0.0
unimportant	0	10	0.0
penny	0	13	0.0
sober	0	12	0.0
renovated	0	196	0.0
saree	0	2	0.0
fulfillment	0	8	0.0
vault	0	3	0.0
patriots	0	1	0.0
interpose	0	1	0.0
atlas	0	7	0.0
theme	0	134	0.0
activation	0	2	0.0
riding	2	598	0.0033333333333333335
flanked	0	1	0.0
sourcing	0	7	0.0
turmoil	0	1	0.0
guarantied	0	1	0.0
shrieking	0	1	0.0
tellers	0	1	0.0
rethought	0	1	0.0
canines	0	1	0.0
breaches	0	2	0.0
included	1	427	0.002336448598130841
containers	0	7	0.0
meal	1	1284	7.782101167315176E-4
engendering	0	1	0.0
kilos	0	9	0.0
unseen	0	2	0.0
braver	0	16	0.0
empowerment	0	1	0.0
millionaire	1	28	0.034482758620689655
urbanization	0	8	0.0
acts	0	68	0.0
averts	0	3	0.0
fragmentation	0	13	0.0
tabby	0	16	0.0
saki	0	2	0.0
deliciously	0	3	0.0
advisor	0	30	0.0
eating	1	2618	3.8182512409316535E-4
meticulous	0	14	0.0
weeks	0	1168	0.0
different	21	3750	0.005568814638027049
overcooking	0	9	0.0
focuses	0	17	0.0
wronged	0	6	0.0
royalty	0	4	0.0
littered	0	1	0.0
engaged	1	171	0.005813953488372093
roasted	0	55	0.0
toms	0	6	0.0
ovoid	0	1	0.0
highest	2	272	0.0072992700729927005
hurdle	0	2	0.0
regulars	0	5	0.0
elf	0	3	0.0
extermination	0	1	0.0
tubes	0	7	0.0
campaigned	0	1	0.0
sieve	0	2	0.0
baptisms	0	1	0.0
forehand	0	2	0.0
quieter	0	11	0.0
labs	0	8	0.0
bullheaded	0	1	0.0
stow	0	2	0.0
tenacity	0	2	0.0
porters	0	1	0.0
ladders	0	4	0.0
grower	0	1	0.0
resistance	0	15	0.0
considering	0	229	0.0
inaccurate	0	1	0.0
preventive	0	6	0.0
newsletters	0	2	0.0
assuring	0	2	0.0
figures	3	1308	0.002288329519450801
abundantly	0	3	0.0
piercing	0	8	0.0
spaniel	0	1	0.0
cope	1	89	0.011111111111111112
frisk	0	2	0.0
mopes	0	1	0.0
terribly	2	478	0.004166666666666667
adaptable	0	7	0.0
median	0	6	0.0
macaws	0	4	0.0
yourself	35	2622	0.013172751223184042
initialized	0	1	0.0
moth	0	29	0.0
jerkin	0	2	0.0
clutch	0	1	0.0
staphylococcus	0	1	0.0
wounded	0	13	0.0
capacious	0	3	0.0
pizzas	0	32	0.0
psychotic	0	1	0.0
rating	0	56	0.0
seminaries	0	1	0.0
champ	0	2	0.0
connects	0	5	0.0
consequence	0	30	0.0
conserve	0	5	0.0
did	1	11650	8.582954252853832E-5
whimsy	0	1	0.0
screen	0	181	0.0
gambler	0	3	0.0
trike	0	1	0.0
pedantic	0	1	0.0
ins	0	10	0.0
inopportune	0	2	0.0
bonnet	0	5	0.0
nerdy	0	1	0.0
unite	0	17	0.0
frenetic	0	4	0.0
reminds	0	41	0.0
postponement	0	1	0.0
unintelligent	0	2	0.0
hardest	0	18	0.0
emoted	0	1	0.0
occupies	0	9	0.0
occupy	0	32	0.0
exported	0	3	0.0
ashore	0	4	0.0
attitudes	0	253	0.0
informally	0	2	0.0
skill	0	463	0.0
misters	0	1	0.0
shortfall	0	1	0.0
sprinkling	0	1	0.0
compensates	0	2	0.0
shapes	0	13	0.0
compilers	0	1	0.0
founder	0	32	0.0
thermostat	0	1	0.0
labors	0	3	0.0
reunited	0	6	0.0
criticize	0	11	0.0
eel	0	5	0.0
specs	0	3	0.0
leaped	0	4	0.0
tortilla	0	5	0.0
shoeshines	0	1	0.0
reverend	0	2	0.0
arrogant	0	15	0.0
bunks	0	1	0.0
drainage	0	1	0.0
beeped	0	1	0.0
fixes	0	5	0.0
bitterness	0	1	0.0
scribe	0	2	0.0
drivings	0	2	0.0
retraction	0	1	0.0
category	1	49	0.02
bunches	0	5	0.0
animating	0	1	0.0
deaf	0	10	0.0
contention	0	2	0.0
blackmail	0	2	0.0
frontier	0	3	0.0
memorization	0	3	0.0
spiteful	0	2	0.0
emir	0	5	0.0
consider	3	1668	0.0017953321364452424
interfaces	0	4	0.0
outlining	0	29	0.0
joys	0	2	0.0
plaques	0	1	0.0
tidy	0	941	0.0
casualty	0	2	0.0
furthermore	12	636	0.018518518518518517
opportunity	8	2064	0.003861003861003861
evidenced	0	1	0.0
revelation	0	7	0.0
ceremonious	0	1	0.0
pretty	1	986	0.0010131712259371835
haste	0	5	0.0
define	0	99	0.0
banal	0	4	0.0
publishing	0	43	0.0
fearful	0	12	0.0
inlaid	0	5	0.0
rejoice	0	5	0.0
embody	0	6	0.0
protein	0	4	0.0
theatres	0	13	0.0
tuxedos	0	1	0.0
cherish	0	10	0.0
shirk	0	2	0.0
braking	0	6	0.0
prepared	2	586	0.003401360544217687
inversions	0	1	0.0
husbandry	0	1	0.0
prosecutor	0	25	0.0
humming	0	1	0.0
engage	1	36	0.02702702702702703
fashioned	0	236	0.0
offender	0	9	0.0
spoiled	0	21	0.0
sever	0	9	0.0
stint	0	2	0.0
electric	0	203	0.0
gulf	0	16	0.0
thrower	0	6	0.0
ticketing	0	4	0.0
bruise	0	5	0.0
defrosting	0	1	0.0
huff	0	1	0.0
orthodox	0	4	0.0
darling	0	137	0.0
prepositions	0	6	0.0
pubic	0	5	0.0
immunity	1	14	0.06666666666666667
configuration	0	10	0.0
edgy	0	2	0.0
timed	0	3	0.0
forceful	0	3	0.0
soda	0	194	0.0
repeat	0	92	0.0
ford	0	28	0.0
curvy	0	2	0.0
irrelevant	0	4	0.0
polite	1	423	0.0023584905660377358
row	0	563	0.0
classes	0	468	0.0
disease	3	105	0.027777777777777776
wriggle	0	1	0.0
reckon	0	10	0.0
machination	0	1	0.0
international	6	1768	0.0033821871476888386
menace	0	4	0.0
immigration	0	29	0.0
community	1	277	0.0035971223021582736
impolite	2	624	0.003194888178913738
differentiates	0	2	0.0
phlegm	0	1	0.0
instructions	4	815	0.004884004884004884
flashlight	2	434	0.0045871559633027525
finalist	0	1	0.0
morphology	0	1	0.0
cornflakes	0	4	0.0
curative	0	1	0.0
prior	0	30	0.0
forgiving	0	1	0.0
blink	0	7	0.0
hospitals	0	69	0.0
mightily	0	1	0.0
recollected	0	1	0.0
inattentive	1	3	0.25
slap	0	2	0.0
cacao	0	1	0.0
diplomatic	0	9	0.0
scorpions	0	12	0.0
encompass	0	1	0.0
savages	0	3	0.0
terrifying	2	296	0.006711409395973154
puree	0	1	0.0
readable	0	1	0.0
girlfriend	6	1282	0.004658385093167702
length	6	159	0.03636363636363636
evolves	0	1	0.0
semen	0	6	0.0
vast	0	37	0.0
sharpen	0	3	0.0
kingdom	0	77	0.0
encountered	0	25	0.0
charger	0	1	0.0
bible	0	65	0.0
sat	0	107	0.0
squids	0	3	0.0
waterproof	2	391	0.005089058524173028
pronounced	0	11	0.0
mnemonics	0	21	0.0
lax	0	3	0.0
spokesman	0	2	0.0
having	3	4307	6.960556844547563E-4
flaws	0	15	0.0
parakeet	0	1	0.0
bases	0	51	0.0
staffers	0	1	0.0
descriptions	0	21	0.0
antipathetic	0	1	0.0
affiliates	0	3	0.0
granulated	0	1	0.0
vie	0	5	0.0
guilty	1	107	0.009259259259259259
sweater	14	3121	0.004465709728867623
optometry	0	1	0.0
midwifery	0	2	0.0
yahoo	0	4	0.0
hearings	0	1	0.0
addresses	0	14	0.0
urbanizing	0	1	0.0
felony	0	1	0.0
island	1	838	0.0011918951132300357
ashtray	0	3	0.0
contributed	0	14	0.0
forehead	0	10	0.0
lake	0	302	0.0
dares	0	4	0.0
iron	0	191	0.0
explanation	1	83	0.011904761904761904
obsessive	0	3	0.0
arrogantly	0	1	0.0
ethical	0	5	0.0
unreasonably	0	1	0.0
gob	0	8	0.0
celebrates	0	4	0.0
shaded	0	1	0.0
cello	0	16	0.0
debris	0	102	0.0
drowned	0	14	0.0
incorporation	0	1	0.0
nuggets	0	1	0.0
modeled	0	1	0.0
firms	0	28	0.0
ownership	0	6	0.0
electrify	0	2	0.0
avocados	0	2	0.0
path	1	487	0.0020491803278688526
disc	0	29	0.0
rejoined	0	1	0.0
noisiest	0	1	0.0
grooming	0	2	0.0
fifteen	7	4354	0.0016051364365971107
ream	0	1	0.0
depresses	0	1	0.0
seeding	0	1	0.0
robbery	0	43	0.0
mechanic	0	107	0.0
computer	6	7003	8.560422314167499E-4
moneybags	0	1	0.0
calories	0	12	0.0
customers	5	1153	0.004317789291882556
xenophobia	0	1	0.0
toot	0	4	0.0
huge	1	426	0.00234192037470726
fact	0	1474	0.0
counts	0	38	0.0
chevron	0	2	0.0
framework	0	6	0.0
reprogram	0	1	0.0
sculpture	0	12	0.0
marmalade	0	2	0.0
gamekeeper	0	1	0.0
decency	0	1	0.0
ribbon	0	6	0.0
flavor	0	60	0.0
annihilated	0	1	0.0
mooning	0	3	0.0
cobblestone	0	2	0.0
haired	0	3	0.0
flagship	0	1	0.0
unreachable	0	1	0.0
flossing	0	31	0.0
deepening	0	1	0.0
puffin	0	4	0.0
maturity	0	11	0.0
lamentably	0	1	0.0
restriction	0	10	0.0
readiness	0	11	0.0
pinned	0	2	0.0
clockwork	0	4	0.0
denies	0	4	0.0
monarchy	0	3	0.0
preconditions	0	1	0.0
delegate	0	14	0.0
chipping	0	1	0.0
workaday	0	1	0.0
cubs	0	7	0.0
toxins	0	1	0.0
clam	0	8	0.0
philosopher	0	8	0.0
ranks	0	9	0.0
impacting	0	2	0.0
forecasters	0	1	0.0
custom	0	90	0.0
preservation	0	31	0.0
personalized	0	13	0.0
composing	1	5	0.16666666666666666
unintentional	0	2	0.0
boxer	0	7	0.0
overtime	1	609	0.001639344262295082
philosophers	0	2	0.0
pedigree	0	1	0.0
coolers	0	1	0.0
soul	0	90	0.0
internal	0	141	0.0
reduction	0	30	0.0
sorrows	0	4	0.0
virgin	0	11	0.0
enlightening	0	2	0.0
immaterial	0	1	0.0
stated	0	86	0.0
revolutions	0	1	0.0
snowdrift	0	1	0.0
bras	0	6	0.0
son	19	6613	0.002864897466827503
eyelids	0	2	0.0
stating	0	13	0.0
deserted	0	9	0.0
assumptions	0	3	0.0
convicted	0	3	0.0
bloodstained	0	1	0.0
specializations	0	5	0.0
called	6	5287	0.0011335726431135461
dogging	0	1	0.0
denominator	0	1	0.0
mahogany	0	7	0.0
multilingual	0	2	0.0
annual	0	148	0.0
thirsty	0	28	0.0
advertisements	1	76	0.012987012987012988
unfairness	0	1	0.0
hospitality	0	24	0.0
critique	0	2	0.0
gossipy	0	6	0.0
swum	0	4	0.0
flour	0	29	0.0
ogres	0	1	0.0
tones	0	13	0.0
footprint	0	6	0.0
enterprises	3	360	0.008264462809917356
berth	0	7	0.0
multimillionaire	0	1	0.0
contented	0	8	0.0
wangle	0	3	0.0
singe	0	8	0.0
persists	0	4	0.0
preferably	1	66	0.014925373134328358
rending	0	1	0.0
pendant	0	5	0.0
elixir	0	3	0.0
stills	0	4	0.0
scrub	0	3	0.0
licensee	0	1	0.0
hates	0	238	0.0
metering	0	1	0.0
master	0	687	0.0
tier	0	4	0.0
stool	0	3	0.0
overwhelming	0	6	0.0
suffocated	0	3	0.0
anesthesiologist	1	2	0.3333333333333333
shutting	0	2	0.0
dieting	0	1	0.0
psychoanalyst	0	2	0.0
gal	0	2	0.0
wasted	0	59	0.0
diminishing	0	1	0.0
series	0	138	0.0
lark	0	1	0.0
chat	0	166	0.0
rescheduled	0	3	0.0
headings	0	13	0.0
instrumental	0	18	0.0
haven	0	142	0.0
guiltiness	0	1	0.0
more	4	21062	1.8987942656413178E-4
dart	0	2	0.0
masterpieces	0	5	0.0
foreseen	0	3	0.0
zebras	0	4	0.0
particulars	0	2	0.0
testes	0	1	0.0
hydroelectric	0	6	0.0
decades	0	28	0.0
sharp	0	164	0.0
cramp	0	2	0.0
episode	0	24	0.0
analogs	0	1	0.0
maneuvers	0	1	0.0
dispersed	0	1	0.0
commence	0	1	0.0
purposes	4	52	0.07142857142857142
wanted	2	1252	0.001594896331738437
genuine	0	82	0.0
report	0	1032	0.0
penultimate	0	3	0.0
niggling	0	1	0.0
surplus	0	3	0.0
trader	1	18	0.05263157894736842
unsuspecting	0	1	0.0
landmarks	0	5	0.0
gondolier	0	1	0.0
brewery	0	4	0.0
controllers	0	3	0.0
jeopardize	0	2	0.0
injuries	0	78	0.0
nirvana	0	3	0.0
josh	1	991	0.0010080645161290322
eschew	0	1	0.0
burglary	0	12	0.0
faced	0	100	0.0
offices	0	342	0.0
revel	0	3	0.0
rising	0	124	0.0
overextended	0	3	0.0
