tweet_text,sentiment
"` they are naturally excited about getting the championship back after 33 years , "" he said .",happy
this man introduced me to an agent who did n't look all that excited to see me and was only obliging a friend .,happy
now that he was committed to a course of action he felt exhilarated .,happy
he was exhilarated when he heard ornette coleman improvising free jazz with his plastic saxophone at a club .,happy
"reflecting on the experience , donia said `` i think you 're exhilarated by the determination and strength of the human spirit . ''",happy
"her cheeks were already aglow from a combination of the heat and the exhilaration of being the centre of attention , and this had lent an extra , youthful radiance to her beauty .",happy
"clive also attended , visibly gleeful that he had spared the school any undesirable publicity by unloading me in the nick of time .",happy
"mention of the press 's glee at the humiliation of the investigators behind this summer 's high-profile surveillance project operation blackbird , who were fooled by an obvious hoax , brings out tarr 's own nascent conspiracy theory .",happy
"many labour mps could not hide their glee at the snp 's action , such is their antipathy to cross-party co-operation .",happy
"whereas in crime and punishment and in the novels which follow he can , though his narrow glee over being ahead of the fact is unworthy of his art and of what ` idealism "" and ` deeper realism "" intend .",happy
"on reaching the fish i let out a cry of triumph , overjoyed to have got there while conveniently forgetting the verdon-like wall which lay above .",happy
"thacker was not overjoyed to see them , but he played along , switching on the charm .",happy
most estate agents were overjoyed at the election result .,happy
"the warden and his wife , being owners of a siamese cat , were not overjoyed to see emily but they reluctantly fed her a saucer of milk , saying that she could stay for one night .",happy
louise was overjoyed with the suggestion .,happy
so the chief librarian was surprised and not particularly overjoyed to be dragged down from his rooftop sun terrace by harry 's telephone call .,happy
the young lord was overjoyed to see what a beautiful wife his friends had found for him .,happy
the very idea is preposterous and i was overjoyed to see that you believed me .,happy
"` you know joanna will be overjoyed to see you in any condition . """,happy
"` they take young grandpas , "" said linda , amazed and overjoyed he 'd had the idea for himself and still not able to get over her daughter 's news .",happy
"i do n't suppose you 're overjoyed that i 've got a friend in the rival camp . """,happy
neighbours recalled how ms bailey was overjoyed at the birth of her daughter .,happy
"but his father was overjoyed to see him , and at once threw a party .",happy
landlords were not pleased to find that their apartment blocks had overnight become the property of the tenants .,happy
"he seemed pleased to remind us of yet more evidence of bouilland 's humming modernity , and took us out into the sun again .",happy
the london irish women 's centre are pleased to announce that the irish language classes for adults will continue with siobhan ni neill on fridays from 10.30 am to 12.30 starting on feb 7 .,happy
"we were pleased to see the canadians do so well in the world cup after they had beaten us over there "" !",happy
we are pleased to see the guidance state unequivocally that major retail developments are inappropriate in green belts .,happy
i have said we will be pleased to provide back-up with visitor 's packs etc and that i would inform you of the request .,happy
"i am pleased that there has been a threefold increase in , for example , hrt prescriptions during the past 10 years .",happy
i am pleased that they have responded very positively .,happy
george grindal was pleased that he could turn to the bedside cabinet and take up the feeding glass containing orange juice .,happy
guinness is particularly pleased that its own employees can participate in these programmes through matched giving schemes .,happy
"` yes , yes , i did , "" she told him , feeling ridiculously pleased that he was clearly enjoying her first attempt at baking a cake .",happy
lexie 's parents are pleased that their efforts may prevent other children dying from the side effects of steroid treatment .,happy
"` i think everyone is very pleased they 've changed their minds , "" said england 's most-capped player , rory underwood .",happy
` i was so pleased she lived until just after sam was born .,happy
"blake says how pleased he is with the firm 's improved performance , acknowledging the considerable efforts and progress it has made .",happy
` your mother and i are so pleased you are so happy .,happy
she washed the floor thorough and was pleased she had done so .,happy
"to tell you the truth , i was n't at all pleased about russell sitting in the same coach with us .",happy
"i could never have agreed to such a plan , but was pleased at mick 's change of mood .",happy
the king was bluntly informing him that he was ill pleased at the lack of progress corbett was making .,happy
"smiling across the room at laura 's tall , slender figure , she added , ` besides , everyone in your office was so pleased at your promotion .",happy
"i was particularly pleased at the emphasis on investment in education and training , in science research and development and the commitments he gave on transport and health and community care .",happy
i can see you 're pleased with yourself `,happy
"` everyone seemed very pleased with the arrangements philippe had made , did n't they , rose ? """,happy
"i saw him return this morning , so pleased with himself . """,happy
"he laughed , showing his white , sharp teeth , pleased with his joke .",happy
i 'm delighted that you were pleased with the response .,happy
"apparently skipper landed , felt extremely pleased with himself and threw an enormous buck with a twist in it .",happy
"even my father was n't too pleased about continually having to clean his porch roof , which our residents had covered in droppings and other nest debris .",happy
"at the beginning of the o-level summer term i weighed eight stone three pounds and , if i was pleased at having lost two pounds , i certainly did n't say so .",happy
"she smiled , as if pleased at displaying her superiority .",happy
he liked to think of her being pleased at getting a letter .,happy
i hope you were pleased with how much we sold .,happy
"mrs thatcher has mastered the sound-bite , to be repeated at intervals like a mantra ` so very pleased with how it 's going . """,happy
"i 'm very pleased with how we 've reacted to our bad start to the season . """,happy
"she was pleased at how low her voice was , how steady .",happy
"whatever i want , she wants , and she 's pleased at how things have turned out .",happy
they obviously thought i was doing terribly badly at that time and were very pleased at how well they had rigged me out until i put on the mac .,happy
"nevertheless , your father and mother , too for that matter ! confusion may well be very pleased if your boyfriend takes the time to have a chat with them .",happy
"` katherine , i haven t yet told you how pleased we all are that you shall be going to school here and be with us at valois frequently .",happy
"` i am supposed to be going there with sister agape , but i 'd be pleased if you would take my place .",happy
"as it was , i felt thrilled to be walking on the same ground that young thomson had trodden long before .",happy
"a friend said ` joan is thrilled katy has found such a nice chap . """,happy
professor winston said ` i 'm thrilled to see them all here .,happy
most pool owners are thrilled if they can persuade their fish to breed successfully .,happy
i felt thrilled to be back in abyssinia and stared entranced at the arid landscape of the danakil desert .,happy
i 'm thrilled to see her !,happy
"keith , a general operator at associated octel 's plant in ellesmere port , is thrilled to see his brother back home .",happy
"his excitement at the prospect of exploiting that potential is palpable , though he has no illusions about current difficulties .",happy
for months now i have been trying to contain excitement at the thought of the compact disc .,happy
"because of what had happened , some of her excitement at the thought of seeing czechoslovakia had ebbed .",happy
manufacturers could play on the excitement of a commentary to sell their sets .,happy
i had lost the excitement of the first ramble to the trossachs which had all been new territory .,happy
but a dry day would bring bigger crowds and add to the excitement of the vital third round of the tournament .,happy
"travellers might get used to jet-lag in the sense that they learn to live with it , or they might find it progressively more irksome as their initial excitement with travel begins to wear thin .",happy
i enjoyed his excitement with politics .,happy
all around there was the electric atmosphere of first night excitement .,happy
"this would normally push up her heart rate but with her pulse already racing due to the alcohol , dancing and general party excitement the increase is not as noticeable as normal .",happy
"` it was a sort of excitement to him . """,happy
"as christmas approached , the excitement of preparation began to get through to her .",happy
you are afraid and full of excitement at thoughts of what you might find .,happy
he had seen beyond the excitement of being approached for his first book ; he already visualised it on the bookshelves !,happy
"perhaps only she knows the journey he has made , from the cocky jack-the-lad who neglected the discipline of academic study for the raw excitement of left-wing politics to the measured politician with an answer for everyone .",happy
we are off and have great excitement fishing up treasure fake confusion tied to bladders .,happy
neither he nor peter can conceal excitement at being back in the limelight again .,happy
"i have explained to pupils that i do not know ` the answer "" and so i can share the excitement of working out a problem with them .",happy
i remember being highly amused at his rendering of a young rook 's cry whilst gobbling a worm it was perfectly true to nature .,happy
"she was already feeling a bit better and she felt quite amused at this cool domination , especially as she was not going to pay any attention to it .",happy
"even falling asleep as he was , mcleish was amused at bruce davidson 's hopeful , proprietorial air .",happy
"clattering on , trying to hold five ponies and eat an ice-cream , perdita was not amused to hear whoops and noisy hooting behind her .",happy
hauser was amused at the suggestion .,happy
"robert stephenson , when john met him after the week 's delay , was amused at the story of the triumph of rhyll .",happy
our amusement at his false assumption seemed to ease the tension between us .,happy
"however , i thought you might share my amusement at the thought of baked beans at a low tension !",happy
his amusement at the scene was rekindled .,happy
"i was quite sad to hear my right hon. friend the minister of agriculture , fisheries and food say that he was prepared to sit in the negotiations for months .",sad
i am really sad that nobody wants to do it like i have done it for them .,sad
"the denning family feel sad that , although sharpness is still thriving , it 'll never be the busy port it once was .",sad
now it makes me sad to think of them growing up .,sad
"` i 'm sad that it folded , but it 's come at a good time , "" she tells me .",sad
` i am desperately sad that our scheme did not come to fruition but i am glad that someone will take it over and bring these jobs to the area .,sad
"` i am sad we have not been afforded the same welcome given to the beirut hostages , "" he told a deeply moved audience at the agm last month .",sad
"we were all sad it was over "" .",sad
i 'm particularly sad my mother has n't had the opportunity to buy even his mc .,sad
"it 's possible to be sad about your babies becoming children , and yet accept the fact that you wo n't have any more .",sad
anne was sad at the death of the misses dolan but too much was happening for her to dwell on it .,sad
everyone will be sad at their departure .,sad
"the truth was that mr wolski was sad with himself , for he did not wish to stay on at the zoo any longer .",sad
he was sad about missing the forthcoming whiskies .,sad
i was sad and also slightly amused to read the recent letter from a reader about the skilled worker only being offered 3 an hour .,sad
"` madam speaker , i know that there will be great sadness at this news .",sad
some grandparents have the sadness of losing rather than gaining grandchildren .,sad
i am saddened that the article uses the spurious connection between dialect and poverty as a means of attacking english teaching in this country .,sad
john parsons in nice is saddened to see the former world no 1 humbled in another comeback attempt at the age of 35,sad
"we are saddened to learn that for some people , the conference failed to develop strategies for action .",sad
i am saddened to find that such thinking still exists within the profession .,sad
a clergyman who trains priests yesterday said he was saddened but not surprised that he had been sacked after admitting he does not believe in god .,sad
"rosemary sandford of darlington association on disability , said they were saddened and disappointed they were not given the opportunity to express their views at the meeting .",sad
"he turned away , his feeling of anguish at the nothingness of it all overwhelming him .",sad
"she still , after all these years , did not know , and one hand clenched in involuntary anguish at what she thought of as her intolerable betrayal of her brother .",sad
"` we feel very strongly about that and that the law should be changed for future children , so that they should be spared the anguish of separation and no contact at all . """,sad
"in the pictures of belsen , the sheer anguish on the faces of the tommies contrasts starkly with the indifference of the ss recorded in their cheery souvenir albums .",sad
he remembers the anguish of disapproval and the comforting security of guardians .,sad
"but last night he insisted he had no grudge against taylor , even though in his column he openly discussed his innermost anguish at being one of only three england players not to kick a ball during finals .",sad
lee sharpe last night relived the anguish of discovering he had a disease which he feared could not only end his career -- but kill him .,sad
"segments in d major and b minor accord with episodes of the drama as this unfolds , but two isolated d minor movements underscore dido 's anguish at being betrayed .",sad
"at a news conference at the royal geographical society in london , they described the mental and physical anguish of their 95-day trek .",sad
politicians who objected to mrs thatcher and her radical conviction politics suffered the anguish of apparently unresolvable frustration .,sad
both were crestfallen after stevie 's erratic performance on the 17th .,sad
there 's no reason to feel dejected about the future .,sad
it 's not just health problems they suffer but many people can get really depressed living in houses where they have to keep washing the mould off the walls .,sad
"even the prince of wales , depressed at the thought of the ordeal to come , cheered up at the sight of the food .",sad
"in spite of everything , burun felt depressed by the whole affair and could not understand why .",sad
"then , still depressed at being ditched , he drank eight pints on a night out with other squaddies , said prosecutor graham boal .",sad
"behind her she heard emilia say , ` i think the child will be quite desolate to see me go .",sad
` i am desolate that anthony has died .,sad
"the sense of relief that the danes had ` let us all painlessly off the maastricht hook "" was immediately replaced by a despondency at the government 's response .",sad
julie is devastated to discover she is adopted and she sets out to find her natural parents .,sad
"it was hot , sunny and the water looked so cool and inviting that maggie felt quite downcast about having no swimsuit .",sad
dolores felt glum at the sight,sad
the people of america and throughout the world were stunned and grief-stricken by the president 's assassination .,sad
the queen was grief-stricken at his death .,sad
her emotion this time was not prompted by grief for her mother -- but by the seriousness of the moment .,sad
kurzlinger hated voss for what he had done and the man 's grief for his murdered love was not to be underestimated .,sad
amanda 's grief for her father was compounded by anxiety over his ontological status .,sad
a 16-year-old girl works herself into a frenzy of grief for a friend killed by right-wing vigilantes .,sad
"to express their grief over the warrington atrocity , the people of dublin sent thousands of floral tributes to liverpool this morning with the irish air corps .",sad
"within the ranks of the music press , there seemed to be a genuine grief at the split and the band 's loyal followers responded accordingly , filling the letter pages with tearful , doleful sentiment .",sad
"in spite of her grief at being parted from her cousins , she could not help but feel excited .",sad
"john had been moved to norfolk and promoted to corporal and he wrote to anne nearly every day , loving letters which helped to make her grief for her mother more bearable .",sad
"relatives often carry enormous personal burdens , for example , the grief of losing a child 's expected bright future , or the tragic decline into senility of a loved companion .",sad
"he was not overwhelmed with grief for kit , but evidently his eyes felt otherwise .",sad
her grief at his death was deep and sincere .,sad
and even those could be put down to excessive grief at the loss of his wife .,sad
and -- though the heartbreak of her troubled marriage still haunts her -- she raised a grin as prince harry waved from their car in london .,sad
they suffered the heartbreak of losing three children through premature births .,sad
jane moss said yesterday that the double heartbreak of her daughter 's death and the murder of her own mum 11 years ago made her want to care for the needy .,sad
"for the owner , it can mean heartbreak at the loss of a family pet .",sad
so many families will face the heartbreak of burglary before christmas .,sad
she regarded the wife of former beirut hostage jackie mann as a ` dear friend' and was heartbroken she could not see her before she died of lung cancer on november 30 .,sad
yeovil town captain mark shail was heartbroken last night over the rash moment which may cost him the chance of playing in the dream fa cup tie against arsenal .,sad
"britt is heartbroken that her eight-year marriage to toyboy husband ` slim "" jim mcdonnell , 31 , is to end in divorce .",sad
she was heartbroken to hear the voice of camilla .,sad
she 'd be heartbroken if her father was n't at her wedding .,sad
"their mother died a month later , heartbroken by the loss of her mate .",sad
no wonder she was now inconsolable at the prospect of the child being returned to london .,sad
"several hours passed while he sat there , knowing that maud would be inconsolable at having missed a charity dinner .",sad
nails became miserable with anxiety .,sad
she 's miserable that it all has to end .,sad
"me , i 'm miserable that it 's all beginning .",sad
"even so , i was miserable when we were second from last .",sad
"and i know that 's miserable for you , but what else can you do ? """,sad
` it is miserable for us to look back on these things .,sad
"life , you know , it 's miserable for them .",sad
"thenceforward i was always wanting to take the joys of solitude and of society in their extreme forms , and was alternatively miserable from the lack of company or the presence of uncongenial company .",sad
the walk to the town centre is long enough to invigorate me and short enough to avoid getting miserable from the cold .,sad
"i was miserable with cold , but although i was prepared to admit that i was miserable , i was n't prepared to admit that my misery had any connection with cold .",sad
he was miserable at being left out .,sad
"since many parents were miserable at being separated from their offspring and it would be a struggle for some to pay money for their misery , they finally decided to have them home again .",sad
members requested the committee 's sorrow that the work had begun without permission should be passed on to the county council .,sad
it soon developed into disillusion as the town 's death toll grew and ended in jubilant relief not unmixed with sorrow at the memory of towns-folk who would not return .,sad
"goebbels himself had signed her travel papers under pressure from his sympathetic wife magda , who had mistaken lais 's hysterical sobs for sorrow at karl 's death .",sad
"he is portrayed as showing sorrow at the destruction caused by german bombers and it is he who ` saves the day "" by first giving himself up and then being shot by clogger .",sad
three of our candles are in this colour to represent our sorrow for our failure to love in so many parts of our lives .,sad
"the awakened will gives rise to fear of god , sorrow for sin , hope for forgiveness and love of god leah 's first four children confusion .",sad
he told of his sorrow at having to quit a job he passionately enjoyed .,sad
was n't there one word of sympathy he could offer to ease her sorrow at having loved and lost him ?,sad
to his great sorrow he could never recall his mother .,sad
"yet the dog had grown old and less capable , and one day the gillie had come and explained with great sorrow that the dog had suffered a stroke , and must be put down .",sad
peers expressed their sorrow at the news of the separation of the prince and princess of wales after the lord chancellor lord mackay of clashfern relayed the prime minister 's announcement to them .,sad
he expressed at once his sorrow for my father 's death .,sad
i join the hon. gentleman in expressing our sorrow at that tragic loss .,sad
both of them were aware of alain 's black anger and marguerite was feeling the sorrow of leaving her own house .,sad
"despite my anger and despair at what had happened to brian , killing myself now would n't make amends for not helping him .",sad
"he had understood james 's despair at the enormity of the ruin , but not what the loss of edward was already meaning .",sad
away from the defence debate dr mowlam also yesterday spoke of her despair at the growing homeless problem in her constituency .,sad
nizan 's despair in 1939 at the nazi-soviet pact and the soviet invasion of poland echoed sartre 's despair in 1956 at the soviet repression in hungary .,sad
"in their communiqu , the finance ministers could usefully point out that the current despair over eastern germany is overdone .",sad
it does at times reveal a certain despair over her present situation -- a fact that is rather concerning .,sad
"lewis verne-smith sat shaking his head , less as a gesture of denial than of a generalized despair at the state of the world .",sad
` i feel despair at being deceived and betrayed .,sad
labour supporters must be in despair at not being able to race away from the tories in the run up to the election .,sad
"<surprise>now you see in our day and generation , we do n't need to be reminded of the importance of little things. the more we learn about the atom , the more we 're astonished at its complexity and its unseen power . <\surprise>",surprise
"<surprise>lin foh blinked , quite astonished at being spoken to so sharply . <\surprise>",surprise
"<surprise>when ramsey came to read the book himself , later in life , he was astonished , and at one point burst out laughing , to discover what irrational expressions he could use . <\surprise>",surprise
<surprise>i was astonished at the smallness of the area which these enclosed . <\surprise>,surprise
"<surprise>from the outset , commentators seem to have been astonished at the great interest the competition evoked . <\surprise>",surprise
<surprise>he was astonished at the change in him . <\surprise>,surprise
<surprise>now as he strode north determined on its recovery he was ashamed and astonished at his own folly . <\surprise>,surprise
"<surprise>but when i got to be twenty-one , i was astonished at how much he had learned in seven years . <\surprise>",surprise
"<surprise>she was astonished , and secretly pleased , that he had remembered her name . <\surprise>",surprise
<surprise>those new to the area were always astonished at the vivid crimson of the earth and buildings . <\surprise>,surprise
<surprise>maggie was quite astonished at her own determination on that score . <\surprise>,surprise
<surprise>but she was even more astonished at her ladyship 's next words . <\surprise>,surprise
"<surprise>eleanor thorne half-sat up in the great bed , astonished at the freshness , the absolute appeal of her idea . <\surprise>",surprise
"<surprise>` i 'm astonished at what you 've achieved , kitty . <\surprise>",surprise
"<surprise>` from all you say of papa , "" announced dr neil naughtily , ` i 'm astonished to learn that he went bankrupt . <\surprise>",surprise
"<surprise>she saw his fear , his bewilderment , and above all , a kind of astonishment at the enormity of the complications that lay ahead . <\surprise>",surprise
"<surprise>my previous astonishment at the fact that people who came here like de michelis the former foreign secretary , or like ex-prime minister andreotti , never endowed us with any money is now diminished . <\surprise>",surprise
"<surprise>martha replied , and left her twin sister blinking in astonishment at a possibility that had n't occurred to her before , but which was now enticingly attractive . <\surprise>",surprise
<surprise>mrs syms 's astonishment at her appearance was almost comical . <\surprise>,surprise
"<surprise>carolyn watched him , caught between her astonishment at his presence here , and the sudden absolutely natural way they were talking . <\surprise>",surprise
"<surprise>miss logan concealed her astonishment at this curious lecture , but felt bound to enquire further . <\surprise>",surprise
"<surprise>but there was some astonishment at the size and timing of the exceptional write-offs , which will result in 9,000 job losses from a worldwide total of 128,600 . <\surprise>",surprise
<surprise>john lahr told me of his astonishment at how unpleasant he could be to waiters at the indian restaurant they visited together . <\surprise>,surprise
"<surprise>when the peat-brown eyes fixed on hers again , their level gaze showed he had recovered from his astonishment at seeing her . <\surprise>",surprise
<surprise>an oxfordshire reader expresses astonishment that so many of the hotels featured in this column border on fawlty towers . <\surprise>,surprise
<surprise>we write to express astonishment at the standard of writing that has featured in much of your pre-election coverage . <\surprise>,surprise
"<surprise>lomponda wa botende , a former chief of staff , expressed his astonishment at the report , and the defence ministry denied that any coup attempt had been made . <\surprise>",surprise
<surprise>he felt a mixture of astonishment at himself and irritation that his rigid daily routine was going to be broken after forty undisturbed years . <\surprise>,surprise
<surprise>alexei was unable to hide his astonishment at siban 's subdued tone . <\surprise>,surprise
"<surprise>ex-hacker stephen gold says he remains ` astounded at the arrogance "" of the law commission for not drawing on the experience of others . <\surprise>",surprise
"<surprise>he added ` i 'm astounded he has not been on the fringe of the dutch team . "" <\surprise>",surprise
<surprise>a man was astounded to walk into his son 's bedroom and find him sitting playing chess with his dog . <\surprise>,surprise
<surprise>some workers have been astounded at the amount of extra paperwork . <\surprise>,surprise
<surprise>serge was astounded to see a bedraggled lili appear in his room in the middle of the night . <\surprise>,surprise
"<surprise>he must have managed to purloin a copy of the house key from somewhere and was obviously astounded to find someone already scouring the house , especially her . <\surprise>",surprise
<surprise>and even as i did i was astounded at myself . <\surprise>,surprise
"<surprise>his last illness was the most violent , and his doctors were astounded that he survived it . <\surprise>",surprise
<surprise>she seemed to be almost floating and maggie was astounded that the sharp stones had not given her enough pain to waken her . <\surprise>,surprise
