ori_sentiment,tweet_text,final_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,anger,disgust,joy,sadness,surprise,fear,esn_sentiment,esn_sentiment_count
not-relevant,"Over 100 people signed up for 'what is It Worth?' Don't miss out, book now! #cdavalue #PhDchat #ahrc10","['over', '100', 'people', 'signed', 'sign', 'up', 'for', 'what', 'is', 'be', 'it', 'worth', 'do', ""n't"", 'not', 'miss', 'out', 'book', 'now', '#cdavalue', 'phdchat', '#ahrc10']",sadness,1.0,0.379,inspired,6.0,1.0035596775266395,0.0,0.0,6.0,2.0,1.0,0.0,joy,6.0
happy,"Kudos, for a top-flight WC exhibition!","['kudos', 'kudo', 'for', 'a', 'top', 'flight', 'wc', 'exhibition']",trust,2.0,0.883,amused,5.0,0.9021710170053681,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,"Jack from blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection","['jack', 'from', 'blogs', 'blog', 'about', 'how', '#museums', '#museum', 'can', 'keep', 'up', 'with', 'tech', '&amp', 'youngsters', 'youngster', 'it', 's', 'be', 'all', 'in', 'the', 'collection']",,0.0,0.0,amused,8.0,1.3747413874220111,0.0,0.0,9.0,0.0,2.0,0.0,joy,9.0
nocode,,['nan'],,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
happy,ooh... Please let us know how it is!!!,"['ooh', 'please', 'let', 'us', 'we', 'know', 'how', 'it', 'is', 'be']",,0.0,0.0,inspired,5.0,1.0045940001923326,0.0,0.0,3.0,0.0,1.0,0.0,joy,3.0
not-relevant,£10 off membership plus offers from with,"['10', 'off', 'membership', 'plus', 'offers', 'offer', 'from', 'with']",,0.0,0.0,amused,4.0,0.6681050533769146,0.0,0.0,5.0,1.0,1.0,0.0,joy,5.0
nocode,Spain? Egypt?,"['spain', 'egypt']",,0.0,0.0,afraid,2.0,0.3518072388253266,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
happy,Enjoying the amazing collections with the family,"['enjoying', 'enjoy', 'the', 'amazing', 'collections', 'collection', 'with', 'the', 'family']",joy,3.0,2.083,inspired,6.0,1.1895729216493796,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,"Ædwen is Brooch story of an #AngloSaxon lady, filmed at for &amp; exhibition","['ædwen', 'is', 'be', 'brooch', 'story', 'of', 'an', 'a', 'anglosaxon', 'lady', 'filmed', 'film', 'at', 'for', '&amp', 'exhibition']",,0.0,0.0,dontcare,6.0,1.307507211413571,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
happy,Beautiful painting. Thank you.,"['beautiful', 'painting', 'thank', 'you']",joy,1.0,0.7809999999999999,inspired,3.0,0.8262724602989555,0.0,1.0,3.0,0.0,0.0,0.0,joy,3.0
happy,#definingbeauty a truly breathtaking exhibition.fascinating on portrayals of women,"['#definingbeauty', 'a', 'truly', 'breathtaking', 'exhibition', 'fascinating', 'on', 'portrayals', 'portrayal', 'of', 'women', 'woman']",joy,1.0,0.728,amused,8.0,1.7967593454753263,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,haha not in my case...,"['haha', 'not', 'in', 'my', 'case']",,0.0,0.0,dontcare,2.0,0.3724064534092816,0.0,0.0,0.0,1.0,0.0,0.0,sadness,1.0
nocode,The Great Court of the #london. #photography,"['the', 'great', 'court', 'of', 'the', '#london', 'photography']",anticipation,1.0,0.49200000000000005,inspired,3.0,0.6054274245336253,0.0,0.0,1.0,0.0,0.0,1.0,,0.0
nocode,"it is one of them things, innit?","['it', 'is', 'be', 'one', 'of', 'them', 'they', 'things', 'thing', 'innit']",,0.0,0.0,inspired,3.0,0.6631441992735503,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* #London #Art,"['discover', 'the', 'arts', 'art', 'with', 'social', 'media', 'noho', 'co', 'founder', 'rod', 'mcintosh', 'on', 'noho', 'origins', 'london', 'art']",anticipation,1.0,0.391,inspired,11.0,2.411702380736951,0.0,0.0,7.0,0.0,0.0,0.0,joy,7.0
happy,"thank you for the favourite, following you back, your mum did a great job at #DefeatingDepression","['thank', 'you', 'for', 'the', 'favourite', 'following', 'follow', 'you', 'back', 'your', 'you', 'mum', 'did', 'do', 'a', 'great', 'job', 'at', 'defeatingdepression']",trust,1.0,0.47700000000000004,inspired,8.0,1.4929899533374618,0.0,0.0,6.0,0.0,0.0,0.0,joy,6.0
happy,Treats for the end of June followed by #JacksonPollock *perfect summer*,"['treats', 'treat', 'for', 'the', 'end', 'of', 'june', 'followed', 'follow', 'by', 'jacksonpollock', 'perfect', 'summer']",joy,3.0,1.8390000000000002,inspired,8.0,1.4784540958203238,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
happy,One of the best places in the country.,"['one', 'of', 'the', 'best', 'places', 'place', 'in', 'the', 'country']",,0.0,0.0,amused,5.0,1.1302988972105503,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
nocode,Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP #Oz,"['gemma', 'is', 'be', 'visiting', 'visit', 'australia', 'today', 'but', 'has', 'have', 'failed', 'fail', 'to', 'find', 'a', 'hemsworth', 'keep', 'trying', 'try', 'austriangp', 'oz']",,0.0,0.0,inspired,13.0,2.3057256589389246,0.0,0.0,7.0,1.0,0.0,0.0,joy,7.0
happy,Awwh possum!,"['awwh', 'possum']",,0.0,0.0,dontcare,1.0,0.4631858228628753,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
nocode,"Only two more weeks to see our exhibition on Roman food stunning objects from , &amp; Corinium","['only', 'two', 'more', 'weeks', 'week', 'to', 'see', 'our', 'we', 'exhibition', 'on', 'roman', 'food', 'stunning', 'stun', 'objects', 'object', 'from', '&amp', 'corinium']",surprise,1.0,0.711,amused,11.0,1.8603594661733567,0.0,0.0,5.0,0.0,1.0,0.0,joy,5.0
happy,"Wonderful experience, hearing Tim knox is #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of","['wonderful', 'experience', 'hearing', 'hear', 'tim', 'knox', 'is', 'be', '#object', 's', ""'s"", '2015', 'keynote', 'on', 'contents', 'decor', 'of', 'uk', 'country', 'houses', 'house', 'in', 'gallery', '3', 'of']",joy,2.0,1.238,inspired,14.0,2.376305608709516,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
nocode,A little bit of #Waterloo1815 history today,"['a', 'little', 'bit', 'of', 'waterloo1815', 'history', 'today']",,0.0,0.0,inspired,4.0,0.7871722896909585,0.0,0.0,2.0,1.0,0.0,0.0,joy,2.0
happy,Hooray! wins Evolver Prize 2015! See it at from 4 July.,"['hooray', 'wins', 'win', 'evolver', 'prize', '2015', 'see', 'it', 'at', 'from', '4', 'july']",joy,2.0,1.586,inspired,6.0,1.1213750919367902,0.0,0.0,3.0,0.0,1.0,0.0,joy,3.0
happy,Fabulous Enid Blyton exhibition Great for kids of ALL ages!,"['fabulous', 'enid', 'blyton', 'exhibition', 'great', 'for', 'kids', 'kid', 'of', 'all', 'ages', 'age']",joy,2.0,1.437,sad,9.0,2.041454351949295,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more #CastleHill15","['castle', 'hill', 'open', 'day', 'starts', 'start', 'at', '12', 'art', 'dance', 'family', 'activities', 'activity', 'tours', 'tour', 'talks', 'talk', 'a', 'nuclear', 'bunker', 'and', 'more', 'castlehill', '15']",joy,4.0,1.4979999999999998,inspired,17.0,2.9510684649186425,0.0,0.0,7.0,0.0,1.0,0.0,joy,7.0
nocode,"How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?","['how', 'was', 'be', 'the', 'battle', 'controlled', 'control', 'drums', 'messages', 'message', 'did', 'do', 'regiments', 'regiment', 'respond', 'to', 'the', 'wrong', 'drummers', 'drummer', 'or', 'instructions', 'instruction']",trust,2.0,1.0390000000000001,inspired,13.0,2.021914202143702,0.0,0.0,5.0,1.0,1.0,0.0,joy,5.0
nocode,coffin for babies?,"['coffin', 'for', 'babies', 'baby']",fear,1.0,0.684,sad,3.0,0.6116447724544426,0.0,0.0,2.0,1.0,0.0,0.0,joy,2.0
nocode,"Important art and true culture, to effectively counter the culture of violence","['important', 'art', 'and', 'true', 'culture', 'to', 'effectively', 'counter', 'the', 'culture', 'of', 'violence']",trust,2.0,1.4220000000000002,inspired,7.0,1.4457723520469554,1.0,0.0,6.0,0.0,0.0,0.0,joy,6.0
happy,Enid Blyton exhib'n opens Wed 17 June! we have been helping set up,"['enid', 'blyton', 'exhib', ""'n"", 'and', 'opens', 'open', 'wed', '17', 'june', 'we', 'have', 'been', 'be', 'helping', 'help', 'set', 'up']",,0.0,0.0,sad,9.0,2.207705417350779,0.0,0.0,5.0,0.0,0.0,1.0,joy,5.0
happy,kettle is YARD: ANTIMUSEUM meet the Archivist is buzzing! #CastleHill15 #explorearchives,"['kettle', 'is', 'be', 'yard', 'antimuseum', 'meet', 'the', 'archivist', 'is', 'be', 'buzzing', 'castle', 'hil', 'l', '15', 'explorearchives', 'explorearchive']",joy,2.0,0.5,amused,7.0,2.0321864097189364,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,"""Lot more I can do with £13.5m"": Director of confirms they are not trying to buy export ban Cezanne","['lot', 'more', 'i', 'can', 'do', 'with', '13.5', 'm', 'director', 'of', 'confirms', 'confirm', 'they', 'are', 'be', 'not', 'trying', 'try', 'to', 'buy', 'export', 'ban', 'cezanne']",trust,1.0,0.445,angry,10.0,1.5356789346151676,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
happy,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at tomorrow with,"['a', 'week', 'writing', 'reports', 'report', 'about', 'reports', 'report', 'suddenly', 'brightened', 'brighten', 'by', 'the', 'thought', 'of', 'definingbeauty', 'at', 'tomorrow', 'with']",surprise,2.0,1.266,inspired,9.0,1.6788547473297937,0.0,0.0,3.0,0.0,2.0,0.0,joy,3.0
happy,Samba time! #DiscoveryDay,"['samba', 'time', 'discovery', 'day']",anticipation,1.0,0.516,amused,4.0,0.7893471294885269,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland","['the', '2nd', 'genocide', 'against', 'biafrans', 'as', 'promised', 'promise', 'by', 'buhari', 'has', 'have', 'begun', 'begin', '3', 'days', 'day', 'of', 'unreported', 'aerial', 'bombardment', 'in', 'biafraland']",fear,1.0,0.8440000000000001,angry,10.0,1.7426477847241129,0.0,0.0,6.0,0.0,1.0,0.0,joy,6.0
happy,Lots of ancient artefacts to enjoy #amazingplace #toomuchforaquickvisit,"['lots', 'lot', 'of', 'ancient', 'artefacts', 'artefact', 'to', 'enjoy', '#amazingplace', '#toomuchforaquickvisit']",joy,1.0,0.812,amused,6.0,1.6655579425542903,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
nocode,"i am at in London, Greater London","['i', 'am', 'be', 'at', 'in', 'london', 'greater', 'london']",,0.0,0.0,inspired,2.0,0.36957788078621484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
nocode,St George slaying the dragon. German. 15th Century. Painted wooden church statuette,"['st', 'george', 'slaying', 'slay', 'the', 'dragon', 'german.', '15th', 'century', 'painted', 'paint', 'wooden', 'church', 'statuette']",anger,1.0,0.7190000000000001,inspired,11.0,1.8399354954449818,1.0,1.0,3.0,0.0,1.0,2.0,joy,3.0
happy,Plus excellent prizes from the,"['plus', 'excellent', 'prizes', 'prize', 'from', 'the']",trust,2.0,1.218,inspired,4.0,1.022828505643002,0.0,0.0,4.0,1.0,1.0,0.0,joy,4.0
nocode,Behind the walls,"['behind', 'the', 'walls', 'wall']",,0.0,0.0,inspired,3.0,0.5448952884253688,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
nocode,See Christopher Williams The Production Line of Happiness via,"['see', 'christopher', 'williams', 'the', 'production', 'line', 'of', 'happiness', 'via']",anticipation,2.0,1.1099999999999999,inspired,7.0,1.2726968986672926,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
angry,. What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,"['what', 'message', 'does', 'do', 'oil', 'sponsorship', 'of', 'the', 'arts', 'art', 'send', 'to', 'those', 'ngotiating', 'ngotiate', 'a', 'climate', 'deal', 'in', 'paris', 'this', 'year', 'askthegallery']",anticipation,2.0,0.793,inspired,10.0,1.869839700983956,0.0,0.0,6.0,0.0,2.0,1.0,joy,6.0
nocode,"Big pocket required RT Ancient Roman version of Swiss Army knife, 3rd century CE, at","['big', 'pocket', 'required', 'require', 'rt', 'ancient', 'roman', 'version', 'of', 'swiss', 'army', 'knife', '3rd', 'century', 'ce', 'at']",,0.0,0.0,amused,13.0,2.2548877552998876,0.0,0.0,3.0,0.0,0.0,2.0,joy,3.0
not-relevant,MPs are to debate privatisation tomorrow as #PCS strikes continue ask your MP to attend,"['mps', 'mp', 'are', 'be', 'to', 'debate', 'privatisation', 'tomorrow', 'as', 'pcs', 'strikes', 'strike', 'continue', 'ask', 'your', 'you', 'mp', 'to', 'attend']",anticipation,2.0,1.062,amused,11.0,1.7939733916063691,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
happy,I Love Museums via,"['i', 'love', 'museums', 'via']",joy,1.0,0.828,inspired,3.0,0.6062052579060069,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
angry,. can you attend adjournment debate tomorrow #noprivatisation #reinstatecandy,"['can', 'you', 'attend', 'adjournment', 'debate', 'tomorrow', '#noprivatisation', '#reinstatecandy']",anticipation,1.0,0.648,annoyed,4.0,0.6524959329167936,0.0,0.0,2.0,0.0,0.0,0.0,joy,2.0
happy,"Excellent exhibition at on Napoleonic era caricature/prints, well worth a look","['excellent', 'exhibition', 'at', 'on', 'napoleonic', 'era', 'caricature', 'prints', 'print', 'well', 'worth', 'a', 'look']",joy,1.0,0.812,inspired,10.0,2.161648337746598,0.0,0.0,4.0,1.0,0.0,0.0,joy,4.0
nocode,"i am at in London, Greater London","['i', 'am', 'be', 'at', 'in', 'london', 'greater', 'london']",,0.0,0.0,inspired,2.0,0.36957788078621484,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
nocode,In the Mesoamerican gallery at Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits.,"['in', 'the', 'mesoamerican', 'gallery', 'at', 'lord', 'shield', 'jaguar', '&amp', 'lady', 'xoc', 'of', 'yaxochilan', 'summon', 'spirits', 'spirit']",joy,3.0,1.202,amused,9.0,1.846351583264941,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
not-relevant,today shortest day down under-winter solstice *waves*,"['today', 'shortest', 'day', 'down', 'under-winter', 'solstice', 'waves', 'wafe']",,0.0,0.0,amused,5.0,1.1694680187977795,0.0,0.0,1.0,0.0,0.0,0.0,joy,1.0
happy,we love the badge! Here she is visiting Peel Park in 1851,"['we', 'love', 'the', 'badge', 'here', 'she', 'is', 'be', 'visiting', 'visit', 'peel', 'park', 'in', '1851']",trust,2.0,1.258,inspired,6.0,1.0660923432566132,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
nocode,#artcubed students day #stockleyart #proudteacher,"['#artcubed', 'students', 'student', 'day', '#stockleyart', '#proudteacher']",,0.0,0.0,inspired,3.0,0.6737733697292967,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
nocode,Remember #Waterloo satiric prints show or explore #IFPDA,"['remember', 'waterloo', 'satiric', 'prints', 'print', 'show', 'or', 'explore', 'ifpda']",anticipation,1.0,0.695,amused,6.0,1.2131654111098444,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
happy,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in Thanks for placing it center stage.,"['this', 'de', 'hooch', 'courtyard', 'of', 'a', 'house', 'in', 'delft', 'us', 'we', 'quite', 'simply', 'my', 'favorite', 'painting', 'in', 'thanks', 'for', 'placing', 'place', 'it', 'center', 'stage']",trust,2.0,1.0150000000000001,inspired,14.0,2.770300609906338,2.0,2.0,5.0,0.0,0.0,0.0,joy,5.0
nocode,Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance,"['termas', 'terma', 'underwater', 'throne', 'photos', 'photo', 'taken', 'take', 'by', 'ian', 'kingsnorth', 'of', 'my', 'recent', 'performance']",trust,1.0,0.36700000000000005,amused,9.0,1.399386603246028,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
nocode,* It looks like there is some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.,"['it', 'looks', 'look', 'like', 'there', 'is', 'be', 'some', 'artisticlicence', 'involved', 'in', 'that', 'sketch', 'of', 'summersolstice', '#sunrise', 'at', '#stonehenge']",trust,1.0,0.484,amused,5.0,1.2544278619785318,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,"new exhibition Famous 5 btw, #7sTurns10","['new', 'exhibition', 'famous', '5', 'btw', '7sturns', '10']",,0.0,0.0,amused,4.0,0.8937381372585025,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
not-relevant,actually the longest day this year will be June 30th when the next leap second will be added at 23:59:60,"['actually', 'the', 'longest', 'day', 'this', 'year', 'will', 'be', 'june', '30th', 'when', 'the', 'next', 'leap', 'second', 'will', 'be', 'added', 'add', 'at', '23:59:60']",trust,1.0,0.414,inspired,10.0,1.6916403361909358,0.0,0.0,5.0,1.0,0.0,0.0,joy,5.0
happy,A grant helped us acquire 'Whistlejacket' in 1997. Learn more: via,"['a', 'grant', 'helped', 'help', 'us', 'we', 'acquire', 'whistlejacket', 'in', '1997', 'learn', 'more', 'via']",trust,1.0,0.594,inspired,7.0,1.413823811087494,0.0,0.0,2.0,0.0,0.0,1.0,joy,2.0
not-relevant,London London London,"['london', 'london', 'london']",,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
happy,it is amazing! you are always so up to date! The best museum in the world! Thanks!,"['it', 'is', 'be', 'amazing', 'you', 'are', 'be', 'always', 'so', 'up', 'to', 'date', 'the', 'best', 'museum', 'in', 'the', 'world', 'thanks']",joy,1.0,0.344,amused,7.0,1.6185860745302307,0.0,0.0,3.0,0.0,0.0,0.0,joy,3.0
nocode,#indigenousAustralia moving exh about effect of colonisation &amp; documents the peoples' fight for rights to their 'country'.,"['#indigenousaustralia', 'moving', 'move', 'exh', 'about', 'effect', 'of', 'colonisation', 'documents', 'document', 'the', 'peoples', 'people', ""'"", ""'s"", 'fight', 'for', 'rights', 'to', 'their', 'they', 'country']",fear,1.0,0.7190000000000001,angry,11.0,1.9390804598371731,0.0,0.0,5.0,0.0,0.0,0.0,joy,5.0
nocode,Have you seen the #sand in the #paint? The #Beach at #Trouville 1870 by Claude #Monet,"['have', 'you', 'seen', 'see', 'the', '#sand', 'in', 'the', '#paint', 'the', 'beach', 'at', 'trouville', '1870', 'by', 'claude', 'monet']",joy,1.0,0.5,inspired,5.0,0.8052678818167328,0.0,0.0,4.0,0.0,0.0,0.0,joy,4.0
happy,Yum! 😀,['yum'],,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
nocode,{ } #Korea #China #art #London #ttot #lp #vacation #trip #photography #photo #Travel #travelpics,"['korea', 'china', '#art', 'london', '#ttot', '#lp', '#vacation', '#trip', '#photography', 'photo', 'travel', '#travelpics', '#travelpic']",trust,1.0,0.42200000000000004,amused,5.0,0.7371328200972663,1.0,1.0,2.0,0.0,0.0,1.0,joy,2.0
happy,Of course! Nothing more and nothing less than the eye of Horus! Greetings!,"['of', 'course', 'nothing', 'more', 'and', 'nothing', 'less', 'than', 'the', 'eye', 'of', 'horus', 'greetings', 'greeting']",,0.0,0.0,inspired,6.0,1.1318141266633144,0.0,0.0,3.0,1.0,0.0,0.0,joy,3.0
nocode,"u did not respond to my compliments,earlier?","['u', 'did', 'do', 'not', 'respond', 'to', 'my', 'compliments', 'compliment', 'earlier']",joy,1.0,0.831,inspired,4.0,0.8001976957225249,0.0,0.0,2.0,1.0,0.0,0.0,joy,2.0
