ori_sentiment,tweet_text,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
angry,#AskTheGallery Why do you pay your brilliant staff so poorly?,"['ask', 'thegallery', 'why', 'do', 'you', 'pay', 'your', 'you', 'brilliant', 'staff', 'so', 'poorly']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.101,0.0,0.0,0.0,0.0,2.0,0.922,2.0,1.039,joy,2.0,1.101
nocode,A sneak peek #IndigenousAustralia exhibition,"['a', 'sneak', 'peek', 'indigenous', 'australia', 'exhibition']",1.0,0.409,0.0,0.0,1.0,0.266,0.0,0.0,0.0,0.0,1.0,0.6559999999999999,0.0,0.0,0.0,0.0,surprise,1.0,0.6559999999999999
nocode,Couldn't agree more ; counting the days till we see again !,"['could', ""n't"", 'not', 'agree', 'more', 'counting', 'count', 'the', 'days', 'day', 'till', 'we', 'see', 'again']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.43,trust,1.0,0.43
happy,"I do, I do, I do. :","['i', 'do', 'i', 'do', 'i', 'do']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,one of my favourite paintings! He was a great artist,"['one', 'of', 'my', 'favourite', 'paintings', 'painting', 'he', 'was', 'be', 'a', 'great', 'artist']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,Free CPD afternoon for 2016 'War Games' exhibition on Thurs 2 Jul from 4pm #plymouth. Details at,"['free', 'cpd', 'afternoon', 'for', '2016', 'war', 'games', 'exhibition', 'on', 'thurs', '2', 'jul', 'from', '4', 'pm', '#plymouth', 'details', 'detail', 'at']",0.0,0.0,0.0,0.0,1.0,0.9420000000000001,1.0,0.544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.9420000000000001
happy,The Magna Carta exhibition was quite extraordinary. Very imaginatively done. Even a bit of Tony Hancock in there!,"['the', 'magna', 'carta', 'exhibition', 'was', 'be', 'quite', 'extraordinary', 'very', 'imaginatively', 'done', 'do', 'even', 'a', 'bit', 'of', 'tony', 'hancock', 'in', 'there']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
not-relevant,"Over 100 people signed up for 'what is It Worth?' Don't miss out, book now! #cdavalue #PhDchat #ahrc10","['over', '100', 'people', 'signed', 'sign', 'up', 'for', 'what', 'is', 'be', 'it', 'worth', 'do', ""n't"", 'not', 'miss', 'out', 'book', 'now', '#cdavalue', 'phdchat', '#ahrc10']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.379,0.0,0.0,0.0,0.0,0.0,0.0,sadness,1.0,0.379
happy,"Kudos, for a top-flight WC exhibition!","['kudos', 'kudo', 'for', 'a', 'top', 'flight', 'wc', 'exhibition']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.515,0.0,0.0,0.0,0.0,1.0,0.39799999999999996,2.0,0.883,trust,2.0,0.883
nocode,"Jack from blogs about how #museums can keep up with tech &amp; youngsters, its all in the collection","['jack', 'from', 'blogs', 'blog', 'about', 'how', '#museums', '#museum', 'can', 'keep', 'up', 'with', 'tech', '&amp', 'youngsters', 'youngster', 'it', 's', 'be', 'all', 'in', 'the', 'collection']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,,['nan'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,ooh... Please let us know how it is!!!,"['ooh', 'please', 'let', 'us', 'we', 'know', 'how', 'it', 'is', 'be']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
not-relevant,£10 off membership plus offers from with,"['10', 'off', 'membership', 'plus', 'offers', 'offer', 'from', 'with']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,Spain? Egypt?,"['spain', 'egypt']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,Enjoying the amazing collections with the family,"['enjoying', 'enjoy', 'the', 'amazing', 'collections', 'collection', 'with', 'the', 'family']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.083,0.0,0.0,0.0,0.0,2.0,1.164,2.0,1.0699999999999998,joy,3.0,2.083
nocode,"Ædwen is Brooch story of an #AngloSaxon lady, filmed at for &amp; exhibition","['ædwen', 'is', 'be', 'brooch', 'story', 'of', 'an', 'a', 'anglosaxon', 'lady', 'filmed', 'film', 'at', 'for', '&amp', 'exhibition']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,Beautiful painting. Thank you.,"['beautiful', 'painting', 'thank', 'you']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7809999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.7809999999999999
happy,#definingbeauty a truly breathtaking exhibition.fascinating on portrayals of women,"['#definingbeauty', 'a', 'truly', 'breathtaking', 'exhibition', 'fascinating', 'on', 'portrayals', 'portrayal', 'of', 'women', 'woman']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.728
nocode,haha not in my case...,"['haha', 'not', 'in', 'my', 'case']",0.0,0.0,0.0,0.0,1.0,0.094,0.0,0.0,1.0,0.228,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,The Great Court of the #london. #photography,"['the', 'great', 'court', 'of', 'the', '#london', 'photography']",1.0,0.19899999999999998,0.0,0.0,1.0,0.284,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.49200000000000005,0.0,0.0,anticipation,1.0,0.49200000000000005
nocode,"it is one of them things, innit?","['it', 'is', 'be', 'one', 'of', 'them', 'they', 'things', 'thing', 'innit']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,Discover The Arts with Social Media: NOHO Co-Founder Rod McIntosh on NOHO Origins* #London #Art,"['discover', 'the', 'arts', 'art', 'with', 'social', 'media', 'noho', 'co', 'founder', 'rod', 'mcintosh', 'on', 'noho', 'origins', 'london', 'art']",0.0,0.0,0.0,0.0,1.0,0.172,1.0,0.23399999999999999,1.0,0.0,1.0,0.172,1.0,0.391,1.0,0.32,anticipation,1.0,0.391
happy,"thank you for the favourite, following you back, your mum did a great job at #DefeatingDepression","['thank', 'you', 'for', 'the', 'favourite', 'following', 'follow', 'you', 'back', 'your', 'you', 'mum', 'did', 'do', 'a', 'great', 'job', 'at', 'defeatingdepression']",0.0,0.0,0.0,0.0,1.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.47700000000000004,trust,1.0,0.47700000000000004
happy,Treats for the end of June followed by #JacksonPollock *perfect summer*,"['treats', 'treat', 'for', 'the', 'end', 'of', 'june', 'followed', 'follow', 'by', 'jacksonpollock', 'perfect', 'summer']",1.0,0.175,1.0,0.078,1.0,0.094,3.0,1.8390000000000002,1.0,0.076,1.0,0.312,2.0,0.9610000000000001,3.0,1.4380000000000002,joy,3.0,1.8390000000000002
happy,One of the best places in the country.,"['one', 'of', 'the', 'best', 'places', 'place', 'in', 'the', 'country']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,Gemma is visiting Australia today but has failed to find a Hemsworth. Keep trying! #AustrianGP #Oz,"['gemma', 'is', 'be', 'visiting', 'visit', 'australia', 'today', 'but', 'has', 'have', 'failed', 'fail', 'to', 'find', 'a', 'hemsworth', 'keep', 'trying', 'try', 'austriangp', 'oz']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,Awwh possum!,"['awwh', 'possum']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,"Only two more weeks to see our exhibition on Roman food stunning objects from , &amp; Corinium","['only', 'two', 'more', 'weeks', 'week', 'to', 'see', 'our', 'we', 'exhibition', 'on', 'roman', 'food', 'stunning', 'stun', 'objects', 'object', 'from', '&amp', 'corinium']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.0,0.0,1.0,0.711,0.0,0.0,1.0,0.336,surprise,1.0,0.711
happy,"Wonderful experience, hearing Tim knox is #objects2015 keynote on contents &amp; decor of UK country houses in gallery 3 of","['wonderful', 'experience', 'hearing', 'hear', 'tim', 'knox', 'is', 'be', '#object', 's', ""'s"", '2015', 'keynote', 'on', 'contents', 'decor', 'of', 'uk', 'country', 'houses', 'house', 'in', 'gallery', '3', 'of']",0.0,0.0,0.0,0.0,1.0,0.156,2.0,1.238,0.0,0.0,1.0,0.45299999999999996,0.0,0.0,1.0,0.625,joy,2.0,1.238
nocode,A little bit of #Waterloo1815 history today,"['a', 'little', 'bit', 'of', 'waterloo1815', 'history', 'today']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,Hooray! wins Evolver Prize 2015! See it at from 4 July.,"['hooray', 'wins', 'win', 'evolver', 'prize', '2015', 'see', 'it', 'at', 'from', '4', 'july']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.586,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.562,joy,2.0,1.586
happy,Fabulous Enid Blyton exhibition Great for kids of ALL ages!,"['fabulous', 'enid', 'blyton', 'exhibition', 'great', 'for', 'kids', 'kid', 'of', 'all', 'ages', 'age']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,2.0,1.437
nocode,"Castle Hill Open Day starts at 12. Art, dance, family activities, tours, talks, a nuclear bunker and more #CastleHill15","['castle', 'hill', 'open', 'day', 'starts', 'start', 'at', '12', 'art', 'dance', 'family', 'activities', 'activity', 'tours', 'tour', 'talks', 'talk', 'a', 'nuclear', 'bunker', 'and', 'more', 'castlehill', '15']",0.0,0.0,0.0,0.0,1.0,0.375,4.0,1.4979999999999998,1.0,0.0,2.0,0.516,2.0,1.141,1.0,0.359,joy,4.0,1.4979999999999998
nocode,"How was the battle controlled? Drums,messages? Did regiments respond to the wrong drummers or instructions?","['how', 'was', 'be', 'the', 'battle', 'controlled', 'control', 'drums', 'messages', 'message', 'did', 'do', 'regiments', 'regiment', 'respond', 'to', 'the', 'wrong', 'drummers', 'drummer', 'or', 'instructions', 'instruction']",1.0,0.6970000000000001,0.0,0.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36700000000000005,2.0,1.0390000000000001,trust,2.0,1.0390000000000001
nocode,coffin for babies?,"['coffin', 'for', 'babies', 'baby']",0.0,0.0,0.0,0.0,1.0,0.684,1.0,0.5,1.0,0.672,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.684
nocode,"Important art and true culture, to effectively counter the culture of violence","['important', 'art', 'and', 'true', 'culture', 'to', 'effectively', 'counter', 'the', 'culture', 'of', 'violence']",1.0,0.742,0.0,0.0,1.0,0.812,2.0,0.5619999999999999,2.0,0.7120000000000001,1.0,0.172,1.0,0.391,2.0,1.4220000000000002,trust,2.0,1.4220000000000002
happy,Enid Blyton exhib'n opens Wed 17 June! we have been helping set up,"['enid', 'blyton', 'exhib', ""'n"", 'and', 'opens', 'open', 'wed', '17', 'june', 'we', 'have', 'been', 'be', 'helping', 'help', 'set', 'up']",0.0,0.0,0.0,0.0,1.0,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,kettle is YARD: ANTIMUSEUM meet the Archivist is buzzing! #CastleHill15 #explorearchives,"['kettle', 'is', 'be', 'yard', 'antimuseum', 'meet', 'the', 'archivist', 'is', 'be', 'buzzing', 'castle', 'hil', 'l', '15', 'explorearchives', 'explorearchive']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,2.0,0.5
nocode,"""Lot more I can do with £13.5m"": Director of confirms they are not trying to buy export ban Cezanne","['lot', 'more', 'i', 'can', 'do', 'with', '13.5', 'm', 'director', 'of', 'confirms', 'confirm', 'they', 'are', 'be', 'not', 'trying', 'try', 'to', 'buy', 'export', 'ban', 'cezanne']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.445,trust,1.0,0.445
happy,A week writing reports about reports suddenly brightened by the thought of #DefiningBeauty at tomorrow with,"['a', 'week', 'writing', 'reports', 'report', 'about', 'reports', 'report', 'suddenly', 'brightened', 'brighten', 'by', 'the', 'thought', 'of', 'definingbeauty', 'at', 'tomorrow', 'with']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.7190000000000001,0.0,0.0,2.0,1.266,2.0,1.062,1.0,0.602,surprise,2.0,1.266
happy,Samba time! #DiscoveryDay,"['samba', 'time', 'discovery', 'day']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.516,0.0,0.0,anticipation,1.0,0.516
not-relevant,"The 2nd GENOCIDE against #Biafrans as promised by #Buhari has begun,3days of unreported aerial Bombardment in #Biafraland","['the', '2nd', 'genocide', 'against', 'biafrans', 'as', 'promised', 'promise', 'by', 'buhari', 'has', 'have', 'begun', 'begin', '3', 'days', 'day', 'of', 'unreported', 'aerial', 'bombardment', 'in', 'biafraland']",1.0,0.606,0.0,0.0,1.0,0.8440000000000001,1.0,0.415,0.0,0.0,0.0,0.0,1.0,0.516,1.0,0.773,fear,1.0,0.8440000000000001
happy,Lots of ancient artefacts to enjoy #amazingplace #toomuchforaquickvisit,"['lots', 'lot', 'of', 'ancient', 'artefacts', 'artefact', 'to', 'enjoy', '#amazingplace', '#toomuchforaquickvisit']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,1.0,0.578,1.0,0.484,joy,1.0,0.812
nocode,"i am at in London, Greater London","['i', 'am', 'be', 'at', 'in', 'london', 'greater', 'london']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,St George slaying the dragon. German. 15th Century. Painted wooden church statuette,"['st', 'george', 'slaying', 'slay', 'the', 'dragon', 'german.', '15th', 'century', 'painted', 'paint', 'wooden', 'church', 'statuette']",1.0,0.7190000000000001,0.0,0.0,1.0,0.594,1.0,0.242,0.0,0.0,0.0,0.0,1.0,0.312,1.0,0.49200000000000005,anger,1.0,0.7190000000000001
happy,Plus excellent prizes from the,"['plus', 'excellent', 'prizes', 'prize', 'from', 'the']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.812,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.218,trust,2.0,1.218
nocode,Behind the walls,"['behind', 'the', 'walls', 'wall']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,See Christopher Williams The Production Line of Happiness via,"['see', 'christopher', 'williams', 'the', 'production', 'line', 'of', 'happiness', 'via']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9840000000000001,0.0,0.0,0.0,0.0,2.0,1.1099999999999999,0.0,0.0,anticipation,2.0,1.1099999999999999
angry,. What message does oil sponsorship of the arts send to those ngotiating a climate deal in Paris this year #AsktheGallery,"['what', 'message', 'does', 'do', 'oil', 'sponsorship', 'of', 'the', 'arts', 'art', 'send', 'to', 'those', 'ngotiating', 'ngotiate', 'a', 'climate', 'deal', 'in', 'paris', 'this', 'year', 'askthegallery']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.546,1.0,0.0,2.0,0.39899999999999997,2.0,0.793,1.0,0.391,anticipation,2.0,0.793
nocode,"Big pocket required RT Ancient Roman version of Swiss Army knife, 3rd century CE, at","['big', 'pocket', 'required', 'require', 'rt', 'ancient', 'roman', 'version', 'of', 'swiss', 'army', 'knife', '3rd', 'century', 'ce', 'at']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
not-relevant,MPs are to debate privatisation tomorrow as #PCS strikes continue ask your MP to attend,"['mps', 'mp', 'are', 'be', 'to', 'debate', 'privatisation', 'tomorrow', 'as', 'pcs', 'strikes', 'strike', 'continue', 'ask', 'your', 'you', 'mp', 'to', 'attend']",1.0,0.721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.695,2.0,1.062,1.0,0.42200000000000004,anticipation,2.0,1.062
happy,I Love Museums via,"['i', 'love', 'museums', 'via']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.758,joy,1.0,0.828
angry,. can you attend adjournment debate tomorrow #noprivatisation #reinstatecandy,"['can', 'you', 'attend', 'adjournment', 'debate', 'tomorrow', '#noprivatisation', '#reinstatecandy']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.648,0.0,0.0,anticipation,1.0,0.648
happy,"Excellent exhibition at on Napoleonic era caricature/prints, well worth a look","['excellent', 'exhibition', 'at', 'on', 'napoleonic', 'era', 'caricature', 'prints', 'print', 'well', 'worth', 'a', 'look']",0.0,0.0,0.0,0.0,1.0,0.141,1.0,0.812,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6559999999999999,joy,1.0,0.812
nocode,"i am at in London, Greater London","['i', 'am', 'be', 'at', 'in', 'london', 'greater', 'london']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,In the Mesoamerican gallery at Lord Shield Jaguar &amp; Lady Xoc of Yaxochilan summon spirits.,"['in', 'the', 'mesoamerican', 'gallery', 'at', 'lord', 'shield', 'jaguar', '&amp', 'lady', 'xoc', 'of', 'yaxochilan', 'summon', 'spirits', 'spirit']",0.0,0.0,1.0,0.125,0.0,0.0,3.0,1.202,0.0,0.0,1.0,0.414,1.0,0.531,1.0,0.445,joy,3.0,1.202
not-relevant,today shortest day down under-winter solstice *waves*,"['today', 'shortest', 'day', 'down', 'under-winter', 'solstice', 'waves', 'wafe']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.266,1.0,0.281,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
happy,we love the badge! Here she is visiting Peel Park in 1851,"['we', 'love', 'the', 'badge', 'here', 'she', 'is', 'be', 'visiting', 'visit', 'peel', 'park', 'in', '1851']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.258,trust,2.0,1.258
nocode,#artcubed students day #stockleyart #proudteacher,"['#artcubed', 'students', 'student', 'day', '#stockleyart', '#proudteacher']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
nocode,Remember #Waterloo satiric prints show or explore #IFPDA,"['remember', 'waterloo', 'satiric', 'prints', 'print', 'show', 'or', 'explore', 'ifpda']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.695,1.0,0.35200000000000004,anticipation,1.0,0.695
happy,This de Hooch 'Courtyard of a House in Delft' us quite simply my favorite painting in Thanks for placing it center stage.,"['this', 'de', 'hooch', 'courtyard', 'of', 'a', 'house', 'in', 'delft', 'us', 'we', 'quite', 'simply', 'my', 'favorite', 'painting', 'in', 'thanks', 'for', 'placing', 'place', 'it', 'center', 'stage']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.688,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0150000000000001,trust,2.0,1.0150000000000001
nocode,Termas: Underwater Throne photos taken by Ian Kingsnorth of my recent performance,"['termas', 'terma', 'underwater', 'throne', 'photos', 'photo', 'taken', 'take', 'by', 'ian', 'kingsnorth', 'of', 'my', 'recent', 'performance']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.36700000000000005,trust,1.0,0.36700000000000005
nocode,* It looks like there is some #ArtisticLicence involved in that sketch of #SummerSolstice #sunrise at #Stonehenge.,"['it', 'looks', 'look', 'like', 'there', 'is', 'be', 'some', 'artisticlicence', 'involved', 'in', 'that', 'sketch', 'of', 'summersolstice', '#sunrise', 'at', '#stonehenge']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,trust,1.0,0.484
