ori_sentiment,text,tweet_text,lemma_tweet_text,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score,dpm_sentiment,dpm_sentiment_count,dpm_sentiment_score,esn_sentiment,esn_sentiment_count
joy,When I had my children.,"['when', 'i', 'had', 'my', 'children']","['when', ""i'"", 'have', 'my', 'child']",joy,1.0,0.466,surprise,2.0,0.4444119585019778,joy,2.0
fear,"When my 2 year old son climbed up and sat on the 7th floor  
balcony with his legs hanging out.  He was holding on tightly to  
the upper railing of the balcony but he could have easily lost  
his balance when he sat down.","['when', 'my', '2', 'year', 'old', 'son', 'climbed', 'up', 'and', 'sat', 'on', 'the', '7th', 'floor', 'balcony', 'with', 'his', 'legs', 'hanging', 'out', 'he', 'was', 'holding', 'on', 'tightly', 'to', 'the', 'upper', 'railing', 'of', 'the', 'balcony', 'but', 'he', 'could', 'have', 'easily', 'lost', 'his', 'balance', 'when', 'he', 'sat', 'down']","['when', 'my', '2', ""'"", 'year', 'old', 'son', 'climb', 'up', 'and', 'sit', 'on', ""the'"", '7th', 'floor', 'balcony', 'with', 'he', 'leg', 'hanging', 'out', 'he', 'be', 'hold', 'of', 'and', 'tightly', ""to'"", ""tha'"", 'upper', 'railing', 'of', ""tha'"", 'balcony', 'but', 'he', 'could', 'have', 'easily', 'lose', 'he', 'balance', 'when', 'he', 'sit', 'dow', 'and']",sadness,4.0,1.9620000000000002,surprise,23.0,4.065183793131596,joy,15.0
anger,When my partner was attacked and lost three teeth.,"['when', 'my', 'partner', 'was', 'attacked', 'and', 'lost', 'three', 'teeth']","['when', 'my', 'partner', 'be', 'attack', 'and', 'lose', 'three', 'tooth']",fear,2.0,1.1880000000000002,anger,8.0,1.0991947760249783,joy,4.0
sadness,"When I see children on T.V from areas devastated by drought and  
war.","['when', 'i', 'see', 'children', 'on', 't.v', 'from', 'areas', 'devastated', 'by', 'drought', 'and', 'war']","['when', ""i'"", 'see', 'child', 'of', 'and', 't.v', 'from', 'area', 'devastate', 'by', 'drought', 'and', 'war']",fear,2.0,1.734,fear,9.0,1.6158042684714138,joy,4.0
disgust,When I nearly walked on a blindworm and then saw it crawl away.,"['when', 'i', 'nearly', 'walked', 'on', 'a', 'blindworm', 'and', 'then', 'saw', 'it', 'crawl', 'away']","['when', ""i'"", 'nearly', 'walk', 'on', ""a'"", 'blindworm', 'and', 'then', 'see', 'it', 'crawl', 'away']",,0.0,0.0,surprise,7.0,1.3182351166582846,joy,4.0
shame,"When I saw my 18 year old son grab an oxygen mask as he had  
breathing difficulties.  I had a bad conscience because I had not  
stopped smoking.  Medication for the dilation of his breathing  
tubes also caused a sense of guilt in me.","['when', 'i', 'saw', 'my', '18', 'year', 'old', 'son', 'grab', 'an', 'oxygen', 'mask', 'as', 'he', 'had', 'breathing', 'difficulties', 'i', 'had', 'a', 'bad', 'conscience', 'because', 'i', 'had', 'not', 'stopped', 'smoking', 'medication', 'for', 'the', 'dilation', 'of', 'his', 'breathing', 'tubes', 'also', 'caused', 'a', 'sense', 'of', 'guilt', 'in', 'me']","['when', ""i'"", 'see', 'my', '18', 'year', 'old', 'son', 'grab', 'a', 'oxygen', 'mask', 'as', 'he', 'have', 'breathing', 'difficulty', ""i'"", 'have', 'a', 'bad', 'conscience', 'because', ""i'"", 'have', 'not', 'stop', 'smoking', 'medication', 'for', ""the'"", 'dilation', 'of', 'he', 'breathing', 'tube', 'also', 'cause', 'a', 'sense', 'of', 'guilt', 'in', 'i']",sadness,4.0,2.093,surprise,24.0,3.9369388093715085,joy,14.0
guilt,"I experience a sense of guilt as my middle son cannot express  
himself like other children, neither verbally nor in writing.","['i', 'experience', 'a', 'sense', 'of', 'guilt', 'as', 'my', 'middle', 'son', 'can', 'not', 'express', 'himself', 'like', 'other', 'children', 'neither', 'verbally', 'nor', 'in', 'writing']","[""'i"", 'experience', 'a', 'sense', 'of', 'guilt', 'as', 'my', 'middle', 'son', 'can', 'not', 'express', 'himself', 'like', ""'other"", 'child', 'neither', 'verbally', 'nor', 'in', 'writing']",joy,2.0,0.841,surprise,12.0,2.0782489316339863,joy,7.0
joy,When my child was born.,"['when', 'my', 'child', 'was', 'born']","['when', 'my', 'child', 'be', 'bear']",fear,1.0,0.524,surprise,3.0,0.5896437296002993,joy,2.0
fear,"It was spring and the ice was melting.  I was far out on a jetty and I poked the ice with a long branch to try and break it.
 The branch went through the ice and I fell in, the water closed  
in over my head.","['it', 'was', 'spring', 'and', 'the', 'ice', 'was', 'melting', 'i', 'was', 'far', 'out', 'on', 'a', 'jetty', 'and', 'i', 'poked', 'the', 'ice', 'with', 'a', 'long', 'branch', 'to', 'try', 'and', 'break', 'it', 'the', 'branch', 'went', 'through', 'the', 'ice', 'and', 'i', 'fell', 'in', 'the', 'water', 'closed', 'in', 'over', 'my', 'head']","['it', 'be', 'spring', 'and', ""the'"", 'ice', 'be', 'melting', ""i'"", 'be', 'far', 'out', 'on', ""a'"", 'jetty', 'and', ""i'"", 'poke', ""the'"", 'ice', 'with', ""a'"", 'long', 'branch', ""to'"", 'try', 'and', 'break', 'it', ""the'"", 'branch', 'go', 'through', ""the'"", 'ice', 'and', 'i', 'fall', 'in', ""the'"", 'water', 'close', 'in', 'over', 'my', 'head']",sadness,2.0,0.871,surprise,19.0,2.639957525117343,joy,8.0
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.  ","['unjust', 'accusations', 'directed', 'at', 'me', 'and', 'my', 'way', 'of', 'acting', 'by', 'someone', 'close', 'to', 'me']","['unjust', 'accusation', 'direct', 'at', 'i', 'and', 'my', 'way', 'of', 'act', 'by', 'someone', 'close', 'to', 'i']",anger,2.0,1.04,anger,10.0,1.6504279621356803,joy,4.0
sadness,Failing an examination.,"['failing', 'an', 'examination']","['fail', 'a', 'examination']",fear,2.0,0.735,anger,3.0,0.48023451385945837,sadness,1.0
disgust,"A drunkard fell, started bleeding and wet himself.  Disgust that  
turned into sadness-unpleasantness.","['a', 'drunkard', 'fell', 'started', 'bleeding', 'and', 'wet', 'himself', 'disgust', 'that', 'turned', 'into', 'sadness', 'unpleasantness']","['drunkard', 'fall', 'start', 'bleed', 'and', 'wet', 'himself', 'disgust', 'that', 'turn', 'into', 'sadness', 'unpleasantness']",sadness,6.0,3.017,surprise,13.0,2.0250084103932195,,0.0
shame,"When, as an adult I have been caught lying or behaving badly.","['when', 'as', 'an', 'adult', 'i', 'have', 'been', 'caught', 'lying', 'or', 'behaving', 'badly']","['when', 'as', 'a', 'adult', ""i'"", 'have', 'be', 'catch', 'lie', ""or'"", 'behave', 'badly']",sadness,2.0,1.04,surprise,8.0,1.1952344819698084,,0.0
guilt,"When I am in an environment or with a person much worse off than  
me, I realize how privileged I am.","['when', 'i', 'am', 'in', 'an', 'environment', 'or', 'with', 'a', 'person', 'much', 'worse', 'off', 'than', 'me', 'i', 'realize', 'how', 'privileged', 'i', 'am']","['when', ""i'"", 'be', 'in', ""an'"", 'environment', 'or', 'with', ""a'"", 'person', 'much', 'worse', 'off', 'than', ""me'"", ""i'"", 'realize', 'how', 'privileged', ""i'"", 'am']",joy,1.0,0.485,surprise,6.0,1.3402132375279996,joy,5.0
joy,When I saw a person I had not seen for a long time.,"['when', 'i', 'saw', 'a', 'person', 'i', 'had', 'not', 'seen', 'for', 'a', 'long', 'time']","['when', ""i'"", 'see', ""a'"", 'person', ""i'"", 'have', 'not', 'see', 'for', 'a', 'long', 'time']",,0.0,0.0,surprise,6.0,1.0582930646748268,joy,4.0
fear,"When, as a child, I was nearly knocked down by a car.","['when', 'as', 'a', 'child', 'i', 'was', 'nearly', 'knocked', 'down', 'by', 'a', 'car']","['when', 'as', ""a'"", 'child', ""i'"", 'be', 'nearly', 'knock', 'dow', 'and', 'by', 'a', 'car']",joy,1.0,0.466,surprise,6.0,0.8572433666568612,joy,4.0
anger,"When I heard on the radio that the football match in Belgium had  
ended in a catastrophe, and several people had died.  I could not  
 understand how normal people could behave in such a way.","['when', 'i', 'heard', 'on', 'the', 'radio', 'that', 'the', 'football', 'match', 'in', 'belgium', 'had', 'ended', 'in', 'a', 'catastrophe', 'and', 'several', 'people', 'had', 'died', 'i', 'could', 'not', 'understand', 'how', 'normal', 'people', 'could', 'behave', 'in', 'such', 'a', 'way']","['when', ""i'"", 'hear', 'of', 'and', ""the'"", 'radio', 'that', ""the'"", 'football', 'match', 'in', 'belgium', 'have', 'end', 'in', ""a'"", 'catastrophe', 'and', 'several', 'people', 'have', 'die', ""i'"", 'could', 'not', 'understand', 'how', 'normal', 'people', 'could', 'behave', 'in', 'such', 'a', 'way']",sadness,3.0,2.59,surprise,18.0,2.972281737262842,joy,9.0
sadness,"When I feel lonely, perhaps because I have to study a lot and I  
am shut up in my appartment.  Nothing happens in particular  
because there is no time for anything else.","['when', 'i', 'feel', 'lonely', 'perhaps', 'because', 'i', 'have', 'to', 'study', 'a', 'lot', 'and', 'i', 'am', 'shut', 'up', 'in', 'my', 'appartment', 'nothing', 'happens', 'in', 'particular', 'because', 'there', 'is', 'no', 'time', 'for', 'anything', 'else']","['when', ""i'"", 'feel', 'lonely', 'perhaps', 'because', ""i'"", 'have', ""to'"", 'study', 'a', 'lot', 'and', 'i', 'be', 'shut', 'up', 'in', 'my', 'apartment', 'nothing', 'happen', 'in', 'particular', 'because', 'there', 'be', ""no'"", 'time', 'for', 'anything', 'else']",sadness,1.0,0.6559999999999999,surprise,15.0,2.832025823340746,joy,12.0
disgust,"When one learns through the mass media all the wars and killing  
going on in the world.","['when', 'one', 'learns', 'through', 'the', 'mass', 'media', 'all', 'the', 'wars', 'and', 'killing', 'going', 'on', 'in', 'the', 'world']","['when', 'one', 'learn', 'through', ""the'"", 'mass', 'media', 'all', ""the'"", 'war', 'and', 'killing', 'go', 'of', 'and', 'in', ""the'"", 'world']",fear,2.0,1.8479999999999999,surprise,11.0,2.0322215419794025,joy,7.0
shame,"I lied, to be precise I cancelled a meeting with a good friend.","['i', 'lied', 'to', 'be', 'precise', 'i', 'cancelled', 'a', 'meeting', 'with', 'a', 'good', 'friend']","[""'i"", 'lie', ""to'"", ""be'"", 'precise', ""i'"", 'cancel', 'a', 'meeting', 'with', ""a'"", 'good', 'friend']",joy,2.0,1.018,disgust,8.0,1.2968732383341435,joy,3.0
guilt,When one lets friends down,"['when', 'one', 'lets', 'friends', 'down']","['when', 'one', 'let', 'friend', 'down']",joy,2.0,0.9710000000000001,surprise,5.0,0.9237728873715387,joy,4.0
joy,When I was accepted for a course on finance and accounting.,"['when', 'i', 'was', 'accepted', 'for', 'a', 'course', 'on', 'finance', 'and', 'accounting']","['when', ""i'"", 'be', 'accept', 'for', 'a', 'course', 'on', 'finance', 'and', 'accounting']",,0.0,0.0,surprise,5.0,0.8313061588293339,joy,4.0
fear,"A bus drove over my right leg.  The event itself was not very  
frightening but when I had to wait in the emergency ward for  
three hours and then my leg began to swell, I was frightened.","['a', 'bus', 'drove', 'over', 'my', 'right', 'leg', 'the', 'event', 'itself', 'was', 'not', 'very', 'frightening', 'but', 'when', 'i', 'had', 'to', 'wait', 'in', 'the', 'emergency', 'ward', 'for', 'three', 'hours', 'and', 'then', 'my', 'leg', 'began', 'to', 'swell', 'i', 'was', 'frightened']","[""'a"", 'bus', 'drive', 'over', 'my', 'right', 'leg', ""the'"", 'event', 'itself', 'be', 'not', 'very', 'frightening', 'but', 'when', ""i'"", 'have', ""to'"", 'wait', 'in', ""the'"", 'emergency', 'ward', 'for', 'three', 'hour', 'and', 'then', 'my', 'leg', 'begin', ""to'"", 'swell', 'i', 'be', 'frightened']",fear,3.0,2.407,surprise,17.0,2.5372139429298137,joy,16.0
anger,"At my Summer job, nobody looked after me in particular and I had  
to learn all on my own.","['at', 'my', 'summer', 'job', 'nobody', 'looked', 'after', 'me', 'in', 'particular', 'and', 'i', 'had', 'to', 'learn', 'all', 'on', 'my', 'own']","['at', 'my', 'summer', 'job', 'nobody', 'look', 'after', ""me'"", 'in', 'particular', 'and', 'i', 'have', ""to'"", 'learn', 'all', 'of', 'and', 'my', 'own']",joy,1.0,0.591,surprise,7.0,1.5450059548140576,joy,8.0
sadness,When I was not accepted as a student in finance and accounting.,"['when', 'i', 'was', 'not', 'accepted', 'as', 'a', 'student', 'in', 'finance', 'and', 'accounting']","['when', ""i'"", 'be', 'not', 'accept', 'as', 'a', 'student', 'in', 'finance', 'and', 'accounting']",,0.0,0.0,surprise,5.0,0.854805535017059,joy,3.0
disgust,"When I had just moved into my new appartment I found a ventilator  
in the kitchen.  I was going to clean it when I found that the  
drum was full of mud and slime.  I felt disgusted.","['when', 'i', 'had', 'just', 'moved', 'into', 'my', 'new', 'appartment', 'i', 'found', 'a', 'ventilator', 'in', 'the', 'kitchen', 'i', 'was', 'going', 'to', 'clean', 'it', 'when', 'i', 'found', 'that', 'the', 'drum', 'was', 'full', 'of', 'mud', 'and', 'slime', 'i', 'felt', 'disgusted']","['when', ""i'"", 'have', 'just', 'move', 'into', 'my', 'new', 'apartment', ""i'"", 'find', 'a', 'ventilator', 'in', ""the'"", 'kitchen', ""i'"", 'be', 'go', ""to'"", 'clean', 'it', 'when', ""i'"", 'find', 'that', ""the'"", 'drum', 'be', 'full', 'of', 'mud', 'and', 'slime', 'i', 'feel', 'disgusted']",joy,3.0,0.893,surprise,19.0,3.0848173859973955,joy,11.0
shame,"My elder brother and I have not always had a good relationship  
and I feel ashamed of myself as I do not call him to talk to him  
nowadays.","['my', 'elder', 'brother', 'and', 'i', 'have', 'not', 'always', 'had', 'a', 'good', 'relationship', 'and', 'i', 'feel', 'ashamed', 'of', 'myself', 'as', 'i', 'do', 'not', 'call', 'him', 'to', 'talk', 'to', 'him', 'nowadays']","['elder', 'brother', 'and', ""i'"", 'have', 'not', 'always', 'have', 'a', 'good', 'relationship', 'and', 'i', 'feel', 'ashamed', 'of', 'myself', 'as', 'i', 'do', 'not', 'call', 'he', ""to'"", 'talk', ""to'"", 'he', 'nowadays']",joy,2.0,1.061,surprise,10.0,2.1763531892722985,joy,8.0
guilt,"At my Summer job a new caretaker had been employed who was my age  
 but I preferred going out for lunch with the accounts personnel  
rather than with him.","['at', 'my', 'summer', 'job', 'a', 'new', 'caretaker', 'had', 'been', 'employed', 'who', 'was', 'my', 'age', 'but', 'i', 'preferred', 'going', 'out', 'for', 'lunch', 'with', 'the', 'accounts', 'personnel', 'rather', 'than', 'with', 'him']","['at', 'my', 'summer', 'job', 'a', 'new', 'caretaker', 'have', 'be', 'employ', ""who'"", 'be', 'my', 'age', 'but', ""i'"", 'prefer', 'go', 'out', 'for', 'lunch', 'with', ""the'"", 'account', 'personnel', 'rather', 'than', 'with', 'he']",joy,1.0,0.591,surprise,16.0,2.6239224714935876,joy,12.0
joy,Passed an exam by 2 points.,"['passed', 'an', 'exam', 'by', '2', 'points']","['pass', 'a', 'exam', 'by', '2', 'point']",fear,1.0,0.359,surprise,5.0,0.9256560642496394,joy,1.0
fear,"In a cottage in a large forest, I was alone for a while in the  dark.","['in', 'a', 'cottage', 'in', 'a', 'large', 'forest', 'i', 'was', 'alone', 'for', 'a', 'while', 'in', 'the', 'dark']","['in', ""a'"", 'cottage', 'in', ""a'"", 'large', 'forest', ""i'"", 'be', 'alone', 'for', 'a', 'while', 'in', ""the'"", 'dark']",sadness,2.0,1.145,surprise,5.0,0.8780610207649312,joy,4.0
sadness,Railway station good-bye.,"['railway', 'station', 'good', 'bye']","[""'railway"", 'station', 'good', 'bye']",joy,1.0,0.547,surprise,4.0,0.5966104304929949,sadness,1.0
