ori_sentiment,tweet_text,sentiment,final_tweet_text,anger,anger_score,disgust,disgust_score,fear,fear_score,joy,joy_score,sadness,sadness_score,surprise,surprise_score,anticipation,anticipation_score,trust,trust_score,nrc_sentiment,nrc_sentiment_count,nrc_sentiment_score
sadness,"When I recently thought about the hard work it takes to study, and how one wants to try something else. When I read a theoretical book in English that I did not understand.",sadness,"['when', 'i', 'recently', 'thought', 'think', 'about', 'the', 'hard', 'work', 'it', 'takes', 'take', 'to', 'study', 'and', 'how', 'one', 'wants', 'want', 'to', 'try', 'something', 'else', 'when', 'i', 'read', 'a', 'theoretical', 'book', 'in', 'english', 'that', 'i', 'did', 'do', 'not', 'understand']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.414,0.0,0.0,anticipation,1.0,0.414
disgust,When I found a bristle in the liver paste tube.,disgust,"['when', 'i', 'found', 'find', 'a', 'bristle', 'in', 'the', 'liver', 'paste', 'tube']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.258,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.484,trust,1.0,0.484
shame,"When I was tired and unmotivated, I shouted at my girlfriend and and brought up negative sides of her character which are actually not so important.",shame,"['when', 'i', 'was', 'be', 'tired', 'and', 'unmotivated', 'i', 'shouted', 'shout', 'at', 'my', 'girlfriend', 'and', 'and', 'brought', 'bring', 'up', 'negative', 'sides', 'side', 'of', 'her', 'she', 'character', 'which', 'are', 'be', 'actually', 'not', 'so', 'important']",1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,1.0,0.6409999999999999,0.0,0.0,1.0,0.633,anger,1.0,0.667
guilt,When I think that I do not study enough. After the weekend I think that I should have been able to have accomplished something during that time.,guilt,"['when', 'i', 'think', 'that', 'i', 'do', 'not', 'study', 'enough', 'after', 'the', 'weekend', 'i', 'think', 'that', 'i', 'should', 'have', 'been', 'be', 'able', 'to', 'have', 'accomplished', 'accomplish', 'something', 'during', 'that', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.6130000000000002,0.0,0.0,0.0,0.0,1.0,0.516,0.0,0.0,joy,3.0,1.6130000000000002
joy,When I pass an examination which I did not think I did well.,joy,"['when', 'i', 'pass', 'an', 'a', 'examination', 'which', 'i', 'did', 'do', 'not', 'think', 'i', 'did', 'do', 'well']",0.0,0.0,0.0,0.0,1.0,0.204,0.0,0.0,0.0,0.0,1.0,0.32,0.0,0.0,0.0,0.0,surprise,1.0,0.32
fear,"When one has arranged to meet someone and that person arrives late, in the meantime one starts thinking about all that could have gone wrong e.g a traffic accident.",fear,"['when', 'one', 'has', 'have', 'arranged', 'arrange', 'to', 'meet', 'someone', 'and', 'that', 'person', 'arrives', 'arrive', 'late', 'in', 'the', 'meantime', 'one', 'starts', 'start', 'thinking', 'think', 'about', 'all', 'that', 'could', 'have', 'gone', 'go', 'wrong', 'e.g', 'a', 'traffic', 'accident']",0.0,0.0,0.0,0.0,1.0,0.75,0.0,0.0,3.0,1.0939999999999999,2.0,1.0939999999999999,2.0,1.3439999999999999,0.0,0.0,anticipation,2.0,1.3439999999999999
anger,When one is unjustly accused of something one has not done.,anger,"['when', 'one', 'is', 'be', 'unjustly', 'accused', 'accuse', 'of', 'something', 'one', 'has', 'have', 'not', 'done', 'do']",1.0,0.6409999999999999,0.0,0.0,1.0,0.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,1.0,0.6409999999999999
sadness,When one is studies seem hopelessly difficult and uninteresting.,sadness,"['when', 'one', 'is', 'be', 'studies', 'study', 'seem', 'hopelessly', 'difficult', 'and', 'uninteresting']",0.0,0.0,0.0,0.0,1.0,0.359,0.0,0.0,1.0,0.23399999999999999,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.359
disgust,"When one finds out that someone you know is not at all like one had thought, for instance friends who steal and things like that, quite unwarranted.",disgust,"['when', 'one', 'finds', 'find', 'out', 'that', 'someone', 'you', 'know', 'is', 'be', 'not', 'at', 'all', 'like', 'one', 'had', 'have', 'thought', 'think', 'for', 'instance', 'friends', 'friend', 'who', 'steal', 'and', 'things', 'thing', 'like', 'that', 'quite', 'unwarranted']",1.0,0.469,0.0,0.0,1.0,0.42200000000000004,2.0,0.9710000000000001,1.0,0.6559999999999999,0.0,0.0,1.0,0.414,2.0,1.234,trust,2.0,1.234
shame,"When one has been unjust, stupid towards someone else.",shame,"['when', 'one', 'has', 'have', 'been', 'be', 'unjust', 'stupid', 'towards', 'someone', 'else']",1.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,1.0,0.53
guilt,When one has neglected or been unjust to a good friend.,guilt,"['when', 'one', 'has', 'have', 'neglected', 'neglect', 'or', 'been', 'be', 'unjust', 'to', 'a', 'good', 'friend']",2.0,0.8540000000000001,1.0,0.414,0.0,0.0,2.0,1.018,1.0,0.688,1.0,0.21899999999999997,1.0,0.38299999999999995,2.0,1.367,trust,2.0,1.367
joy,Passing an exam I did not expect to pass.,joy,"['passing', 'pass', 'an', 'a', 'exam', 'i', 'did', 'do', 'not', 'expect', 'to', 'pass']",0.0,0.0,0.0,0.0,1.0,0.359,0.0,0.0,0.0,0.0,1.0,0.14800000000000002,1.0,0.742,1.0,0.47700000000000004,anticipation,1.0,0.742
fear,When I climbed up a tree to pick apples. The angle of the ladder I was on did not enable me to get high enough. This implied that the ladder was not very stable.,fear,"['when', 'i', 'climbed', 'climb', 'up', 'a', 'tree', 'to', 'pick', 'apples', 'apple', 'the', 'angle', 'of', 'the', 'ladder', 'i', 'was', 'be', 'on', 'did', 'do', 'not', 'enable', 'me', 'i', 'to', 'get', 'high', 'enough', 'this', 'implied', 'imply', 'that', 'the', 'ladder', 'was', 'be', 'not', 'very', 'stable']",1.0,0.0,1.0,0.039,0.0,0.0,1.0,0.09,0.0,0.0,1.0,0.078,1.0,0.22699999999999998,3.0,1.6640000000000001,trust,3.0,1.6640000000000001
guilt,When excuses are necessary and I get out of doing it myself.,guilt,"['when', 'excuses', 'excuse', 'are', 'be', 'necessary', 'and', 'i', 'get', 'out', 'of', 'doing', 'do', 'it', 'myself']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
joy,When I had my children.,joy,"['when', 'i', 'had', 'have', 'my', 'children', 'child']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.466,0.0,0.0,0.0,0.0,1.0,0.523,0.0,0.0,anticipation,1.0,0.523
fear,When my 2 year old son climbed up and sat on the 7th floor balcony with his legs hanging out. He was holding on tightly to the upper railing of the balcony but he could have easily lost his balance when he sat down.,fear,"['when', 'my', '2', 'year', 'old', 'son', 'climbed', 'climb', 'up', 'and', 'sat', 'sit', 'on', 'the', '7th', 'floor', 'balcony', 'with', 'his', 'he', 'legs', 'leg', 'hanging', 'hang', 'out', 'he', 'was', 'be', 'holding', 'hold', 'on', 'tightly', 'to', 'the', 'upper', 'railing', 'of', 'the', 'balcony', 'but', 'he', 'could', 'have', 'easily', 'lost', 'lose', 'his', 'he', 'balance', 'when', 'he', 'sat', 'sit', 'down']",2.0,0.897,2.0,0.781,2.0,1.032,1.0,0.275,4.0,1.9620000000000002,1.0,0.38299999999999995,0.0,0.0,0.0,0.0,sadness,4.0,1.9620000000000002
anger,When my partner was attacked and lost three teeth.,anger,"['when', 'my', 'partner', 'was', 'be', 'attacked', 'attack', 'and', 'lost', 'lose', 'three', 'teeth', 'tooth']",2.0,1.1139999999999999,1.0,0.25,2.0,1.1880000000000002,1.0,0.33299999999999996,2.0,1.134,1.0,0.38299999999999995,0.0,0.0,0.0,0.0,fear,2.0,1.1880000000000002
sadness,When I see children on T.V from areas devastated by drought and war.,sadness,"['when', 'i', 'see', 'children', 'child', 'on', 't.v', 'from', 'areas', 'area', 'devastated', 'devastate', 'by', 'drought', 'and', 'war']",1.0,0.682,0.0,0.0,2.0,1.734,1.0,0.466,2.0,1.709,0.0,0.0,1.0,0.523,0.0,0.0,fear,2.0,1.734
disgust,When I nearly walked on a blindworm and then saw it crawl away.,disgust,"['when', 'i', 'nearly', 'walked', 'walk', 'on', 'a', 'blindworm', 'and', 'then', 'saw', 'see', 'it', 'crawl', 'away']",0.0,0.0,1.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
shame,When I saw my 18 year old son grab an oxygen mask as he had breathing difficulties. I had a bad conscience because I had not stopped smoking. Medication for the dilation of his breathing tubes also caused a sense of guilt in me.,shame,"['when', 'i', 'saw', 'see', 'my', '18', 'year', 'old', 'son', 'grab', 'an', 'a', 'oxygen', 'mask', 'as', 'he', 'had', 'have', 'breathing', 'difficulties', 'difficulty', 'i', 'had', 'have', 'a', 'bad', 'conscience', 'because', 'i', 'had', 'have', 'not', 'stopped', 'stop', 'smoking', 'medication', 'for', 'the', 'dilation', 'of', 'his', 'he', 'breathing', 'tubes', 'tube', 'also', 'caused', 'cause', 'a', 'sense', 'of', 'guilt', 'in', 'me', 'i']",3.0,1.389,2.0,0.774,3.0,0.765,0.0,0.0,4.0,2.093,0.0,0.0,0.0,0.0,1.0,0.633,sadness,4.0,2.093
guilt,"I experience a sense of guilt as my middle son can not express himself like other children, neither verbally nor in writing.",guilt,"['i', 'experience', 'a', 'sense', 'of', 'guilt', 'as', 'my', 'middle', 'son', 'can', 'not', 'express', 'himself', 'like', 'other', 'children', 'child', 'neither', 'verbally', 'nor', 'in', 'writing']",0.0,0.0,1.0,0.38299999999999995,0.0,0.0,2.0,0.841,1.0,0.75,0.0,0.0,1.0,0.523,1.0,0.484,joy,2.0,0.841
joy,When my child was born.,joy,"['when', 'my', 'child', 'was', 'be', 'born', 'bear']",1.0,0.266,0.0,0.0,1.0,0.524,1.0,0.466,0.0,0.0,0.0,0.0,1.0,0.523,0.0,0.0,fear,1.0,0.524
fear,"It was spring and the ice was melting. I was far out on a jetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closed in over my head.",fear,"['it', 'was', 'be', 'spring', 'and', 'the', 'ice', 'was', 'be', 'melting', 'melt', 'i', 'was', 'be', 'far', 'out', 'on', 'a', 'jetty', 'and', 'i', 'poked', 'poke', 'the', 'ice', 'with', 'a', 'long', 'branch', 'to', 'try', 'and', 'break', 'it', 'the', 'branch', 'went', 'go', 'through', 'the', 'ice', 'and', 'i', 'fell', 'fall', 'in', 'the', 'water', 'closed', 'close', 'in', 'over', 'my', 'head']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.156,2.0,0.871,1.0,0.461,2.0,0.797,0.0,0.0,sadness,2.0,0.871
anger,"Unjust accusations directed at me and my way of acting, by someone close to me.",anger,"['unjust', 'accusations', 'accusation', 'directed', 'direct', 'at', 'me', 'i', 'and', 'my', 'way', 'of', 'acting', 'act', 'by', 'someone', 'close', 'to', 'me', 'i']",2.0,1.04,1.0,0.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anger,2.0,1.04
sadness,Failing an examination.,sadness,"['failing', 'fail', 'an', 'a', 'examination']",1.0,0.23399999999999999,0.0,0.0,2.0,0.735,0.0,0.0,1.0,0.6409999999999999,1.0,0.32,1.0,0.38299999999999995,0.0,0.0,fear,2.0,0.735
disgust,"A drunkard fell, started bleeding and wet himself. Disgust that turned into sadness-unpleasantness.",disgust,"['a', 'drunkard', 'fell', 'fall', 'started', 'start', 'bleeding', 'bleed', 'and', 'wet', 'himself', 'disgust', 'that', 'turned', 'turn', 'into', 'sadness', 'unpleasantness']",1.0,0.602,3.0,1.461,2.0,1.0150000000000001,0.0,0.0,6.0,3.0170000000000003,1.0,0.344,1.0,0.75,1.0,0.25,sadness,6.0,3.0170000000000003
shame,"When, as an adult I have been caught lying or behaving badly.",shame,"['when', 'as', 'an', 'a', 'adult', 'i', 'have', 'been', 'be', 'caught', 'catch', 'lying', 'lie', 'or', 'behaving', 'behave', 'badly']",2.0,0.756,2.0,0.976,0.0,0.0,0.0,0.0,2.0,1.04,1.0,0.32,0.0,0.0,0.0,0.0,sadness,2.0,1.04
guilt,"When I am in an environment or with a person much worse off than me, I realize how privileged I am.",guilt,"['when', 'i', 'am', 'be', 'in', 'an', 'a', 'environment', 'or', 'with', 'a', 'person', 'much', 'worse', 'off', 'than', 'me', 'i', 'i', 'realize', 'how', 'privileged', 'i', 'am', 'be']",0.0,0.0,0.0,0.0,1.0,0.484,1.0,0.485,1.0,0.45299999999999996,0.0,0.0,0.0,0.0,1.0,0.359,joy,1.0,0.485
joy,When I saw a person I had not seen for a long time.,joy,"['when', 'i', 'saw', 'see', 'a', 'person', 'i', 'had', 'have', 'not', 'seen', 'see', 'for', 'a', 'long', 'time']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.922,0.0,0.0,anticipation,2.0,0.922
fear,"When, as a child, I was nearly knocked down by a car.",fear,"['when', 'as', 'a', 'child', 'i', 'was', 'be', 'nearly', 'knocked', 'knock', 'down', 'by', 'a', 'car']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.466,1.0,0.281,0.0,0.0,1.0,0.523,0.0,0.0,anticipation,1.0,0.523
anger,"When I heard on the radio that the football match in Belgium had ended in a catastrophe, and several people had died. I could not understand how normal people could behave in such a way.",anger,"['when', 'i', 'heard', 'hear', 'on', 'the', 'radio', 'that', 'the', 'football', 'match', 'in', 'belgium', 'had', 'have', 'ended', 'end', 'in', 'a', 'catastrophe', 'and', 'several', 'people', 'had', 'have', 'died', 'die', 'i', 'could', 'not', 'understand', 'how', 'normal', 'people', 'could', 'behave', 'in', 'such', 'a', 'way']",1.0,0.735,1.0,0.594,2.0,1.7189999999999999,1.0,0.25,3.0,2.59,1.0,0.836,1.0,0.469,0.0,0.0,sadness,3.0,2.59
sadness,"When I feel lonely, perhaps because I have to study a lot and I am shut up in my appartment. Nothing happens in particular because there is no time for anything else.",sadness,"['when', 'i', 'feel', 'lonely', 'perhaps', 'because', 'i', 'have', 'to', 'study', 'a', 'lot', 'and', 'i', 'am', 'be', 'shut', 'up', 'in', 'my', 'appartment', 'apartment', 'nothing', 'happens', 'happen', 'in', 'particular', 'because', 'there', 'is', 'be', 'no', 'time', 'for', 'anything', 'else']",1.0,0.109,1.0,0.297,1.0,0.183,0.0,0.0,1.0,0.6559999999999999,0.0,0.0,2.0,1.0,0.0,0.0,anticipation,2.0,1.0
disgust,When one learns through the mass media all the wars and killing going on in the world.,disgust,"['when', 'one', 'learns', 'learn', 'through', 'the', 'mass', 'media', 'all', 'the', 'wars', 'war', 'and', 'killing', 'kill', 'going', 'go', 'on', 'in', 'the', 'world']",1.0,0.893,0.0,0.0,3.0,2.81,0.0,0.0,2.0,1.609,0.0,0.0,0.0,0.0,0.0,0.0,fear,3.0,2.81
shame,"I lied, to be precise I cancelled a meeting with a good friend.",shame,"['i', 'lied', 'lie', 'to', 'be', 'precise', 'i', 'cancelled', 'cancel', 'a', 'meeting', 'with', 'a', 'good', 'friend']",1.0,0.348,1.0,0.445,0.0,0.0,2.0,1.018,2.0,0.819,1.0,0.21899999999999997,1.0,0.38299999999999995,2.0,1.367,trust,2.0,1.367
guilt,When one lets friends down,guilt,"['when', 'one', 'lets', 'let', 'friends', 'friend', 'down']",0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.9710000000000001,1.0,0.281,0.0,0.0,0.0,0.0,1.0,0.75,joy,2.0,0.9710000000000001
joy,When I was accepted for a course on finance and accounting.,joy,"['when', 'i', 'was', 'be', 'accepted', 'accept', 'for', 'a', 'course', 'on', 'finance', 'and', 'accounting']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.336,trust,2.0,1.336
fear,"A bus drove over my right leg. The event itself was not very frightening but when I had to wait in the emergency ward for three hours and then my leg began to swell, I was frightened.",fear,"['a', 'bus', 'drove', 'drive', 'over', 'my', 'right', 'leg', 'the', 'event', 'itself', 'was', 'be', 'not', 'very', 'frightening', 'but', 'when', 'i', 'had', 'have', 'to', 'wait', 'in', 'the', 'emergency', 'ward', 'for', 'three', 'hours', 'hour', 'and', 'then', 'my', 'leg', 'began', 'begin', 'to', 'swell', 'i', 'was', 'be', 'frightened']",0.0,0.0,0.0,0.0,3.0,2.407,0.0,0.0,1.0,0.6409999999999999,2.0,1.6949999999999998,1.0,0.523,1.0,0.36700000000000005,fear,3.0,2.407
anger,"At my Summer job, nobody looked after me in particular and I had to learn all on my own.",anger,"['at', 'my', 'summer', 'job', 'nobody', 'looked', 'look', 'after', 'me', 'i', 'in', 'particular', 'and', 'i', 'had', 'have', 'to', 'learn', 'all', 'on', 'my', 'own']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,joy,1.0,0.591
sadness,When I was not accepted as a student in finance and accounting.,sadness,"['when', 'i', 'was', 'be', 'not', 'accepted', 'accept', 'as', 'a', 'student', 'in', 'finance', 'and', 'accounting']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.336,trust,2.0,1.336
disgust,When I had just moved into my new appartment I found a ventilator in the kitchen. I was going to clean it when I found that the drum was full of mud and slime. I felt disgusted.,disgust,"['when', 'i', 'had', 'have', 'just', 'moved', 'move', 'into', 'my', 'new', 'appartment', 'apartment', 'i', 'found', 'find', 'a', 'ventilator', 'in', 'the', 'kitchen', 'i', 'was', 'be', 'going', 'go', 'to', 'clean', 'it', 'when', 'i', 'found', 'find', 'that', 'the', 'drum', 'was', 'be', 'full', 'of', 'mud', 'and', 'slime', 'i', 'felt', 'feel', 'disgusted']",0.0,0.0,1.0,0.7809999999999999,0.0,0.0,3.0,0.893,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.968,trust,2.0,0.968
shame,My elder brother and I have not always had a good relationship and I feel ashamed of myself as I do not call him to talk to him nowadays.,shame,"['my', 'elder', 'brother', 'and', 'i', 'have', 'not', 'always', 'had', 'have', 'a', 'good', 'relationship', 'and', 'i', 'feel', 'ashamed', 'of', 'myself', 'as', 'i', 'do', 'not', 'call', 'him', 'he', 'to', 'talk', 'to', 'him', 'he', 'nowadays']",0.0,0.0,1.0,0.43799999999999994,0.0,0.0,2.0,1.061,1.0,0.7190000000000001,1.0,0.21899999999999997,1.0,0.38299999999999995,4.0,2.577,trust,4.0,2.577
guilt,At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnel rather than with him.,guilt,"['at', 'my', 'summer', 'job', 'a', 'new', 'caretaker', 'had', 'have', 'been', 'be', 'employed', 'employ', 'who', 'was', 'be', 'my', 'age', 'but', 'i', 'preferred', 'prefer', 'going', 'go', 'out', 'for', 'lunch', 'with', 'the', 'accounts', 'account', 'personnel', 'rather', 'than', 'with', 'him', 'he']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.591,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.4530000000000003,trust,5.0,2.4530000000000003
joy,Passed an exam by 2 points.,joy,"['passed', 'pass', 'an', 'a', 'exam', 'by', '2', 'points', 'point']",0.0,0.0,0.0,0.0,1.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.359
fear,"In a cottage in a large forest, I was alone for a while in the dark.",fear,"['in', 'a', 'cottage', 'in', 'a', 'large', 'forest', 'i', 'was', 'be', 'alone', 'for', 'a', 'while', 'in', 'the', 'dark']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.145,0.0,0.0,0.0,0.0,0.0,0.0,sadness,2.0,1.145
sadness,Railway station good-bye.,sadness,"['railway', 'station', 'good', 'bye']",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.547,0.0,0.0,1.0,0.21899999999999997,2.0,0.641,1.0,0.617,anticipation,2.0,0.641
disgust,I saw a cripple in rags with small children in Italy. He was probably an imposter.,disgust,"['i', 'saw', 'see', 'a', 'cripple', 'in', 'rags', 'rag', 'with', 'small', 'children', 'child', 'in', 'italy', 'he', 'was', 'be', 'probably', 'an', 'a', 'imposter']",0.0,0.0,1.0,0.32,1.0,0.703,1.0,0.466,1.0,0.7190000000000001,0.0,0.0,1.0,0.523,0.0,0.0,sadness,1.0,0.7190000000000001
shame,I told a friend that I was going to a party and he would not enjoy himself if he came along. He understood that he would not have fitted in and there was something in that.,shame,"['i', 'told', 'tell', 'a', 'friend', 'that', 'i', 'was', 'be', 'going', 'go', 'to', 'a', 'party', 'and', 'he', 'would', 'not', 'enjoy', 'himself', 'if', 'he', 'came', 'come', 'along', 'he', 'understood', 'understand', 'that', 'he', 'would', 'not', 'have', 'fitted', 'fit', 'in', 'and', 'there', 'was', 'be', 'something', 'in', 'that']",0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.298,0.0,0.0,0.0,0.0,1.0,0.578,2.0,1.234,joy,4.0,2.298
guilt,I was the reason behind the break-up of my friend is relationship with his girlfriend. She finished with him.,guilt,"['i', 'was', 'be', 'the', 'reason', 'behind', 'the', 'break', 'up', 'of', 'my', 'friend', 'is', 'be', 'relationship', 'with', 'his', 'he', 'girlfriend', 'she', 'finished', 'finish', 'with', 'him', 'he']",0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.141,0.0,0.0,1.0,0.461,0.0,0.0,2.0,1.406,trust,2.0,1.406
joy,I passed an exam that I was absolutely certain that I had failed.,joy,"['i', 'passed', 'pass', 'an', 'a', 'exam', 'that', 'i', 'was', 'be', 'absolutely', 'certain', 'that', 'i', 'had', 'have', 'failed', 'fail']",0.0,0.0,0.0,0.0,1.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,fear,1.0,0.359
fear,"On the way back from Denmark with a friend on a small yatch, there was a storm and my friend was blown overboard; I was very scared till I managed to get him back onboard.",fear,"['on', 'the', 'way', 'back', 'from', 'denmark', 'with', 'a', 'friend', 'on', 'a', 'small', 'yatch', 'there', 'was', 'be', 'a', 'storm', 'and', 'my', 'friend', 'was', 'be', 'blown', 'blow', 'overboard', 'i', 'was', 'be', 'very', 'scared', 'till', 'i', 'managed', 'manage', 'to', 'get', 'him', 'he', 'back', 'onboard']",1.0,0.507,0.0,0.0,1.0,0.7340000000000001,1.0,0.47100000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.211,trust,2.0,1.211
anger,I locked myself out.,anger,"['i', 'locked', 'lock', 'myself', 'out']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
