Tweet,Affect Dimension,Intensity Score,sentiment,tweet_text,lemma_tweet_text
Women don't like girls because we resent them for looking so great/we wish we still looked like that  #washed,anger,0.479,anger,"['women', 'do', 'not', 'like', 'girls', 'because', 'we', 'resent', 'them', 'for', 'looking', 'so', 'great', 'we', 'wish', 'we', 'still', 'looked', 'like', 'that', 'washed']","['woman', ""do'"", 'not', 'like', 'girl', 'because', ""we'"", 'resent', 'they', 'for', 'look', ""so'"", 'great', ""we'"", 'wish', ""we'"", 'still', 'look', 'like', 'that', 'wash']"
"@brendancoots where's your outrage that your party nominated a lying, corrupt person? And received donations from nations who support terror",anger,0.7659999999999999,anger,"['where', 'is', 'your', 'outrage', 'that', 'your', 'party', 'nominated', 'a', 'lying', 'corrupt', 'person', 'and', 'received', 'donations', 'from', 'nations', 'who', 'support', 'terror']","['where', 'be', 'you', 'outrage', 'that', 'you', 'party', 'nominate', 'a', 'lie', 'corrupt', 'person', 'and', 'receive', 'donation', 'from', 'nation', ""who'"", 'support', 'terror']"
I swear I got anger issues but my heart big AF...,anger,0.604,anger,"['i', 'swear', 'i', 'got', 'anger', 'issues', 'but', 'my', 'heart', 'big', 'af']","['i', 'swear', ""i'"", 'get', 'anger', 'issue', 'but', 'my', 'heart', 'big', 'af']"
75' Tierney reaches a deep cross to the back post and plays it back across but the Alloa defence clear. Celtic relentless here.,anger,0.43799999999999994,anger,"['75', 'tierney', 'reaches', 'a', 'deep', 'cross', 'to', 'the', 'back', 'post', 'and', 'plays', 'it', 'back', 'across', 'but', 'the', 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']","['75', 'tierney', 'reach', 'a', 'deep', 'cross', ""to'"", ""tha'"", 'back', 'post', 'and', 'play', 'it', 'back', 'across', 'but', ""the'"", 'alloa', 'defence', 'clear', 'celtic', 'relentless', 'here']"
This is a joke @SomersetCCC #fuming,anger,0.688,anger,"['this', 'is', 'a', 'joke', 'fuming']","['this', 'be', ""a'"", 'joke', 'fume']"
I just love it when people make plans for me without actually including me in this process #rage,anger,0.688,anger,"['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plans', 'for', 'me', 'without', 'actually', 'including', 'me', 'in', 'this', 'process', 'rage']","['i', 'just', 'love', 'it', 'when', 'people', 'make', 'plan', 'for', ""me'"", 'without', 'actually', 'include', ""me'"", 'in', 'this', 'process', 'rage']"
"Be quick to #listen, slow to #speak, and slow to .",anger,0.121,anger,"['be', 'quick', 'to', 'listen', 'slow', 'to', 'speak', 'and', 'slow', 'to']","[""be'"", 'quick', ""to'"", 'listen', 'slow', ""to'"", 'speak', 'and', 'slow', 'to']"
"@Sargon_of_Akkad It'll be like burning rap albums; they'll have to buy it first, but gosh darn it, they have to get rid of it.",anger,0.41700000000000004,anger,"['it', 'will', 'be', 'like', 'burning', 'rap', 'albums', 'they', 'will', 'have', 'to', 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', 'to', 'get', 'rid', 'of', 'it']","['it', 'will', ""be'"", 'like', 'burn', 'rap', 'album', 'they', 'will', 'have', ""to'"", 'buy', 'it', 'first', 'but', 'gosh', 'darn', 'it', 'they', 'have', ""to'"", 'get', 'rid', 'of', 'it']"
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! #bitter",anger,0.47200000000000003,anger,"['haha', 'actually', 'after', 'the', 'doggies', 'i', 'am', 'barracking', 'for', 'anyone', 'but', 'gws', 'bitter']","[""haha'"", 'actually', 'after', ""the'"", 'doggy', ""i'"", 'am', 'barrack', 'for', 'anyone', 'but', 'gw', 'bitter']"
my wasp sting is so itchy,anger,0.35600000000000004,anger,"['my', 'wasp', 'sting', 'is', 'so', 'itchy']","['wasp', 'sting', 'be', 'so', 'itchy']"
"Grateful for all the hungry people in my life! Hungry to learn, change, grow, help, etc - not sure anybody has it better! ",anger,0.396,anger,"['grateful', 'for', 'all', 'the', 'hungry', 'people', 'in', 'my', 'life', 'hungry', 'to', 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'has', 'it', 'better']","[""'grateful"", 'for', 'all', ""the'"", 'hungry', 'people', 'in', 'my', 'life', 'hungry', ""to'"", 'learn', 'change', 'grow', 'help', 'etc', 'not', 'sure', 'anybody', 'have', 'it', 'better']"
@jonfavs Don King is an insult to the intelligence of the Black Community.  What are these people thinking?,anger,0.542,anger,"['don', 'king', 'is', 'an', 'insult', 'to', 'the', 'intelligence', 'of', 'the', 'black', 'community', 'what', 'are', 'these', 'people', 'thinking']","['don', 'king', 'be', 'a', 'insult', ""to'"", ""the'"", 'intelligence', 'of', ""the'"", 'black', 'community', 'what', 'be', 'these', 'people', 'think']"
@Arsenal Giroud's beard is making me angry.,anger,0.625,anger,"['giroud', 'is', 'beard', 'is', 'making', 'me', 'angry']","['giroud', 'be', 'beard', 'be', 'make', ""me'"", 'angry']"
@mandyjohnson I'll be honest.. I hope that annoying Southern bint with the 'look at me' pout goes out this week! Selasi #FTW,anger,0.6459999999999999,anger,"['i', 'will', 'be', 'honest', 'i', 'hope', 'that', 'annoying', 'southern', 'bint', 'with', 'the', 'look', 'at', 'me', ""'"", 'pout', 'goes', 'out', 'this', 'week', 'selasi', 'ftw']","[""'i"", 'will', ""be'"", 'honest', ""i'"", 'hope', 'that', 'annoying', 'southern', 'bint', 'with', ""the'"", 'look', 'at', 'i', 'pout', 'go', 'out', 'this', 'week', 'selasi', 'ftw']"
"@jaybusbee Well, not Archie. No offense but he's kinda old.",anger,0.396,anger,"['well', 'not', 'archie', 'no', 'offense', 'but', 'he', 'is', 'kinda', 'old']","['well', 'not', 'archie', ""no'"", 'offense', 'but', 'he', 'be', 'kinda', 'old']"
@RadioX @ChrisMoyles wow. not heard this in forever. Random but. great  #xph,anger,0.25,anger,"['wow.', 'not', 'heard', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']","['wow.', 'not', 'hear', 'this', 'in', 'forever', 'random', 'but', 'great', 'x', 'ph']"
Me and these burns that I pick up off the pitches don't get on at all like 😢😢 #sting,anger,0.542,anger,"['me', 'and', 'these', 'burns', 'that', 'i', 'pick', 'up', 'off', 'the', 'pitches', 'do', 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']","[""'me"", 'and', 'these', 'burn', 'that', ""i'"", 'pick', 'up', 'off', ""the'"", 'pitches', ""do'"", 'not', 'get', 'on', 'at', 'all', 'like', 'crying', 'face', 'crying', 'face', 'sting']"
ICQ is just making me mad!!!😤 #icq #angry,anger,0.75,anger,"['icq', 'is', 'just', 'making', 'me', 'mad', 'face_with_steam_from_nose', 'icq', 'angry']","[""'icq"", 'be', 'just', 'make', ""me'"", 'mad', 'face_with_steam_from_nose', 'icq', 'angry']"
"If angry, bash out your frustration on the pastry #GBBO",anger,0.53,anger,"['if', 'angry', 'bash', 'out', 'your', 'frustration', 'on', 'the', 'pastry', 'gbbo']","['if', 'angry', 'bash', 'out', ""your'"", 'frustration', 'of', 'and', ""the'"", 'pastry', 'gbbo']"
.@DIVAmagazine than straight people. Even the arse straight guys who think that means a threesome is fine. #angry #fuming,anger,0.792,anger,"['than', 'straight', 'people', 'even', 'the', 'arse', 'straight', 'guys', 'who', 'think', 'that', 'means', 'a', 'threesome', 'is', 'fine', 'angry', 'fuming']","['than', 'straight', 'people', 'even', ""the'"", 'arse', 'straight', 'guy', ""who'"", 'think', 'that', 'mean', 'a', 'threesome', 'be', 'fine', 'angry', 'fume']"
@talkRobyn oh dear I have to watch this the woman with the pout did well,anger,0.442,anger,"['oh', 'dear', 'i', 'have', 'to', 'watch', 'this', 'the', 'woman', 'with', 'the', 'pout', 'did', 'well']","[""'oh'"", 'dear', ""i'"", 'have', ""to'"", 'watch', 'this', ""the'"", 'woman', 'with', ""the'"", 'pout', 'do', 'well']"
He totally knew about it'. Trump finally gets revenge for his son-in-law's prosecution/imprisonment and throws Christie under the bus.,anger,0.45799999999999996,anger,"['he', 'totally', 'knew', 'about', 'it', 'trump', 'finally', 'gets', 'revenge', 'for', 'his', 'son', 'in', 'law', 'is', 'prosecution', 'imprisonment', 'and', 'throws', 'christie', 'under', 'the', 'bus']","[""'he"", 'totally', 'know', 'about', 'it', 'trump', 'finally', 'get', 'revenge', 'for', 'he', 'son', 'in', 'law', 'be', 'prosecution', 'imprisonment', 'and', 'throw', 'christie', 'under', ""the'"", 'bus']"
@Dak2future decorations are up all over Jersey already #outrage,anger,0.562,anger,"['decorations', 'are', 'up', 'all', 'over', 'jersey', 'already', 'outrage']","['decoration', 'be', 'up', 'all', 'over', 'jersey', 'already', 'outrage']"
We're going to get City in the next round for a revenge.,anger,0.43799999999999994,anger,"['we', 'are', 'going', 'to', 'get', 'city', 'in', 'the', 'next', 'round', 'for', 'a', 'revenge']","[""we'"", 'be', 'go', ""to'"", 'get', 'city', 'in', ""the'"", 'next', 'round', 'for', 'a', 'revenge']"
@JOjojosiejay or in my case a raging moody cow lol why i buy moody cow socks lol,anger,0.389,anger,"['or', 'in', 'my', 'case', 'a', 'raging', 'moody', 'cow', 'lol', 'why', 'i', 'buy', 'moody', 'cow', 'socks', 'lol']","[""'or"", 'in', 'my', 'case', ""a'"", 'rage', 'moody', 'cow', 'lol', 'why', ""i'"", 'buy', 'moody', 'cow', 'sock', 'lol']"
No respect for people who force their opinions on to others yet get offended when someone does the same to them 😂,anger,0.479,anger,"['no', 'respect', 'for', 'people', 'who', 'force', 'their', 'opinions', 'on', 'to', 'others', 'yet', 'get', 'offended', 'when', 'someone', 'does', 'the', 'same', 'to', 'them', 'face_with_tears_of_joy']","[""no'"", 'respect', 'for', 'people', ""who'"", 'force', 'they', 'opinion', 'of', 'and', ""to'"", 'other', 'yet', 'get', 'offend', 'when', 'someone', 'do', ""the'"", 'same', ""to'"", 'they', 'face_with_tears_of_joy']"
Here's a tip for everyone: Stop being offended. End. #offended #quit #youredumb #liveyourownlife,anger,0.479,anger,"['here', 'is', 'a', 'tip', 'for', 'everyone', 'stop', 'being', 'offended', 'end.', 'offended', 'quit', 'youredumb', 'liveyourownlife']","['here', 'be', ""a'"", 'tip', 'for', 'everyone', 'stop', 'be', 'offend', 'end.', 'offend', 'quit', 'youredumb', 'liveyourownlife']"
"Why to have vanity sizes?Now sizes S,XS(evenXXS sometimes) are too big, WTF?! Dear corporate jerks, Lithuania didn't need this. #rant #angry",anger,0.708,anger,"['why', 'to', 'have', 'vanity', 'sizes', 'now', 'sizes', 's', 'xs', 'evenxxs', 'sometimes', 'are', 'too', 'big', 'wtf', 'dear', 'corporate', 'jerks', 'lithuania', 'did', 'not', 'need', 'this', 'rant', 'angry']","['why', ""to'"", 'have', 'vanity', 'size', 'now', 'size', ""'s"", 'x', 'evenxx', 'sometimes', 'be', 'too', 'big', ""'wtf"", 'dear', 'corporate', 'jerk', 'lithuania', 'do', 'not', 'need', 'this', 'rant', 'angry']"
"Ultimately, #KeithScott wasn't the man they were there to hand an arrest warrant to. That's what we know. That's enough to cause outrage.",anger,0.741,anger,"['ultimately', 'keith', 'scott', 'was', 'not', 'the', 'man', 'they', 'were', 'there', 'to', 'hand', 'an', 'arrest', 'warrant', 'to', 'that', 'is', 'what', 'we', 'know', 'that', 'is', 'enough', 'to', 'because', 'outrage']","['ultimately', 'keith', 'scott', 'be', 'not', ""the'"", 'man', 'they', 'be', 'there', ""to'"", ""hand'"", 'a', 'arrest', 'warrant', ""to'"", 'that', 'be', 'what', ""we'"", 'know', 'that', 'be', 'enough', ""to'"", 'because', 'outrage']"
I genuinely think I have anger issues,anger,0.604,anger,"['i', 'genuinely', 'think', 'i', 'have', 'anger', 'issues']","['i', 'genuinely', 'think', ""i'"", 'have', 'anger', 'issue']"
Nick said he's territorial and he'll growl if someone gets too close to me #hesananimal,anger,0.45799999999999996,anger,"['nick', 'said', 'he', 'is', 'territorial', 'and', 'he', 'will', 'growl', 'if', 'someone', 'gets', 'too', 'close', 'to', 'me', 'hesananimal']","['nick', 'say', 'he', 'be', 'territorial', 'and', 'he', 'will', 'growl', 'if', 'someone', 'get', 'too', 'close', ""to'"", 'i', 'hesananimal']"
"@MagicAndFangs 'Just by getting lost! I don't want to see you in my eyes!' Hungary huffed and crossed her arms, looking away angrily.",anger,0.562,anger,"['just', 'by', 'getting', 'lost', 'i', 'do', 'not', 'want', 'to', 'see', 'you', 'in', 'my', 'eyes', 'hungary', 'huffed', 'and', 'crossed', 'her', 'arms', 'looking', 'away', 'angrily']","['just', 'by', 'get', 'lose', ""i'"", ""do'"", 'not', 'want', ""to'"", 'see', 'you', 'in', 'my', 'eye', 'hungary', 'huff', 'and', 'cross', 'she', 'arm', 'look', 'away', 'angrily']"
"In  fact,  sometimes i don't get furious at people who wrong me, but   i get  furious at  myself  for being  a  fool.",anger,0.5,anger,"['in', 'fact', 'sometimes', 'i', 'do', 'not', 'get', 'furious', 'at', 'people', 'who', 'wrong', 'me', 'but', 'i', 'get', 'furious', 'at', 'myself', 'for', 'being', 'a', 'fool']","[""'in"", 'fact', 'sometimes', ""i'"", ""do'"", 'not', 'get', 'furious', 'at', 'people', ""who'"", 'wrong', ""me'"", 'but', ""i'"", 'get', 'furious', 'at', 'myself', 'for', 'be', 'a', 'fool']"
"Good luck to all Fury-Haney players playing this weekend at the Future Stars showcase in Frisco, Tx.  #KGB #G-town #fury",anger,0.396,anger,"['good', 'luck', 'to', 'all', 'fury', 'haney', 'players', 'playing', 'this', 'weekend', 'at', 'the', 'future', 'stars', 'showcase', 'in', 'frisco', 'tx.', 'kgb', 'g', 'town', 'fury']","['good', 'luck', ""to'"", 'all', 'fury', 'haney', 'player', 'play', 'this', 'weekend', 'at', ""the'"", 'future', 'star', 'showcase', 'in', 'frisco', 'tx.', 'kgb', 'g', 'tow', 'and', 'fury']"
When you forget to mention you were bought dreamboys tickets 🙄😂 #raging,anger,0.45799999999999996,anger,"['when', 'you', 'forget', 'to', 'mention', 'you', 'were', 'bought', 'dreamboys', 'tickets', 'face_with_rolling_eyes', 'face_with_tears_of_joy', 'raging']","['when', 'you', 'forget', ""to'"", 'mention', 'you', 'be', 'buy', 'dreamboy', 'ticket', 'face_with_rolling_ey', 'face_with_tears_of_joy', 'raging']"
"All this from a cigarette burning in Laura's hand, the angle of her chin, the purse of her lips.'(104) Gorgeous transition!@laurengrodstein",anger,0.312,anger,"['all', 'this', 'from', 'a', 'cigarette', 'burning', 'in', 'laura', 'is', 'hand', 'the', 'angle', 'of', 'her', 'chin', 'the', 'purse', 'of', 'her', 'lips', '104', 'gorgeous', 'transition']","[""all'"", 'this', 'from', 'a', 'cigarette', 'burn', 'in', 'laura', 'be', 'hand', ""the'"", 'angle', 'of', 'she', 'chin', ""the'"", 'purse', 'of', 'she', 'lip', '104', 'gorgeous', 'transition']"
So Rangers v Celtic ll #revenge,anger,0.33299999999999996,anger,"['so', 'rangers', 'v', 'celtic', 'll', 'revenge']","[""'so'"", 'ranger', ""v'"", 'celtic', 'will', 'revenge']"
"#Scorpio's can withdraw to a quiet place after being hurt, only to think of a plan to sting back.",anger,0.583,anger,"['scorpio', 'is', 'can', 'withdraw', 'to', 'a', 'quiet', 'place', 'after', 'being', 'hurt', 'only', 'to', 'think', 'of', 'a', 'plan', 'to', 'sting', 'back']","[""'scorpio"", 'be', 'can', 'withdraw', ""to'"", ""a'"", 'quiet', 'place', 'after', 'be', 'hurt', 'only', ""to'"", 'think', 'of', 'a', 'plan', ""to'"", 'sting', 'back']"
"@Daniel_Sankey @hayleyp79 Haha.... Actually, after the Doggies I'm barracking for Anyone But GWS! ",anger,0.41700000000000004,anger,"['haha', 'actually', 'after', 'the', 'doggies', 'i', 'am', 'barracking', 'for', 'anyone', 'but', 'gws']","[""haha'"", 'actually', 'after', ""the'"", 'doggy', ""i'"", 'am', 'barrack', 'for', 'anyone', 'but', 'gw']"
@NJDDanin123 I personally liked #relentless …didn't get #OurHouse #OneJersey #werealldevilsinside \nDoes nothing till a puck drops #NJDevils,anger,0.354,anger,"['i', 'personally', 'liked', 'relentless', 'did', ""n't"", 'get', 'our', 'house', 'one', 'jersey', 'werealldevilsinside', '\\n', 'does', 'nothing', 'till', 'a', 'puck', 'drops', 'n', 'j', 'devils']","[""'i"", 'personally', 'like', 'relentless', 'do', 'not', 'get', ""our'"", 'house', 'one', 'jersey', 'werealldevilsinside', '\\\\n', 'do', 'nothing', 'till', ""a'"", 'puck', 'drop', 'and', ""j'"", 'devils']"
I can see how this will end\nIn all its bitter tragedy\nI'll give you all I have to spend\nAnd you'll give nothing back to me,anger,0.542,anger,"['i', 'can', 'see', 'how', 'this', 'will', 'end\\n', 'in', 'all', 'it', 's', 'bitter', 'traged', 'y\\ni', 'will', 'give', 'you', 'all', 'i', 'have', 'to', 'spend\\n', 'and', 'you', 'will', 'give', 'nothing', 'back', 'to', 'me']","[""'i"", 'can', 'see', 'how', 'this', 'will', 'end\\\\n', 'in', 'all', 'it', ""'s"", 'bitter', 'trage', 'y\\\\ni', 'will', 'give', 'you', 'all', ""i'"", 'have', ""to'"", 'spend\\\\n', 'and', 'you', 'will', 'give', 'nothing', 'back', 'to', 'i']"
You complain all the time and then wonder why people never want to see you. You acc rile me up. Stfuuu!!!!,anger,0.708,anger,"['you', 'complain', 'all', 'the', 'time', 'and', 'then', 'wonder', 'why', 'people', 'never', 'want', 'to', 'see', 'you', 'you', 'acc', 'rile', 'me', 'up', 'stfuuu']","['you', 'complain', 'all', ""the'"", 'time', 'and', 'then', 'wonder', 'why', 'people', 'never', 'want', ""to'"", 'see', 'you', 'you', 'acc', 'rile', ""me'"", 'up', 'stfuuu']"
"Everything I see of American police training seems calculated to trample human dignity, inflame outrage, and escalate confrontations.",anger,0.604,anger,"['everything', 'i', 'see', 'of', 'american', 'police', 'training', 'seems', 'calculated', 'to', 'trample', 'human', 'dignity', 'inflame', 'outrage', 'and', 'escalate', 'confrontations']","['everything', ""i'"", 'see', 'of', 'american', 'police', 'training', 'seem', 'calculate', ""to'"", 'trample', 'human', 'dignity', 'inflame', 'outrage', 'and', 'escalate', 'confrontation']"
I wanna kill you and destroy you. I want you died and I want Flint back. #emo #scene  #fuck #die #hatered,anger,0.91,anger,"['i', 'wan', 'na', 'kill', 'you', 'and', 'destroy', 'you', 'i', 'want', 'you', 'died', 'and', 'i', 'want', 'flint', 'back', 'emo', 'scene', 'fuck', 'die', 'hatered']","['i', 'want', ""na'"", 'kill', 'you', 'and', 'destroy', 'you', 'i', 'want', 'you', 'die', 'and', 'i', 'want', 'flint', 'back', 'emo', 'scene', 'fuck', 'die', 'hater']"
@VerizonSupport thanks for saying My wife and I were getting our iphones today and then losing both of them with no ETA #thanks ,anger,0.479,anger,"['thanks', 'for', 'saying', 'my', 'wife', 'and', 'i', 'were', 'getting', 'our', 'iphones', 'today', 'and', 'then', 'losing', 'both', 'of', 'them', 'with', 'no', 'eta', 'thanks']","['thanks', 'for', 'say', 'my', 'wife', 'and', ""i'"", 'be', 'get', ""our'"", 'iphone', 'today', 'and', 'then', 'lose', 'both', 'of', 'they', 'with', ""no'"", ""eta'"", 'thanks']"
@EmmaHobbs1 I did that! 3 days later my order isn't even in the same postcode as me ,anger,0.542,anger,"['i', 'did', 'that', '3', 'days', 'later', 'my', 'order', 'is', 'not', 'even', 'in', 'the', 'same', 'postcode', 'as', 'me']","['i', 'do', 'that', '3', ""'"", 'day', 'later', 'my', 'order', 'be', 'not', 'even', 'in', ""the'"", 'same', 'postcode', 'as', ""'me""]"
@CI  I don't think Monalisa has respect for anyone but herself! I think she'll ruffle a few feathers. #TheJail,anger,0.625,anger,"['i', 'do', 'not', 'think', 'monalisa', 'has', 'respect', 'for', 'anyone', 'but', 'herself', 'i', 'think', 'she', 'will', 'ruffle', 'a', 'few', 'feathers', 'the', 'jail']","['i', ""do'"", 'not', 'think', 'monalisa', 'have', 'respect', 'for', 'anyone', 'but', 'herself', ""i'"", 'think', ""she'"", 'will', 'ruffle', 'a', 'few', 'feather', ""the'"", 'jail']"
Another loss to city in the cup next 🙈 😂😂 cmon united! ,anger,0.292,anger,"['another', 'loss', 'to', 'city', 'in', 'the', 'cup', 'next', 'see_no_evil_monkey', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'cmon', 'united']","['another', 'loss', ""to'"", 'city', 'in', ""the'"", 'cup', 'next', 'see_no_evil_monkey', 'face_with_tears_of_joy', 'face_with_tears_of_joy', 'cmon', 'united']"
