tweet_text,sentiment,sentiment_score
Gonna go pre order this shit and if beta is dumb going same day to u preorder this shit,disgust,0.82
I feel so fucking sick This cant be happening,disgust,0.578
Lindsey got dank growing inside of her lls,disgust,0.57
I hate that shit unamusedface but facewithoutmouth,disgust,1.515
Aw shit clappinghands mediumlightskintone clappinghands mediumlightskintone clappinghands mediumlightskintone clappinghands mediumlightskintone raisinghands mediumlightskintone raisinghands mediumlightskintone musicalnotes musicalnotes musicalnotes musicalnotes smilingfacewithsunglasses,disgust,0.82
you were talking shit about me whole time we were cool maddi ratted you out facewithtearsofjoy hence the reason why I showed bev them message,disgust,1.4529999999999998
A lot of shit jst been happening,disgust,0.82
Ironically we already pay for the piece of shit that are breaking more shit we pay for,disgust,0.82
It suck that I put 450 or more a month into tax that part of that shit go to useless fuck,disgust,0.82
What a waste of time,disgust,0.695
Lexi doesnt listen to me You know how that shit go,disgust,0.82
But Dundalk Really Eastpoint Really I wish I had my emojis right now im mad a shit lol,disgust,1.3039999999999998
Thought today wa sunday amp shit facewithtearsofjoy sleepyface,disgust,0.82
Bitches be like All yall nigga the same shit who told u 2 tryem All,disgust,1.4680000000000002
Mfs be speaking on shit dey dnt kno About,disgust,0.82
Lately shit ain da same homie,disgust,0.82
Thought it wa family ovum fucc shit dey done changd on me,disgust,0.82
it that distance shit that be fuccn wimme,disgust,0.82
Niccas Actors im living dis Shit,disgust,0.82
I Aint neva been ah fool,disgust,0.461
Im burnin shit up,disgust,0.82
She done fck so many of my homies I could neva love her Shit is ugly,disgust,1.4680000000000002
Maybe if I wa dwn der shit Ah b str8,disgust,0.82
shit im ridin 4 ya nmwkno dat,disgust,0.82
Watching boon doccs facewithtearsofjoy shit got me buggn yo,disgust,0.82
Da Realist Shit be on twitter,disgust,0.82
Got Ah Drug Test Coming Up And Im Still Smoking Shit Krazy Mane facewithmedicalmask fucc it,disgust,0.82
Having hoe Aint Shit Nomore shit played out,disgust,0.82
I Rocc Alone amp Shit facewithmedicalmask,disgust,0.82
Wassup Trash im boudda blow it dwn fo ya BigBro,disgust,0.6559999999999999
Inconsiderate asshole raisedhand,disgust,1.148
people threw shit at my grandma car while she wa in Wendys how fucking disrespectful can people be,disgust,1.3039999999999998
Im sleepy a shit pensiveface pensiveface pensiveface pensiveface,disgust,0.82
Lol still wide awake like shit,disgust,0.82
nigga shit onna bathroom floor unamusedface,disgust,0.82
Stomach on firee dammit man,disgust,0.312
facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy im sick,disgust,0.578
Some of the thing people say on here is really ridiculous,disgust,0.35200000000000004
Absolutely sick to my stomach,disgust,0.8899999999999999
islander fan happy a shit but they still gotta come back to DC to get that as beat again,disgust,0.82
You till smell bad,disgust,0.8360000000000001
are they chanting asshole lmaoo,disgust,0.836
base loaded for Adam jones oh shit,disgust,0.82
Shit so funny,disgust,0.82
Fuck high key fuck low key Just let that shit be known,disgust,0.82
People in Baltimore trash city these kid,disgust,0.6559999999999999
dont wanna be great yo facewithtearsofjoy facewithtearsofjoy sike yeah did he foul him,disgust,0.7340000000000001
pop in the background I am so jealous of you Huge huge huge GH fan,disgust,0.539
Shouldnt have messed w him in the first place hundredpoints unamusedface,disgust,0.484
Holy freakin crap are u serious,disgust,0.7809999999999999
Took my hair out now my head big a shit persontippinghand facewithtearsofjoy wearyface,disgust,0.82
When DJs lay one track over another Thats that fire shit fire fire fire,disgust,0.82
collision MEGA RARE WITHDRAWN RAT COVER collision moneybag To buy please comment…,disgust,0.633
This is ridiculous,disgust,0.35200000000000004
What a shame that Baltimore ha to have this kind of horrible coverage just brain dead looter,disgust,1.1949999999999998
Dank a dank be I dont normally understand the bitter descriptive bu Backseat Berner photo,disgust,0.57
From last night Not bad Like an alcoholic cider lemonade Drinking a Lazy Lemon Klub Killis,disgust,0.5
shit Ill do it for a Arizona tea and a slim jim,disgust,0.82
I dont mess around Norway redheart ️,disgust,0.484
o shit I see him,disgust,0.82
She am not shit,disgust,0.82
he some shit he said that in a freestyle,disgust,0.82
Probably gonna stick with being single and having fwb though until I find a girl who can put up with my shit and I can put up with hers,disgust,0.82
Good for you BruceJenner So proud of you Ignore the hateful bigot in the world because there plenty of better peopleBruceJennerABC,disgust,1.5619999999999998
Ive been looking forward to this all week and Im sick and cant go unamusedface,disgust,0.578
Was that supposed to make me jealous facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy,disgust,0.539
Throw some more rock and shit thats really helping the because Typical shit,disgust,0.82
Fuck these protest in Baltimore right now shit isnt going to do anything,disgust,0.82
So many thing I want to say but opinion are like asshole Everyone ha one,disgust,0.836
But a lot of your asshole are wrong,disgust,0.836
You guy want to stop stereotype protest in peace Typical shit,disgust,0.82
once you fuck a bitch raw sweatdroplets eggplant or ate her pussy catface tongue you have no business persongesturingNO throwing dirt on her name hundredpoints,disgust,1.148
father shit tiredface I just seen tranaye message,disgust,0.82
Throw egg at the CNN reporterstake Baltimore backthis is our dirty laundry not theirsFUCK the outsider FUCK the press,disgust,0.727
Big Sloppy is an assholeOs,disgust,1.398
k Im lying,disgust,0.976
nothing like a game of Gin and a few pig foot,disgust,0.539
I wasnt lying but k,disgust,0.976
Trashing tweet are for pussy,disgust,0.6559999999999999
I agree the BCPD is garbage Fat out of shape uneducated officer litter the department Still not OK to vandalize,disgust,1.3359999999999999
however you feelis it ok to trash storefront and vandalize people property Not making a good case for yourself,disgust,0.6559999999999999
Shit never feel right when we not good,disgust,0.82
I can be a complete asshole but I mean well,disgust,0.836
People are ridiculous,disgust,0.35200000000000004
Same shit new day,disgust,0.82
I cant help but voice my opinion on shit,disgust,0.82
People brag about not wearing makeup but be ugly lol help yourself loudlycryingface openhands lightskintone,disgust,0.648
the people that are being asshole dont even live where probably,disgust,0.836
Dont fw them nigga they too irrational woah,disgust,0.383
Make this piece of trash famous,disgust,0.6559999999999999
It make me sick that someone would use a child to do this it disgusting,disgust,1.281
Theyre breaking window to business now this is fucking ridiculous,disgust,0.35200000000000004
I dare a girl to spit on anything of mine see if I dont have that shit handled right away,disgust,1.39
If you want to see how fucking ignorant some people were Saturday nightanything stick out This is disgusting,disgust,1.109
Seriously thou this shit wa never cool nor wa it ever funny unamusedface,disgust,0.82
Mother just called me she mad a shit she stuck downtown in traffic becuz of the protest flushedface,disgust,1.3039999999999998
Dai always creeping on my shit flushedface unamusedface,disgust,0.82
Still Cant believe that shit the world am not right foldedhands mediumlightskintone,disgust,0.82
Michelle franklin a whore,disgust,0.7659999999999999
Tired of hearing about this shit at work Stg yo,disgust,0.82
Opened Trash High Grass or Weeds request via Android at 4416 Forest View Ave Baltimore High grass need to be c,disgust,0.6559999999999999
Closed Trash High Grass or Weeds request at 4416 Forest View Ave Baltimore Citation issued,disgust,0.6559999999999999
I debated about going myself for a doughnut Something my fat as dont need,disgust,0.617
I debated about going myself for a doughnut Something my fat as dont need,disgust,0.617
Opened Trash High Grass or Weeds request via Android at 44134415 Forest View Ave Baltimore High grass weed,disgust,0.6559999999999999
Can one judge another because he sin differently,disgust,0.625
Ohh so such a tasty sour Drinking an Agrestic by F O P Lodge 76 —,disgust,0.414
How often do people watch porn with the volume all the way up,disgust,0.703
After a while Shit Get Old hundredpoints either Get Right Or Im Going Left openhands doubleexclamationmark ️,disgust,0.82
Janek this is my seat you asshole,disgust,0.836
One question to the protester what did a nonliving thing like a car window trash can or a shop window do to you,disgust,0.6559999999999999
Im the type of person that ha to go through shit to realize shit because cant nobody tell me nothing hundredpoints,disgust,0.82
you tweeted me break the habit of wasting time,disgust,1.117
Some shit I find out make me feel like Ive been lied to forever facewithoutmouth,disgust,1.265
Wilted we fade away Rotted from the root we exchange our stem for leg,disgust,0.8909999999999999
YES HOLY SHIT,disgust,0.82
chima really messed my whole life up facewithtearsofjoy loudlycryingface,disgust,0.484
Im not in the mood for this shit,disgust,0.82
This is all an excuse for all of those people to run around throw shit amp act uncivilized for the camera They dont care about Freddy Gray,disgust,0.953
KOJI IS NASTY AS FUCK,disgust,0.703
Back to back dingers Holy shit my heart is racing,disgust,0.82
Hes faithful cu he walked past someone who needed help just cu shes a female Kinda shit is that,disgust,0.82
I used to live in Texas This shit doesnt happen in Texas Who want to go to Texas,disgust,0.82
Cus you need to get your shit together babe,disgust,0.82
Peaceful protest actually mean robbery damaging property and throwing trash can with flame in them,disgust,1.602
it the simple shit that he need to just catch like he wasnt even close to that last ons,disgust,0.82
Ogando youre trash,disgust,0.6559999999999999
This shit ha refused to get old,disgust,0.82
Not even gon lie my mom would probably try to do that shit,disgust,1.265
Why is my mind in the gutter so damn early,disgust,0.961
IGetMadWhen Im by someone that smell like armpit and funk neutralface facewithmedicalmask facewithmedicalmask facewithmedicalmask,disgust,0.929
That one couple that swear everyone jealous of them facewithtearsofjoy facewithtearsofjoy skull,disgust,0.539
IGetMadWhen someone try to put me on with someone ugly ogre skull,disgust,1.679
Closed Trash High Grass or Weeds request at 5811 Judith Way Baltimore Notice issued,disgust,0.6559999999999999
Closed Trash High Grass or Weeds request at 5811 Judith Way Baltimore Notice issued,disgust,0.6559999999999999
Well my shoulder is all messed up I guess no gym for a week,disgust,0.484
Closed Trash High Grass or Weeds request at 5816 Judith Way Baltimore Citation issued,disgust,0.6559999999999999
Such a great day went to fucking shit so quick,disgust,0.82
THAT tweet should have been paired with the other asshole comment from somebody else I SUPPORT Giuliani,disgust,0.836
still cant comprehend why girl would want to display themselves a slut and whore like it make zero sense,disgust,1.469
naww real shit tho,disgust,0.82
GOODNIGHT sleepingface alien,disgust,0.438
Shit happens Sorry not sorry,disgust,0.82
Id be mad a shit if I wa stuck in traffic downtown,disgust,1.3039999999999998
like what fuckin trash youre about to be a grown adult into the damn world and you dont know what racism is are u ok,disgust,1.015
she still wont take the blame for it either like youre gross,disgust,1.094
tw slur just in case u wanted to see the trash,disgust,1.2029999999999998
you do it all good shit We definitely have to connect What you usually charge,disgust,0.82
shit it not even the least bit amusing facewithtearsofjoy openhands I done changed the channel now,disgust,0.82
Rey wrap my stomach relievedface,disgust,0.312
Im supposed to be going with my wife but if she doesnt go imma be shutting shit down by myself relievedface smirkingface persontippinghand,disgust,0.82
Ive been doing good with my attitude problem but shit just be buggin me openhands,disgust,0.82
I guess youre ok with being an uneducated piece of shit,disgust,0.82
Ok now I REALLY need to get on my shit a far a this diet cuz Ive lost weight but not a much a I want,disgust,1.2889999999999997
I drove all the way home from church today WITH grandma panicing and shit unamusedface,disgust,0.82
Opened Dirty Alley or Street request via iPhone at 4200–4201 Glenarm Ave,disgust,0.727
I hate when one person in the house is sick because that mean everyone else will get it wearyface,disgust,1.273
it not funny facewithtearsofjoy facewithtearsofjoy skull i be mad a shit,disgust,1.3039999999999998
Feel like Shit Right Now wearyface sleepyface,disgust,0.82
He cant keep the helmet on for shit,disgust,0.82
Maxx Bittner take shit to the next level and then some facewithtearsofjoy facewithtearsofjoy loudlycryingface,disgust,0.82
Or you just dont want to meet me Im that ugly I know,disgust,0.648
Wasted a year of my life being angry lol that shit is not worth it in any form,disgust,2.4290000000000003
People have been always been ignorant and always will be,disgust,0.406
YOU FUCKING IDIOT,disgust,0.4920000000000001
I could at least 6 guy who have pulled that shit Lt,disgust,0.82
Shit I didnt take my med,disgust,0.82
Why doe everyone like oomf Hes a manipulative piece of shit,disgust,0.82
Dont shit where you sleep smh,disgust,0.82
Its a good thing Im not down there I dont play that shit,disgust,0.82
Some of you feminist are creepy So yeah some of yall are ugly,disgust,0.648
Cant stand people shit,disgust,0.82
are you intoxicated,disgust,0.594
I understand you want to be safe but the shit youre saying out of your mouth make you look like idiot,disgust,1.3119999999999998
post a picture of Marilyn Monroe reading a pictureOnly trying to better myselfIn way of being a whore,disgust,0.7659999999999999
Im the ugly child the ugly duckling,disgust,0.648
Whats the point in lying when you know the truth will come out soon,disgust,0.976
AND he done fucked a prostitute smh Claude,disgust,0.586
Golly if I knew I wa gonna be quote tweeted for all of my white trash community to see I would of not been Mr hatt from south park,disgust,0.6559999999999999
Cheaters gross me out,disgust,0.7190000000000001
spit tabaco out onto the ground yeh den black r only riotin to do illegal stuff vapes,disgust,1.0
sorry I forgot that this wa 1950 and a few mistake make an entire group of people trash,disgust,0.6559999999999999
Yes how disgusting is it for black people have basic human right Gross That is literally what your tweet sound like,disgust,1.4220000000000002
of you going take my shit at least put it back before I notice it gone tf unamusedface,disgust,0.82
Old way calling me I dont wanna go back tho shit am not going do nothing for me,disgust,0.82
Ciroc is for girl I swear facewithtearsofjoy facewithtearsofjoy facewithtearsofjoy an 1800 is just nasty,disgust,0.703
These fry salty a shit,disgust,0.82
Closed Dirty Alley or Street request at 1423 Bonsal St Cleaned and removed debris close,disgust,1.157
I look so crusty with this cap on loudlycryingface,disgust,0.617
LRT only on twitter lol that shit didnt get me far,disgust,0.82
The police just absorbed that guy Holy shit Baltimore BaltimoreRiots,disgust,0.82
Witnessed this shit first hand,disgust,0.82
Police ain shit hundredpoints,disgust,0.82
that must be that WHITE shit fuck is you talking about tom,disgust,0.82
got em shit,disgust,0.82
That cig smell like shit,disgust,1.265
fr Like you kidding me Did I ask to see that shit YOU CHILDISH AS SHIT MANE,disgust,0.82
MY MENTIONS CROUCHY WHAT OTHER WHITE PERSON WANNA HOP INNA EM WITH THEY SMART ASS MOUTH WHITE TRASH MAN backhandindexpointingright mediumskintone sleepingface,disgust,0.6559999999999999
you sound dumb a shit Did I ask for your fucking opinion no Tf you dont matter backhandindexpointingright mediumskintone,disgust,0.82
and Im ugly What the fuck is you,disgust,0.648
now you childish as shit no one wanna see ya CHILDISH as ball you got no respect for YASELF,disgust,0.82
Opened Trash High Grass or Weeds request via Android at N3934 E7655,disgust,0.6559999999999999
I hate inmature gurls yoo shit ah turnoff unamusedface hundredpoints,disgust,1.515
Im so sick of ignorance Baltimore is protesting all wrong,disgust,0.578
skull skull skull skull exclamationmark exclamationmark exclamationmark exclamationmark he ugly,disgust,0.648
I dont do all that dragging shit openhands it even you fwm or you dont exclamationmark,disgust,0.82
I dont do all that dragging shit openhands it even you fwm or you dont exclamationmark,disgust,0.82
fuck all that bum shit exclamationmark,disgust,1.242
bitch am not shit amp they am not saying nothing catfacewithtearsofjoy catfacewithtearsofjoy,disgust,1.4680000000000002
holy shit my lovely city,disgust,0.82
did you know that every country that wa colonized by European most of the EU men raped the woman of tat country,disgust,0.906
the wife duty is to please her husband n husband duty is to please his wife if they dont they are committing a sin,disgust,0.625
i hate hypocrite expressionlessface hundredpoints,disgust,1.273
I cant think about fruit loop anymore without getting sick to my stomach,disgust,0.8899999999999999
This is scary a shit,disgust,0.82
Look at the world a constipated nobody going give you shit,disgust,0.82
dat girl really stunk tonight facewithmedicalmask facewithmedicalmask,disgust,0.516
That shit wa hard fr hundredpoints heavycheckmark,disgust,0.82
Virgo wouldnt waste their breath on hate If they dont like you then you dont exist to themBasically,disgust,1.39
Please dont facewithtearsofjoy why start shit in the first place,disgust,0.82
I DONT INSULT TRANS PPL TO THEIR FACES I JUST TALK SHIT ABOUT THEM ON TWITTER,disgust,1.213
like if youre not gonna do your fucking job then dont work here you piece of shit,disgust,0.82
Im sick and tired of being sick and tired,disgust,0.578
this pimple unamusedface unamusedface thumbsdown,disgust,0.6409999999999999
single shit is sooo boring i swear pensiveface unamusedface sleepyface thumbsdown,disgust,0.82
wooden bar stool for sale DM me,disgust,0.625
I didnt waannna believe nigga when they wa telling me shawtty wa using me unamusedface openhands but shit crystal clear now,disgust,0.82
she goin look me in my face n not say shit loudlycryingface BITCH you cut hundredpoints,disgust,1.4680000000000002
facewithtearsofjoy facewithtearsofjoy do I smell shade,disgust,0.445
Yoooo that HOMETOWN jointsmhbest shit in my speakerskeep doing ya thing my niggaSinclair Lane repinlol,disgust,0.82
I need my hair cut persongettinghaircut again facewithtearsofjoy my shit grown back fast persontippinghand,disgust,0.82
Closed Trash High Grass or Weeds request at 526 Oldham St Baltimore Fqbegin residence property is occupied,disgust,0.6559999999999999
